"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2019 inflation-adjusted dollars)",
"0500000US01001","Autauga County, Alabama","29819","null","2345","null",
"0500000US01003","Baldwin County, Alabama","32626","null","758","null",
"0500000US01005","Barbour County, Alabama","18473","null","942","null",
"0500000US01007","Bibb County, Alabama","20778","null","1703","null",
"0500000US01009","Blount County, Alabama","24747","null","1318","null",
"0500000US01011","Bullock County, Alabama","20877","null","2063","null",
"0500000US01013","Butler County, Alabama","21038","null","1298","null",
"0500000US01015","Calhoun County, Alabama","25345","null","772","null",
"0500000US01017","Chambers County, Alabama","22729","null","1231","null",
"0500000US01019","Cherokee County, Alabama","24301","null","1383","null",
"0500000US01021","Chilton County, Alabama","24658","null","1693","null",
"0500000US01023","Choctaw County, Alabama","22308","null","1560","null",
"0500000US01025","Clarke County, Alabama","22225","null","1531","null",
"0500000US01027","Clay County, Alabama","23519","null","2152","null",
"0500000US01029","Cleburne County, Alabama","23142","null","1648","null",
"0500000US01031","Coffee County, Alabama","27806","null","866","null",
"0500000US01033","Colbert County, Alabama","25536","null","967","null",
"0500000US01035","Conecuh County, Alabama","19769","null","1499","null",
"0500000US01037","Coosa County, Alabama","23694","null","2265","null",
"0500000US01039","Covington County, Alabama","23687","null","832","null",
"0500000US01041","Crenshaw County, Alabama","24563","null","2754","null",
"0500000US01043","Cullman County, Alabama","23468","null","761","null",
"0500000US01045","Dale County, Alabama","24645","null","1038","null",
"0500000US01047","Dallas County, Alabama","19612","null","805","null",
"0500000US01049","DeKalb County, Alabama","21907","null","932","null",
"0500000US01051","Elmore County, Alabama","29052","null","1077","null",
"0500000US01053","Escambia County, Alabama","19028","null","917","null",
"0500000US01055","Etowah County, Alabama","24883","null","1036","null",
"0500000US01057","Fayette County, Alabama","22483","null","2071","null",
"0500000US01059","Franklin County, Alabama","21641","null","1058","null",
"0500000US01061","Geneva County, Alabama","21711","null","1230","null",
"0500000US01063","Greene County, Alabama","14884","null","1570","null",
"0500000US01065","Hale County, Alabama","21191","null","1443","null",
"0500000US01067","Henry County, Alabama","25276","null","1503","null",
"0500000US01069","Houston County, Alabama","27097","null","522","null",
"0500000US01071","Jackson County, Alabama","22596","null","990","null",
"0500000US01073","Jefferson County, Alabama","32098","null","463","null",
"0500000US01075","Lamar County, Alabama","22636","null","2729","null",
"0500000US01077","Lauderdale County, Alabama","28033","null","1059","null",
"0500000US01079","Lawrence County, Alabama","23450","null","1067","null",
"0500000US01081","Lee County, Alabama","27860","null","833","null",
"0500000US01083","Limestone County, Alabama","28411","null","944","null",
"0500000US01085","Lowndes County, Alabama","20209","null","1258","null",
"0500000US01087","Macon County, Alabama","20419","null","1184","null",
"0500000US01089","Madison County, Alabama","36620","null","583","null",
"0500000US01091","Marengo County, Alabama","25635","null","5595","null",
"0500000US01093","Marion County, Alabama","21311","null","1285","null",
"0500000US01095","Marshall County, Alabama","24453","null","837","null",
"0500000US01097","Mobile County, Alabama","25861","null","420","null",
"0500000US01099","Monroe County, Alabama","20527","null","1301","null",
"0500000US01101","Montgomery County, Alabama","29071","null","709","null",
"0500000US01103","Morgan County, Alabama","27367","null","849","null",
"0500000US01105","Perry County, Alabama","15055","null","2347","null",
"0500000US01107","Pickens County, Alabama","23024","null","1440","null",
"0500000US01109","Pike County, Alabama","22453","null","1509","null",
"0500000US01111","Randolph County, Alabama","24721","null","2275","null",
"0500000US01113","Russell County, Alabama","23470","null","1067","null",
"0500000US01115","St. Clair County, Alabama","26409","null","1010","null",
"0500000US01117","Shelby County, Alabama","38549","null","978","null",
"0500000US01119","Sumter County, Alabama","16799","null","1670","null",
"0500000US01121","Talladega County, Alabama","23305","null","971","null",
"0500000US01123","Tallapoosa County, Alabama","25217","null","1046","null",
"0500000US01125","Tuscaloosa County, Alabama","26789","null","650","null",
"0500000US01127","Walker County, Alabama","23882","null","916","null",
"0500000US01129","Washington County, Alabama","26752","null","5471","null",
"0500000US01131","Wilcox County, Alabama","16841","null","1299","null",
"0500000US01133","Winston County, Alabama","22952","null","1470","null",
"0500000US02013","Aleutians East Borough, Alaska","33939","null","1818","null",
"0500000US02016","Aleutians West Census Area, Alaska","39647","null","2219","null",
"0500000US02020","Anchorage Municipality, Alaska","41415","null","817","null",
"0500000US02050","Bethel Census Area, Alaska","19885","null","1146","null",
"0500000US02060","Bristol Bay Borough, Alaska","44168","null","6088","null",
"0500000US02068","Denali Borough, Alaska","34365","null","7798","null",
"0500000US02070","Dillingham Census Area, Alaska","25993","null","2525","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","37025","null","1315","null",
"0500000US02100","Haines Borough, Alaska","31731","null","4336","null",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","36091","null","4224","null",
"0500000US02110","Juneau City and Borough, Alaska","43680","null","2785","null",
"0500000US02122","Kenai Peninsula Borough, Alaska","34226","null","1393","null",
"0500000US02130","Ketchikan Gateway Borough, Alaska","37590","null","1649","null",
"0500000US02150","Kodiak Island Borough, Alaska","32876","null","2524","null",
"0500000US02158","Kusilvak Census Area, Alaska","13762","null","2612","null",
"0500000US02164","Lake and Peninsula Borough, Alaska","24836","null","2413","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","31232","null","612","null",
"0500000US02180","Nome Census Area, Alaska","23581","null","1321","null",
"0500000US02185","North Slope Borough, Alaska","48730","null","2798","null",
"0500000US02188","Northwest Arctic Borough, Alaska","23780","null","1765","null",
"0500000US02195","Petersburg Borough, Alaska","36112","null","2723","null",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","27080","null","1533","null",
"0500000US02220","Sitka City and Borough, Alaska","39615","null","2612","null",
"0500000US02230","Skagway Municipality, Alaska","39453","null","5082","null",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","32193","null","2773","null",
"0500000US02261","Valdez-Cordova Census Area, Alaska","38907","null","2501","null",
"0500000US02275","Wrangell City and Borough, Alaska","32286","null","3315","null",
"0500000US02282","Yakutat City and Borough, Alaska","32198","null","3388","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","22718","null","1437","null",
"0500000US04001","Apache County, Arizona","15128","null","487","null",
"0500000US04003","Cochise County, Arizona","26819","null","823","null",
"0500000US04005","Coconino County, Arizona","27339","null","843","null",
"0500000US04007","Gila County, Arizona","24251","null","976","null",
"0500000US04009","Graham County, Arizona","18683","null","789","null",
"0500000US04011","Greenlee County, Arizona","25780","null","2152","null",
"0500000US04012","La Paz County, Arizona","22879","null","1570","null",
"0500000US04013","Maricopa County, Arizona","33279","null","203","null",
"0500000US04015","Mohave County, Arizona","26166","null","598","null",
"0500000US04017","Navajo County, Arizona","18935","null","563","null",
"0500000US04019","Pima County, Arizona","29707","null","314","null",
"0500000US04021","Pinal County, Arizona","24959","null","477","null",
"0500000US04023","Santa Cruz County, Arizona","21480","null","1526","null",
"0500000US04025","Yavapai County, Arizona","30341","null","676","null",
"0500000US04027","Yuma County, Arizona","21758","null","531","null",
"0500000US05001","Arkansas County, Arkansas","26386","null","1628","null",
"0500000US05003","Ashley County, Arkansas","23391","null","1848","null",
"0500000US05005","Baxter County, Arkansas","26863","null","1536","null",
"0500000US05007","Benton County, Arkansas","34442","null","699","null",
"0500000US05009","Boone County, Arkansas","24727","null","1331","null",
"0500000US05011","Bradley County, Arkansas","22945","null","1321","null",
"0500000US05013","Calhoun County, Arkansas","23688","null","1573","null",
"0500000US05015","Carroll County, Arkansas","25295","null","2304","null",
"0500000US05017","Chicot County, Arkansas","20232","null","2416","null",
"0500000US05019","Clark County, Arkansas","21337","null","1042","null",
"0500000US05021","Clay County, Arkansas","22505","null","1401","null",
"0500000US05023","Cleburne County, Arkansas","27227","null","1726","null",
"0500000US05025","Cleveland County, Arkansas","24225","null","1428","null",
"0500000US05027","Columbia County, Arkansas","21189","null","1826","null",
"0500000US05029","Conway County, Arkansas","25158","null","2058","null",
"0500000US05031","Craighead County, Arkansas","26948","null","1293","null",
"0500000US05033","Crawford County, Arkansas","24547","null","1667","null",
"0500000US05035","Crittenden County, Arkansas","23172","null","887","null",
"0500000US05037","Cross County, Arkansas","25380","null","2452","null",
"0500000US05039","Dallas County, Arkansas","20517","null","1256","null",
"0500000US05041","Desha County, Arkansas","19235","null","1283","null",
"0500000US05043","Drew County, Arkansas","25543","null","2712","null",
"0500000US05045","Faulkner County, Arkansas","26913","null","989","null",
"0500000US05047","Franklin County, Arkansas","20480","null","1229","null",
"0500000US05049","Fulton County, Arkansas","19697","null","1474","null",
"0500000US05051","Garland County, Arkansas","27171","null","1154","null",
"0500000US05053","Grant County, Arkansas","28153","null","2177","null",
