"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","22386","null","958","null",
"0500000US04001","Apache County, Arizona","14499","null","496","null",
"0500000US04003","Cochise County, Arizona","25436","null","644","null",
"0500000US04005","Coconino County, Arizona","26387","null","706","null",
"0500000US04007","Gila County, Arizona","22939","null","984","null",
"0500000US04009","Graham County, Arizona","18113","null","815","null",
"0500000US04011","Greenlee County, Arizona","25349","null","2311","null",
"0500000US04012","La Paz County, Arizona","21845","null","1617","null",
"0500000US04013","Maricopa County, Arizona","31697","null","186","null",
"0500000US04015","Mohave County, Arizona","24829","null","623","null",
"0500000US04017","Navajo County, Arizona","18333","null","549","null",
"0500000US04019","Pima County, Arizona","28480","null","293","null",
"0500000US04021","Pinal County, Arizona","23653","null","442","null",
"0500000US04023","Santa Cruz County, Arizona","20324","null","1196","null",
"0500000US04025","Yavapai County, Arizona","28829","null","606","null",
"0500000US04027","Yuma County, Arizona","21178","null","488","null",
"0500000US05001","Arkansas County, Arkansas","24714","null","1620","null",
"0500000US05003","Ashley County, Arkansas","22052","null","1852","null",
"0500000US05005","Baxter County, Arkansas","26004","null","1409","null",
"0500000US05007","Benton County, Arkansas","32624","null","720","null",
"0500000US05009","Boone County, Arkansas","23998","null","1181","null",
"0500000US05011","Bradley County, Arkansas","22411","null","1184","null",
"0500000US05013","Calhoun County, Arkansas","24509","null","1515","null",
"0500000US05015","Carroll County, Arkansas","24185","null","2057","null",
"0500000US05017","Chicot County, Arkansas","21843","null","2992","null",
"0500000US05019","Clark County, Arkansas","21571","null","999","null",
"0500000US05021","Clay County, Arkansas","20353","null","1255","null",
"0500000US05023","Cleburne County, Arkansas","26620","null","1589","null",
"0500000US05025","Cleveland County, Arkansas","23538","null","1495","null",
"0500000US05027","Columbia County, Arkansas","21372","null","1865","null",
"0500000US05029","Conway County, Arkansas","23750","null","1588","null",
"0500000US05031","Craighead County, Arkansas","26432","null","1126","null",
"0500000US05033","Crawford County, Arkansas","23851","null","1611","null",
"0500000US05035","Crittenden County, Arkansas","21882","null","801","null",
"0500000US05037","Cross County, Arkansas","24486","null","2612","null",
"0500000US05039","Dallas County, Arkansas","19401","null","1505","null",
"0500000US05041","Desha County, Arkansas","18475","null","1388","null",
"0500000US05043","Drew County, Arkansas","23005","null","2059","null",
"0500000US05045","Faulkner County, Arkansas","26163","null","902","null",
"0500000US05047","Franklin County, Arkansas","20262","null","1027","null",
"0500000US05049","Fulton County, Arkansas","19413","null","1486","null",
"0500000US05051","Garland County, Arkansas","26791","null","1434","null",
"0500000US05053","Grant County, Arkansas","25907","null","2277","null",
"0500000US05055","Greene County, Arkansas","22874","null","867","null",
"0500000US05057","Hempstead County, Arkansas","20168","null","1189","null",
"0500000US05059","Hot Spring County, Arkansas","21064","null","1413","null",
"0500000US05061","Howard County, Arkansas","24590","null","2937","null",
"0500000US05063","Independence County, Arkansas","23426","null","1160","null",
"0500000US05065","Izard County, Arkansas","20501","null","1790","null",
"0500000US05067","Jackson County, Arkansas","19848","null","1917","null",
"0500000US05069","Jefferson County, Arkansas","20925","null","861","null",
"0500000US05071","Johnson County, Arkansas","19681","null","1348","null",
"0500000US05073","Lafayette County, Arkansas","26005","null","4312","null",
"0500000US05075","Lawrence County, Arkansas","20451","null","1144","null",
"0500000US05077","Lee County, Arkansas","15771","null","1712","null",
"0500000US05079","Lincoln County, Arkansas","13636","null","1848","null",
"0500000US05081","Little River County, Arkansas","26216","null","2268","null",
"0500000US05083","Logan County, Arkansas","22221","null","2959","null",
"0500000US05085","Lonoke County, Arkansas","26222","null","742","null",
"0500000US05087","Madison County, Arkansas","23875","null","2422","null",
"0500000US05089","Marion County, Arkansas","19710","null","1185","null",
"0500000US05091","Miller County, Arkansas","22938","null","1123","null",
"0500000US05093","Mississippi County, Arkansas","20879","null","920","null",
"0500000US05095","Monroe County, Arkansas","22274","null","1746","null",
"0500000US05097","Montgomery County, Arkansas","22347","null","1985","null",
"0500000US05099","Nevada County, Arkansas","18618","null","1569","null",
"0500000US05101","Newton County, Arkansas","18907","null","1442","null",
"0500000US05103","Ouachita County, Arkansas","21520","null","1320","null",
"0500000US05105","Perry County, Arkansas","21699","null","1639","null",
"0500000US05107","Phillips County, Arkansas","18402","null","1285","null",
"0500000US05109","Pike County, Arkansas","21919","null","1595","null",
"0500000US05111","Poinsett County, Arkansas","19413","null","908","null",
"0500000US05113","Polk County, Arkansas","20176","null","1310","null",
"0500000US05115","Pope County, Arkansas","22110","null","1047","null",
"0500000US05117","Prairie County, Arkansas","24075","null","1779","null",
"0500000US05119","Pulaski County, Arkansas","31359","null","598","null",
"0500000US05121","Randolph County, Arkansas","21338","null","1676","null",
"0500000US05123","St. Francis County, Arkansas","17491","null","1077","null",
"0500000US05125","Saline County, Arkansas","29358","null","707","null",
"0500000US05127","Scott County, Arkansas","17375","null","1392","null",
"0500000US05129","Searcy County, Arkansas","20709","null","2186","null",
"0500000US05131","Sebastian County, Arkansas","25084","null","845","null",
"0500000US05133","Sevier County, Arkansas","20627","null","1410","null",
"0500000US05135","Sharp County, Arkansas","20721","null","2849","null",
"0500000US05137","Stone County, Arkansas","20496","null","1956","null",
"0500000US05139","Union County, Arkansas","24522","null","1363","null",
