"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"0500000US02282","Yakutat City and Borough, Alaska","39950","6173","null","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","25711","2114","null","null",
"0500000US04001","Apache County, Arizona","16888","626","null","null",
"0500000US04003","Cochise County, Arizona","29494","752","null","null",
"0500000US04005","Coconino County, Arizona","30218","1151","null","null",
"0500000US04007","Gila County, Arizona","27797","1519","null","null",
"0500000US04009","Graham County, Arizona","20741","934","null","null",
"0500000US04011","Greenlee County, Arizona","27407","3200","null","null",
"0500000US04012","La Paz County, Arizona","26165","1995","null","null",
"0500000US04013","Maricopa County, Arizona","37570","242","null","null",
"0500000US04015","Mohave County, Arizona","29657","769","null","null",
"0500000US04017","Navajo County, Arizona","20858","582","null","null",
"0500000US04019","Pima County, Arizona","33016","401","null","null",
"0500000US04021","Pinal County, Arizona","29284","807","null","null",
"0500000US04023","Santa Cruz County, Arizona","22985","1352","null","null",
"0500000US04025","Yavapai County, Arizona","33588","824","null","null",
"0500000US04027","Yuma County, Arizona","25057","899","null","null",
"0500000US05001","Arkansas County, Arkansas","28815","2693","null","null",
"0500000US05003","Ashley County, Arkansas","25641","3077","null","null",
"0500000US05005","Baxter County, Arkansas","28726","2333","null","null",
"0500000US05007","Benton County, Arkansas","39045","1266","null","null",
"0500000US05009","Boone County, Arkansas","25850","1275","null","null",
"0500000US05011","Bradley County, Arkansas","23162","1735","null","null",
"0500000US05013","Calhoun County, Arkansas","25482","2639","null","null",
"0500000US05015","Carroll County, Arkansas","27416","2445","null","null",
"0500000US05017","Chicot County, Arkansas","21820","2913","null","null",
"0500000US05019","Clark County, Arkansas","23773","1511","null","null",
"0500000US05021","Clay County, Arkansas","23747","1545","null","null",
"0500000US05023","Cleburne County, Arkansas","28868","2321","null","null",
"0500000US05025","Cleveland County, Arkansas","26167","2348","null","null",
"0500000US05027","Columbia County, Arkansas","25293","3609","null","null",
"0500000US05029","Conway County, Arkansas","27435","2304","null","null",
"0500000US05031","Craighead County, Arkansas","29106","1105","null","null",
"0500000US05033","Crawford County, Arkansas","26609","1581","null","null",
"0500000US05035","Crittenden County, Arkansas","24880","964","null","null",
"0500000US05037","Cross County, Arkansas","25410","1989","null","null",
"0500000US05039","Dallas County, Arkansas","22683","2085","null","null",
"0500000US05041","Desha County, Arkansas","19955","1649","null","null",
"0500000US05043","Drew County, Arkansas","26250","2794","null","null",
"0500000US05045","Faulkner County, Arkansas","28851","1029","null","null",
"0500000US05047","Franklin County, Arkansas","22391","1632","null","null",
"0500000US05049","Fulton County, Arkansas","20817","1316","null","null",
"0500000US05051","Garland County, Arkansas","29214","1581","null","null",
"0500000US05053","Grant County, Arkansas","32428","3480","null","null",
"0500000US05055","Greene County, Arkansas","24806","1068","null","null",
"0500000US05057","Hempstead County, Arkansas","23132","1469","null","null",
"0500000US05059","Hot Spring County, Arkansas","23411","1505","null","null",
"0500000US05061","Howard County, Arkansas","24969","1899","null","null",
"0500000US05063","Independence County, Arkansas","25030","1661","null","null",
"0500000US05065","Izard County, Arkansas","22047","2377","null","null",
"0500000US05067","Jackson County, Arkansas","21238","2009","null","null",
"0500000US05069","Jefferson County, Arkansas","23015","1008","null","null",
"0500000US05071","Johnson County, Arkansas","22509","1902","null","null",
"0500000US05073","Lafayette County, Arkansas","20605","1975","null","null",
"0500000US05075","Lawrence County, Arkansas","23086","1418","null","null",
"0500000US05077","Lee County, Arkansas","19688","4203","null","null",
