"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)",
"0500000US01001","Autauga County, Alabama","27824","null","2024","null",
"0500000US01003","Baldwin County, Alabama","29364","null","736","null",
"0500000US01005","Barbour County, Alabama","17561","null","798","null",
"0500000US01007","Bibb County, Alabama","20911","null","1889","null",
"0500000US01009","Blount County, Alabama","22021","null","850","null",
"0500000US01011","Bullock County, Alabama","20856","null","2355","null",
"0500000US01013","Butler County, Alabama","19004","null","943","null",
"0500000US01015","Calhoun County, Alabama","23638","null","793","null",
"0500000US01017","Chambers County, Alabama","22002","null","1205","null",
"0500000US01019","Cherokee County, Alabama","23010","null","1354","null",
"0500000US01021","Chilton County, Alabama","23368","null","1925","null",
"0500000US01023","Choctaw County, Alabama","20994","null","1307","null",
"0500000US01025","Clarke County, Alabama","20765","null","1203","null",
"0500000US01027","Clay County, Alabama","21330","null","1553","null",
"0500000US01029","Cleburne County, Alabama","20873","null","1251","null",
"0500000US01031","Coffee County, Alabama","26216","null","950","null",
"0500000US01033","Colbert County, Alabama","23675","null","816","null",
"0500000US01035","Conecuh County, Alabama","16337","null","934","null",
"0500000US01037","Coosa County, Alabama","20342","null","1728","null",
"0500000US01039","Covington County, Alabama","22431","null","830","null",
"0500000US01041","Crenshaw County, Alabama","21580","null","1212","null",
"0500000US01043","Cullman County, Alabama","21857","null","729","null",
"0500000US01045","Dale County, Alabama","23194","null","868","null",
"0500000US01047","Dallas County, Alabama","18248","null","759","null",
"0500000US01049","DeKalb County, Alabama","20020","null","899","null",
"0500000US01051","Elmore County, Alabama","26251","null","957","null",
"0500000US01053","Escambia County, Alabama","18164","null","902","null",
"0500000US01055","Etowah County, Alabama","22278","null","640","null",
"0500000US01057","Fayette County, Alabama","21191","null","1541","null",
"0500000US01059","Franklin County, Alabama","19314","null","1021","null",
"0500000US01061","Geneva County, Alabama","21084","null","1064","null",
"0500000US01063","Greene County, Alabama","14197","null","1242","null",
"0500000US01065","Hale County, Alabama","20269","null","1273","null",
"0500000US01067","Henry County, Alabama","23983","null","1525","null",
"0500000US01069","Houston County, Alabama","24781","null","390","null",
"0500000US01071","Jackson County, Alabama","20946","null","910","null",
"0500000US01073","Jefferson County, Alabama","29456","null","452","null",
"0500000US01075","Lamar County, Alabama","21152","null","2374","null",
"0500000US01077","Lauderdale County, Alabama","25803","null","908","null",
"0500000US01079","Lawrence County, Alabama","22419","null","1154","null",
"0500000US01081","Lee County, Alabama","26170","null","938","null",
"0500000US01083","Limestone County, Alabama","26685","null","1095","null",
"0500000US01085","Lowndes County, Alabama","18976","null","2109","null",
"0500000US01087","Macon County, Alabama","19564","null","1121","null",
"0500000US01089","Madison County, Alabama","34232","null","709","null",
"0500000US01091","Marengo County, Alabama","22996","null","3092","null",
"0500000US01093","Marion County, Alabama","21835","null","1411","null",
"0500000US01095","Marshall County, Alabama","22710","null","717","null",
"0500000US01097","Mobile County, Alabama","24347","null","428","null",
"0500000US01099","Monroe County, Alabama","17264","null","1295","null",
"0500000US01101","Montgomery County, Alabama","26712","null","611","null",
"0500000US01103","Morgan County, Alabama","25013","null","822","null",
"0500000US01105","Perry County, Alabama","13449","null","1725","null",
"0500000US01107","Pickens County, Alabama","20089","null","1105","null",
"0500000US01109","Pike County, Alabama","20808","null","1650","null",
"0500000US01111","Randolph County, Alabama","20983","null","1532","null",
"0500000US01113","Russell County, Alabama","21279","null","873","null",
"0500000US01115","St. Clair County, Alabama","24686","null","787","null",
"0500000US01117","Shelby County, Alabama","35330","null","711","null",
"0500000US01119","Sumter County, Alabama","14739","null","1110","null",
"0500000US01121","Talladega County, Alabama","21382","null","723","null",
