"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)",
"0500000US01001","Autauga County, Alabama","29804","1986","null","null",
"0500000US01003","Baldwin County, Alabama","33751","944","null","null",
"0500000US01005","Barbour County, Alabama","20074","1603","null","null",
"0500000US01007","Bibb County, Alabama","22626","1785","null","null",
"0500000US01009","Blount County, Alabama","25457","1387","null","null",
"0500000US01011","Bullock County, Alabama","20783","1910","null","null",
"0500000US01013","Butler County, Alabama","23415","1382","null","null",
"0500000US01015","Calhoun County, Alabama","26238","769","null","null",
"0500000US01017","Chambers County, Alabama","24088","1341","null","null",
"0500000US01019","Cherokee County, Alabama","26231","2054","null","null",
"0500000US01021","Chilton County, Alabama","25894","2173","null","null",
"0500000US01023","Choctaw County, Alabama","23292","1792","null","null",
"0500000US01025","Clarke County, Alabama","24574","2297","null","null",
"0500000US01027","Clay County, Alabama","25337","2578","null","null",
"0500000US01029","Cleburne County, Alabama","24723","1858","null","null",
"0500000US01031","Coffee County, Alabama","27912","927","null","null",
"0500000US01033","Colbert County, Alabama","25807","1029","null","null",
"0500000US01035","Conecuh County, Alabama","20756","1759","null","null",
"0500000US01037","Coosa County, Alabama","25083","2374","null","null",
"0500000US01039","Covington County, Alabama","25303","1767","null","null",
"0500000US01041","Crenshaw County, Alabama","26351","3559","null","null",
"0500000US01043","Cullman County, Alabama","24770","819","null","null",
"0500000US01045","Dale County, Alabama","24473","974","null","null",
"0500000US01047","Dallas County, Alabama","19653","925","null","null",
"0500000US01049","DeKalb County, Alabama","22511","976","null","null",
"0500000US01051","Elmore County, Alabama","29585","1166","null","null",
"0500000US01053","Escambia County, Alabama","18587","1390","null","null",
"0500000US01055","Etowah County, Alabama","25094","823","null","null",
"0500000US01057","Fayette County, Alabama","23389","1920","null","null",
"0500000US01059","Franklin County, Alabama","21503","1308","null","null",
"0500000US01061","Geneva County, Alabama","22415","1176","null","null",
"0500000US01063","Greene County, Alabama","16425","1827","null","null",
"0500000US01065","Hale County, Alabama","20652","1523","null","null",
"0500000US01067","Henry County, Alabama","26011","1749","null","null",
"0500000US01069","Houston County, Alabama","27794","535","null","null",
"0500000US01071","Jackson County, Alabama","23844","1041","null","null",
"0500000US01073","Jefferson County, Alabama","33343","579","null","null",
"0500000US01075","Lamar County, Alabama","22299","1487","null","null",
"0500000US01077","Lauderdale County, Alabama","28540","1241","null","null",
"0500000US01079","Lawrence County, Alabama","24779","1222","null","null",
"0500000US01081","Lee County, Alabama","28804","1128","null","null",
"0500000US01083","Limestone County, Alabama","28695","1045","null","null",
"0500000US01085","Lowndes County, Alabama","21298","1507","null","null",
"0500000US01087","Macon County, Alabama","22170","1356","null","null",
"0500000US01089","Madison County, Alabama","38192","800","null","null",
"0500000US01091","Marengo County, Alabama","27975","6981","null","null",
"0500000US01093","Marion County, Alabama","22486","1626","null","null",
"0500000US01095","Marshall County, Alabama","25861","929","null","null",
"0500000US01097","Mobile County, Alabama","26778","570","null","null",
"0500000US01099","Monroe County, Alabama","21885","1464","null","null",
"0500000US01101","Montgomery County, Alabama","29543","699","null","null",
"0500000US01103","Morgan County, Alabama","28474","1059","null","null",
"0500000US01105","Perry County, Alabama","13833","1609","null","null",
"0500000US01107","Pickens County, Alabama","23476","1910","null","null",
"0500000US01109","Pike County, Alabama","23784","2101","null","null",
"0500000US01111","Randolph County, Alabama","24744","2001","null","null",
"0500000US01113","Russell County, Alabama","24300","1458","null","null",
"0500000US01115","St. Clair County, Alabama","27941","1179","null","null",
"0500000US01117","Shelby County, Alabama","39711","1104","null","null",
"0500000US01119","Sumter County, Alabama","16977","983","null","null",
"0500000US01121","Talladega County, Alabama","24244","1193","null","null",
"0500000US01123","Tallapoosa County, Alabama","25640","1188","null","null",
"0500000US01125","Tuscaloosa County, Alabama","27609","879","null","null",
"0500000US01127","Walker County, Alabama","25330","1433","null","null",
"0500000US01129","Washington County, Alabama","30391","6005","null","null",
"0500000US01131","Wilcox County, Alabama","19031","1140","null","null",
"0500000US01133","Winston County, Alabama","23269","1327","null","null",
"0500000US02013","Aleutians East Borough, Alaska","36973","2502","null","null",
"0500000US02016","Aleutians West Census Area, Alaska","44164","2732","null","null",
"0500000US02020","Anchorage Municipality, Alaska","41127","737","null","null",
"0500000US02050","Bethel Census Area, Alaska","21392","1676","null","null",
"0500000US02060","Bristol Bay Borough, Alaska","46950","7538","null","null",
"0500000US02063","Chugach Census Area, Alaska","42592","3784","null","null",
"0500000US02066","Copper River Census Area, Alaska","33776","4101","null","null",
"0500000US02068","Denali Borough, Alaska","35873","10263","null","null",
"0500000US02070","Dillingham Census Area, Alaska","26381","2892","null","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","38031","1508","null","null",
"0500000US02100","Haines Borough, Alaska","30069","5143","null","null",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","37200","4163","null","null",
"0500000US02110","Juneau City and Borough, Alaska","43074","1772","null","null",
"0500000US02122","Kenai Peninsula Borough, Alaska","35312","1719","null","null",
"0500000US02130","Ketchikan Gateway Borough, Alaska","38343","1837","null","null",
"0500000US02150","Kodiak Island Borough, Alaska","32495","2237","null","null",
"0500000US02158","Kusilvak Census Area, Alaska","14109","2826","null","null",
"0500000US02164","Lake and Peninsula Borough, Alaska","24983","2742","null","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","31963","751","null","null",
"0500000US02180","Nome Census Area, Alaska","24613","1092","null","null",
"0500000US02185","North Slope Borough, Alaska","45889","3116","null","null",
"0500000US02188","Northwest Arctic Borough, Alaska","25601","1935","null","null",
"0500000US02195","Petersburg Borough, Alaska","34296","2575","null","null",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","28652","1471","null","null",
"0500000US02220","Sitka City and Borough, Alaska","41082","2706","null","null",
"0500000US02230","Skagway Municipality, Alaska","41842","5418","null","null",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","31885","2591","null","null",
"0500000US02275","Wrangell City and Borough, Alaska","32159","3008","null","null",
"0500000US02282","Yakutat City and Borough, Alaska","32861","3529","null","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","24587","2355","null","null",
"0500000US04001","Apache County, Arizona","15781","462","null","null",
"0500000US04003","Cochise County, Arizona","28021","710","null","null",
"0500000US04005","Coconino County, Arizona","27631","950","null","null",
"0500000US04007","Gila County, Arizona","26265","1203","null","null",
"0500000US04009","Graham County, Arizona","19878","765","null","null",
"0500000US04011","Greenlee County, Arizona","27618","2431","null","null",
"0500000US04012","La Paz County, Arizona","24039","2034","null","null",
"0500000US04013","Maricopa County, Arizona","35090","258","null","null",
"0500000US04015","Mohave County, Arizona","27968","988","null","null",
"0500000US04017","Navajo County, Arizona","19623","612","null","null",
"0500000US04019","Pima County, Arizona","30747","349","null","null",
"0500000US04021","Pinal County, Arizona","27354","1149","null","null",
"0500000US04023","Santa Cruz County, Arizona","21686","1521","null","null",
"0500000US04025","Yavapai County, Arizona","31779","993","null","null",
"0500000US04027","Yuma County, Arizona","23507","798","null","null",
"0500000US05001","Arkansas County, Arkansas","26969","1945","null","null",
"0500000US05003","Ashley County, Arkansas","23138","1824","null","null",
"0500000US05005","Baxter County, Arkansas","27695","1961","null","null",
"0500000US05007","Benton County, Arkansas","36597","1259","null","null",
"0500000US05009","Boone County, Arkansas","24749","1354","null","null",
"0500000US05011","Bradley County, Arkansas","22912","1506","null","null",
"0500000US05013","Calhoun County, Arkansas","24823","1994","null","null",
"0500000US05015","Carroll County, Arkansas","26445","2635","null","null",
"0500000US05017","Chicot County, Arkansas","21418","2136","null","null",
"0500000US05019","Clark County, Arkansas","21708","1389","null","null",
"0500000US05021","Clay County, Arkansas","22935","1321","null","null",
"0500000US05023","Cleburne County, Arkansas","27490","1990","null","null",
"0500000US05025","Cleveland County, Arkansas","23998","2243","null","null",
"0500000US05027","Columbia County, Arkansas","23217","2961","null","null",
"0500000US05029","Conway County, Arkansas","26539","2555","null","null",
"0500000US05031","Craighead County, Arkansas","28407","1297","null","null",
"0500000US05033","Crawford County, Arkansas","25460","1393","null","null",
"0500000US05035","Crittenden County, Arkansas","24161","910","null","null",
"0500000US05037","Cross County, Arkansas","25205","2457","null","null",
"0500000US05039","Dallas County, Arkansas","21229","1289","null","null",
"0500000US05041","Desha County, Arkansas","19090","1436","null","null",
