RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022
864,256,Benton County,county,AR,AR,"Fayetteville-Springdale-Rogers, AR",5,7,182054,182663,183055,183551,183816,184048,184844,186103,187283,187889,188028,188651,189726,191659,192904,194894,195996,196722,196411,196495,197303,198620,199396,200365,200098,200305,200355,200798,201272,201918,203328,204855,205964,206770,207784,209353,211136,212161,212781,213769,215093,217180,219077,221827,224537,227824,230671,234303,238388,242709,246746,250506,255370,260613,266821,272950,278540,284570,290521,296903,302122,307801,313082,319114,325657,333272,339146,343313,346579,348646
1509,257,Alachua County,county,FL,FL,"Gainesville, FL",12,1,168874,171362,172990,173704,173437,173986,175410,177397,179592,181256,182616,182852,181908,181118,181424,183151,185677,187661,188846,189117,189048,188973,189656,191399,192996,194099,194193,195137,195735,196521,197103,198110,199575,200512,200850,201549,202880,205025,205837,206803,207367,208084,208087,209413,211104,213685,216270,219123,221470,222895,224001,225584,227669,231557,236344,240988,244782,248382,252247,256133,260219,264720,269355,274698,279389,284470,288125,291232,294207,296522
1900,258,Madison County,county,IL,IL,"St. Louis, MO-IL",17,119,119678,119830,120029,120548,121207,121804,122522,122893,123186,123415,123833,124450,124993,125550,125871,126132,126091,125650,125252,125165,125729,126450,127171,127897,128451,129171,129468,129212,128514,128139,128406,128962,129353,130208,130898,131905,132140,132522,132802,133451,133821,134168,134662,135565,136874,138145,139701,140914,142365,143661,145332,146969,149144,151642,154039,155999,157190,158262,158806,159436,160326,161892,163485,164353,165826,167349,169453,170916,171799,172856
3122,259,Saint Clair County,county,IL,IL,"St. Louis, MO-IL",17,163,109639,109459,109065,109165,109678,110209,110320,110508,110670,111283,111489,111694,112146,112619,112836,112375,112030,112372,112997,113459,113747,113878,114309,114792,115559,116430,116854,116998,116797,116577,116284,116070,115971,115981,116656,117476,117790,117568,117276,117819,118157,118758,119242,120392,121777,122990,123790,124573,125684,127036,128468,129585,131408,133672,136720,138710,140199,141613,143970,146611,148996,150877,152481,153782,155354,156807,158347,159248,160619,161917
2761,260,Kalamazoo County,county,MI,MI,"Kalamazoo-Portage, MI",26,77,149475,150070,151227,152686,153974,154652,155306,156262,157061,157651,158654,160001,161463,162517,163635,164083,164914,165633,167163,168983,170484,171553,172424,173270,173944,174680,176250,177834,178632,178563,178461,178943,179563,180118,180889,182050,183256,184288,185041,185731,185695,185859,186831,188691,191284,194043,196455,198391,200035,200727,203141,205644,210185,213429,216853,220010,222326,224457,225372,226701,228486,232074,234710,237293,239702,243036,245697,247091,247770,248808
410,261,Brown County,county,WI,WI,"Green Bay, WI",55,9,156298,157951,159518,161087,161954,162871,163614,164831,165681,166563,167364,168102,168414,169064,170331,172323,173467,174942,175445,175711,175476,176326,177220,178261,178988,179895,181079,181926,182563,183453,184148,184900,184857,185161,185527,186622,187864,189406,190788,192365,193211,194482,195499,197942,199955,202231,204627,207296,209938,212214,216114,220050,224433,227076,229068,230954,232873,234967,236666,237663,239746,242542,246856,251295,254444,257161,258732,259996,260330,261734
625,262,Marin County,county,CA,CA,"San Francisco-Oakland-Berkeley, CA",6,41,1064673,1082558,1094665,1100903,1102743,1100078,1097665,1098055,1104976,1115290,1127975,1138875,1145052,1147548,1146628,1152037,1155540,1160674,1157853,1159527,1164840,1173354,1176840,1175585,1177169,1176459,1175604,1171427,1169864,1170132,1165526,1155777,1148373,1147010,1152566,1155720,1158320,1168920,1176295,1180724,1178167,1186780,1202841,1220123,1238710,1252507,1265849,1272835,1284259,1290123,1302053,1315268,1345823,1375668,1413564,1438628,1454285,1457145,1465306,1472133,1485217,1512286,1553543,1597017,1627513,1648451,1663088,1658198,1635773,1605759
2156,263,Buncombe County,county,NC,NC,"Asheville, NC",37,21,263787,264888,265734,267166,268321,269253,271026,273652,276031,277954,279098,280910,281827,283590,284891,286976,288360,289854,291089,292247,293138,293787,294436,294590,295274,295823,296840,297082,296787,296681,297265,298196,299947,300958,302226,302704,304320,306129,308280,309574,309759,309988,310714,313584,316727,320518,323512,327787,333656,340802,346761,350876,355218,360216,367584,374634,382591,388736,393954,398202,402242,408143,414791,423321,430689,436528,439610,441018,442094,445378
3061,264,Washington County,county,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",27,163,284621,286596,289038,292572,294230,294711,294300,294227,295237,297515,299956,302364,304917,306127,306951,306879,308156,309505,311206,312505,313505,314799,315013,316623,317332,318193,317490,317768,318679,320520,321455,322798,323941,324700,324942,326086,327379,328127,329417,331810,334134,334463,335237,337320,340457,344198,349521,354139,357907,360930,364180,367670,372176,378638,385639,392076,396600,400155,400953,402818,405773,409685,414379,417400,421902,425516,427092,424198,420474,419426
3225,265,Saint Tammany Parish,county,LA,LA,"New Orleans-Metairie, LA",22,103,209131,208703,209469,210277,211076,211075,211569,211624,212591,212764,213566,214386,215302,215942,214882,213687,212260,212311,212284,212670,212061,212363,211665,209735,207791,207304,209409,211201,212826,213163,212986,212465,212744,212823,213346,215580,217802,219223,219072,220531,221880,223699,224313,226329,227460,229425,231678,234621,238417,241476,244128,245092,246985,249927,254409,258513,262969,266282,269017,272144,275606,279770,281971,285098,286991,290500,292222,293881,292401,291315
