,Unnamed: 0,fips,name,state_Ab,state,C_S,C_Sa
71,71,2060,Bristol Bay Borough,AK,Alaska,"Bristol Bay Borough,Alaska","Bristol Bay Borough,AK"
72,72,2068,Denali Borough,AK,Alaska,"Denali Borough,Alaska","Denali Borough,AK"
73,73,2070,Dillingham Census Area,AK,Alaska,"Dillingham Census Area,Alaska","Dillingham Census Area,AK"
74,74,2090,Fairbanks North Star Borough,AK,Alaska,"Fairbanks North Star Borough,Alaska","Fairbanks North Star Borough,AK"
75,75,2100,Haines Borough,AK,Alaska,"Haines Borough,Alaska","Haines Borough,AK"
76,76,2105,Hoonah-Angoon Census Area,AK,Alaska,"Hoonah-Angoon Census Area,Alaska","Hoonah-Angoon Census Area,AK"
77,77,2110,Juneau City and Borough,AK,Alaska,"Juneau City and Borough,Alaska","Juneau City and Borough,AK"
78,78,2122,Kenai Peninsula Borough,AK,Alaska,"Kenai Peninsula Borough,Alaska","Kenai Peninsula Borough,AK"
79,79,2130,Ketchikan Gateway Borough,AK,Alaska,"Ketchikan Gateway Borough,Alaska","Ketchikan Gateway Borough,AK"
80,80,2150,Kodiak Island Borough,AK,Alaska,"Kodiak Island Borough,Alaska","Kodiak Island Borough,AK"
81,81,2164,Lake and Peninsula Borough,AK,Alaska,"Lake and Peninsula Borough,Alaska","Lake and Peninsula Borough,AK"
82,82,2170,Matanuska-Susitna Borough,AK,Alaska,"Matanuska-Susitna Borough,Alaska","Matanuska-Susitna Borough,AK"
83,83,2180,Nome Census Area,AK,Alaska,"Nome Census Area,Alaska","Nome Census Area,AK"
84,84,2185,North Slope Borough,AK,Alaska,"North Slope Borough,Alaska","North Slope Borough,AK"
85,85,2188,Northwest Arctic Borough,AK,Alaska,"Northwest Arctic Borough,Alaska","Northwest Arctic Borough,AK"
86,86,2195,Petersburg Borough,AK,Alaska,"Petersburg Borough,Alaska","Petersburg Borough,AK"
87,87,2198,Prince of Wales-Hyder Census Area,AK,Alaska,"Prince of Wales-Hyder Census Area,Alaska","Prince of Wales-Hyder Census Area,AK"
88,88,2220,Sitka City and Borough,AK,Alaska,"Sitka City and Borough,Alaska","Sitka City and Borough,AK"
89,89,2230,Skagway Municipality,AK,Alaska,"Skagway Municipality,Alaska","Skagway Municipality,AK"
90,90,2240,Southeast Fairbanks Census Area,AK,Alaska,"Southeast Fairbanks Census Area,Alaska","Southeast Fairbanks Census Area,AK"
91,91,2261,Valdez-Cordova Census Area,AK,Alaska,"Valdez-Cordova Census Area,Alaska","Valdez-Cordova Census Area,AK"
92,92,2270,Wade Hampton Census Area,AK,Alaska,"Wade Hampton Census Area,Alaska","Wade Hampton Census Area,AK"
93,93,2275,Wrangell City and Borough,AK,Alaska,"Wrangell City and Borough,Alaska","Wrangell City and Borough,AK"
