,RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
1741,2064,1749,Wabasha County,county,MN,MN,"Rochester, MN",27,157,192876.0,194205.0,195747.0,197126.0,198385.0,199331.0,200198.0,201036.0,201466.0,202014.0,202829.0,204126.0,205307.0,206448.0,207645.0,208886.0,209773.0,210336.0,210465.0,210624.0,210960.0,211887.0,213145.0,214359.0,215543.0,216880.0,218194.0,219440.0,220397.0,221457.0,222493.0,223420.0,224465.0,225056.0,224929.0,224540.0,224400.0,224156.0,223908.0,223723.0,224328.0,224589.0,225100.0,225162.0,225756.0,226370.0,229116.0,231672.0,235463.0,238615.0,242427.0,245238.0,247983.0,250366.0,252719.0,255099.0,257520.0,260087.0,261785.0,265951.0
1742,758,1750,Tyler County,county,TX,TX,,48,457,104222.0,105024.0,105721.0,106139.0,106651.0,106956.0,107124.0,107287.0,107344.0,107683.0,108074.0,108778.0,108790.0,108635.0,108414.0,108697.0,109095.0,109650.0,110112.0,110579.0,110088.0,109789.0,109418.0,109903.0,110293.0,110805.0,111288.0,111930.0,112612.0,113379.0,113974.0,114461.0,114705.0,115055.0,116596.0,118254.0,119695.0,119481.0,119340.0,119174.0,119327.0,119512.0,120059.0,120500.0,121194.0,121828.0,123136.0,124026.0,126344.0,128581.0,131253.0,132932.0,134700.0,136408.0,138101.0,139681.0,141284.0,142580.0,143696.0,147061.0
1743,1907,1751,Madison County,county,NC,NC,"Asheville, NC",37,115,200525.0,201673.0,202675.0,203885.0,204960.0,206224.0,207100.0,207998.0,208823.0,209981.0,211500.0,212869.0,214786.0,216493.0,218334.0,219472.0,220603.0,221954.0,223366.0,224741.0,226028.0,227192.0,227906.0,228532.0,229138.0,230203.0,231189.0,231866.0,232383.0,232924.0,233366.0,233817.0,234331.0,235146.0,234893.0,234508.0,234314.0,235355.0,236477.0,237141.0,237871.0,238824.0,240097.0,240417.0,240478.0,240271.0,242081.0,244396.0,,252307.0,254358.0,255797.0,260763.0,267134.0,272634.0,274876.0,277493.0,279604.0,281240.0,286857.0
1744,2945,1752,Jo Daviess County,county,IL,IL,,17,85,165739.0,165800.0,165972.0,166542.0,167077.0,167661.0,168235.0,168643.0,169021.0,168974.0,169147.0,169100.0,169051.0,168891.0,168948.0,169215.0,169456.0,169633.0,169745.0,169817.0,169794.0,169631.0,169585.0,170008.0,170653.0,171317.0,171783.0,172038.0,172300.0,172242.0,172632.0,173105.0,173653.0,173872.0,173447.0,173153.0,172823.0,173041.0,173418.0,173906.0,173877.0,173534.0,173303.0,173366.0,,177695.0,180416.0,181240.0,183373.0,185464.0,187652.0,189184.0,190674.0,192413.0,194372.0,196532.0,198744.0,200100.0,201176.0,202286.0
1745,339,1753,Yell County,county,AR,AR,"Russellville, AR",5,149,82591.0,82823.0,83265.0,83720.0,84223.0,84496.0,84508.0,85374.0,86317.0,86942.0,86362.0,85772.0,85036.0,84936.0,84777.0,85318.0,85655.0,86217.0,86630.0,86852.0,87031.0,87289.0,87729.0,88114.0,88393.0,88582.0,88920.0,89574.0,90056.0,90475.0,90541.0,90870.0,91228.0,91917.0,92603.0,93041.0,93214.0,93201.0,93214.0,93483.0,93435.0,93530.0,93441.0,93820.0,94090.0,94887.0,95887.0,96684.0,98076.0,99632.0,101498.0,102591.0,103680.0,104950.0,106118.0,106994.0,107750.0,108461.0,109059.0,111294.0
1746,2423,1754,McDuffie County,county,GA,GA,"Augusta-Richmond County, GA-SC",13,189,114289.0,114781.0,115269.0,115783.0,116302.0,116856.0,117277.0,117871.0,118523.0,119369.0,120249.0,120967.0,121715.0,122330.0,123062.0,123593.0,124298.0,125027.0,125792.0,126268.0,126759.0,127200.0,127934.0,128572.0,129414.0,130093.0,131024.0,131758.0,132604.0,133386.0,134349.0,135074.0,135583.0,135983.0,,135222.0,134754.0,135238.0,135621.0,136294.0,136744.0,137498.0,137899.0,138091.0,138021.0,137863.0,138962.0,140021.0,142689.0,145017.0,147922.0,150001.0,150142.0,150221.0,150206.0,151893.0,153532.0,155012.0,156179.0,159805.0
1747,952,1755,Colusa County,county,CA,CA,,6,11,236287.0,236621.0,237107.0,237926.0,239298.0,240657.0,240766.0,241077.0,241382.0,243139.0,245237.0,247524.0,249605.0,251324.0,253246.0,255425.0,257421.0,259021.0,258535.0,258231.0,257809.0,258874.0,259814.0,260888.0,262589.0,264102.0,265563.0,266607.0,267782.0,268972.0,267791.0,266497.0,265322.0,266700.0,267605.0,268144.0,267880.0,267427.0,267156.0,267366.0,267416.0,267258.0,268475.0,270462.0,272767.0,273677.0,274793.0,275726.0,279996.0,284818.0,290797.0,294934.0,299523.0,304112.0,310225.0,316635.0,323459.0,327768.0,331878.0,336799.0
1748,651,1756,Moore County,county,TX,TX,"Dumas, TX",48,341,114918.0,115842.0,116739.0,117704.0,118595.0,119509.0,119928.0,120561.0,120847.0,121353.0,121811.0,122723.0,123292.0,124067.0,124559.0,125456.0,126346.0,127286.0,128086.0,128635.0,129283.0,130012.0,130633.0,131116.0,131653.0,132436.0,133260.0,134033.0,134530.0,134629.0,134674.0,134963.0,135822.0,136891.0,138160.0,138855.0,139499.0,139217.0,139283.0,139082.0,139372.0,139303.0,139423.0,139414.0,139914.0,139863.0,140336.0,140601.0,143075.0,145481.0,148398.0,149783.0,151282.0,152415.0,153865.0,155256.0,156999.0,158322.0,159343.0,162551.0
1749,1266,1757,Newton County,county,MS,MS,,28,101,87284.0,87220.0,87324.0,87393.0,87414.0,87453.0,87524.0,87695.0,87770.0,88029.0,88357.0,88622.0,89078.0,89617.0,90202.0,90450.0,90711.0,91109.0,91814.0,92302.0,92853.0,93400.0,94146.0,94912.0,95581.0,96057.0,96465.0,96694.0,97152.0,97465.0,97631.0,97759.0,98023.0,98845.0,99611.0,100449.0,100828.0,101062.0,100981.0,100523.0,100054.0,99908.0,100262.0,100145.0,99824.0,99307.0,99801.0,101590.0,103857.0,105851.0,106837.0,107687.0,108474.0,109051.0,109577.0,109770.0,109818.0,109775.0,109768.0,111453.0
1750,2135,1758,Barnwell County,county,SC,SC,,45,11,96407.0,96678.0,96264.0,96391.0,96603.0,97028.0,98032.0,98837.0,99689.0,99843.0,99795.0,99613.0,99175.0,98942.0,99082.0,99270.0,99592.0,99478.0,99584.0,99662.0,100076.0,100520.0,101095.0,101639.0,101746.0,101667.0,101478.0,101832.0,102244.0,102453.0,102653.0,103271.0,104190.0,104885.0,105046.0,104822.0,104671.0,105069.0,105713.0,106503.0,106792.0,107263.0,107724.0,108086.0,108652.0,109429.0,110669.0,111743.0,113470.0,115227.0,117230.0,118677.0,119910.0,120902.0,121984.0,123084.0,124163.0,124943.0,125578.0,127739.0
