,YEAR,C_S,WA,BA,IA,AA,NA,TOM,NH,H
5541,2019,"Bartow County,Georgia",91359,12200,670,1126,133,2269,97878,9879
5553,2017,"Ben Hill County,Georgia",10398,6161,102,141,11,246,16019,1040
5554,2018,"Ben Hill County,Georgia",10197,6104,106,144,7,236,15762,1032
5555,2019,"Ben Hill County,Georgia",10009,6184,120,142,7,249,15648,1063
5567,2017,"Berrien County,Georgia",16499,2050,67,180,10,265,18113,958
5568,2018,"Berrien County,Georgia",16581,2090,79,186,14,257,18235,972
5569,2019,"Berrien County,Georgia",16653,2166,80,186,13,279,18316,1061
5581,2017,"Bibb County,Georgia",62105,84653,425,3254,174,2309,147975,4945
5582,2018,"Bibb County,Georgia",61558,85234,420,3279,184,2394,147894,5175
5583,2019,"Bibb County,Georgia",61131,85604,441,3381,193,2441,147754,5437
5595,2017,"Bleckley County,Georgia",9087,3373,28,126,3,152,12387,382
5596,2018,"Bleckley County,Georgia",9106,3392,27,130,3,175,12411,422
5597,2019,"Bleckley County,Georgia",9111,3453,27,145,3,184,12487,436
5609,2017,"Brantley County,Georgia",17691,675,85,54,3,340,18403,445
5610,2018,"Brantley County,Georgia",17799,728,90,54,3,347,18607,414
5611,2019,"Brantley County,Georgia",17864,762,95,59,5,339,18688,436
5623,2017,"Brooks County,Georgia",9645,5486,65,170,31,244,14719,922
5624,2018,"Brooks County,Georgia",9516,5425,61,184,33,272,14598,893
5625,2019,"Brooks County,Georgia",9475,5461,67,209,33,273,14579,939
5637,2017,"Bryan County,Georgia",29397,5501,199,782,52,1160,34382,2709
5638,2018,"Bryan County,Georgia",30203,5616,216,832,61,1223,35345,2806
5639,2019,"Bryan County,Georgia",31092,5991,253,902,70,1384,36598,3094
5651,2017,"Bulloch County,Georgia",50689,22475,341,1000,79,1462,73037,3009
5652,2018,"Bulloch County,Georgia",51394,22912,348,1011,81,1586,74110,3222
5653,2019,"Bulloch County,Georgia",52971,23588,361,1081,96,1621,76293,3425
5665,2017,"Burke County,Georgia",11174,10797,86,121,26,349,21870,683
5666,2018,"Burke County,Georgia",11221,10688,97,113,26,356,21779,722
5667,2019,"Burke County,Georgia",11308,10569,104,115,26,375,21760,737
5679,2017,"Butts County,Georgia",16574,6878,86,163,11,352,23294,770
5680,2018,"Butts County,Georgia",16627,6915,91,157,11,371,23347,825
5681,2019,"Butts County,Georgia",17046,7201,92,175,10,393,24042,875
5693,2017,"Calhoun County,Georgia",2309,3898,29,51,21,85,6085,308
5694,2018,"Calhoun County,Georgia",2295,3858,31,55,21,80,6017,323
5695,2019,"Calhoun County,Georgia",2225,3764,36,56,20,83,5863,321
5707,2017,"Camden County,Georgia",40082,10091,364,852,112,1710,49556,3655
5708,2018,"Camden County,Georgia",40501,10215,356,846,114,1784,50045,3771
5709,2019,"Camden County,Georgia",41060,10481,383,891,118,1851,50822,3962
5721,2017,"Candler County,Georgia",7725,2651,35,121,18,148,9446,1252
5722,2018,"Candler County,Georgia",7830,2655,34,126,18,150,9516,1297
5723,2019,"Candler County,Georgia",7824,2682,36,116,15,162,9544,1291
5735,2017,"Carroll County,Georgia",90074,22843,668,1145,92,2615,109439,7998
5736,2018,"Carroll County,Georgia",90560,22947,664,1175,107,2641,109725,8369
5737,2019,"Carroll County,Georgia",91724,23600,673,1225,104,2789,111503,8612
5749,2017,"Catoosa County,Georgia",62143,1903,277,962,87,1198,64587,1983
5750,2018,"Catoosa County,Georgia",62869,1905,301,971,115,1241,65355,2047
5751,2019,"Catoosa County,Georgia",62928,1951,298,982,110,1316,65507,2078
5763,2017,"Charlton County,Georgia",8370,3846,210,101,9,243,12158,621
5764,2018,"Charlton County,Georgia",8447,3793,214,104,12,256,12184,642
5765,2019,"Charlton County,Georgia",8631,4039,223,100,12,272,12538,739
5777,2017,"Chatham County,Georgia",155161,118025,1003,8589,430,6563,271191,18580
5778,2018,"Chatham County,Georgia",154227,118815,1023,8680,427,6599,270758,19013
5779,2019,"Chatham County,Georgia",153523,119595,1055,8824,432,6756,270849,19336
5791,2017,"Chattahoochee County,Georgia",7156,2032,167,320,77,445,8628,1569
5792,2018,"Chattahoochee County,Georgia",7374,2117,137,301,112,507,8835,1713
5793,2019,"Chattahoochee County,Georgia",7716,2129,148,331,135,532,9165,1826
5805,2017,"Chattooga County,Georgia",21502,2509,102,134,76,434,23486,1271
5806,2018,"Chattooga County,Georgia",21568,2497,111,134,79,447,23499,1337
5807,2019,"Chattooga County,Georgia",21568,2469,117,138,80,474,23493,1353
5819,2017,"Cherokee County,Georgia",218540,17723,1326,4882,273,5200,222110,25834
5820,2018,"Cherokee County,Georgia",222991,18896,1396,5166,287,5541,227270,27007
5821,2019,"Cherokee County,Georgia",226702,19817,1428,5513,281,5734,231127,28348
5833,2017,"Clarke County,Georgia",81803,36181,491,5337,176,2686,113051,13623
5834,2018,"Clarke County,Georgia",82121,36413,496,5180,199,2770,113430,13749
5835,2019,"Clarke County,Georgia",83069,36426,489,5213,181,2860,114387,13851
5847,2017,"Clay County,Georgia",1102,1802,11,24,1,31,2921,50
5848,2018,"Clay County,Georgia",1090,1748,11,27,3,22,2852,49
5849,2019,"Clay County,Georgia",1097,1736,11,32,2,23,2857,44
5861,2017,"Clayton County,Georgia",56189,204230,1713,14948,425,6670,247031,37144
5862,2018,"Clayton County,Georgia",55805,209334,1719,14996,496,6879,251211,38018
5863,2019,"Clayton County,Georgia",55109,213113,1747,14872,495,7068,253619,38785
5875,2017,"Clinch County,Georgia",4624,1808,59,24,8,135,6298,360
5876,2018,"Clinch County,Georgia",4593,1800,58,25,8,117,6238,363
5877,2019,"Clinch County,Georgia",4584,1819,61,25,8,140,6259,378
5889,2017,"Cobb County,Georgia",474661,213983,3772,41105,585,19255,656480,96881
5890,2018,"Cobb County,Georgia",474356,216691,3791,41919,631,19745,658321,98812
5891,2019,"Cobb County,Georgia",473874,219332,3790,43199,629,20236,660857,100203
5903,2017,"Coffee County,Georgia",29500,12145,209,372,39,606,37887,4984
5904,2018,"Coffee County,Georgia",29450,12320,232,382,36,640,37972,5088
5905,2019,"Coffee County,Georgia",29432,12509,228,388,40,681,38134,5144
5917,2017,"Colquitt County,Georgia",33029,10842,563,419,73,575,36758,8743
5918,2018,"Colquitt County,Georgia",32944,10847,557,439,77,603,36571,8896
5919,2019,"Colquitt County,Georgia",32981,10945,539,424,80,600,36686,8883
5931,2017,"Columbia County,Georgia",112230,27231,611,6566,304,4815,141647,10110
5932,2018,"Columbia County,Georgia",113360,28483,650,6639,302,4965,143761,10638
5933,2019,"Columbia County,Georgia",114464,29596,677,6905,301,5186,145994,11135
5945,2017,"Cook County,Georgia",11961,4778,71,135,14,258,16255,962
5946,2018,"Cook County,Georgia",11898,4798,71,132,10,252,16192,969
5947,2019,"Cook County,Georgia",11946,4817,74,124,11,269,16226,1015
5959,2017,"Coweta County,Georgia",110436,26101,592,3065,169,2855,133254,9964
5960,2018,"Coweta County,Georgia",112368,26795,599,3179,174,2948,135609,10454
5961,2019,"Coweta County,Georgia",113989,27334,632,3337,187,3025,137709,10795
5973,2017,"Crawford County,Georgia",9344,2527,83,111,3,168,11837,399
5974,2018,"Crawford County,Georgia",9328,2549,89,112,3,192,11820,453
5975,2019,"Crawford County,Georgia",9365,2596,93,109,3,179,11893,452
5987,2017,"Crisp County,Georgia",11967,10109,65,253,21,260,21932,743
5988,2018,"Crisp County,Georgia",11866,10071,71,267,21,276,21773,799
5989,2019,"Crisp County,Georgia",11684,10036,77,258,21,306,21546,836
6001,2017,"Dade County,Georgia",15586,207,96,157,12,212,15888,382
6002,2018,"Dade County,Georgia",15552,195,95,152,11,233,15861,377
6003,2019,"Dade County,Georgia",15361,223,98,161,11,249,15725,378
6015,2017,"Dawson County,Georgia",23498,216,103,193,16,384,23307,1103
6016,2018,"Dawson County,Georgia",24154,223,125,209,16,379,23891,1215
6017,2019,"Dawson County,Georgia",25000,299,120,258,18,396,24754,1337
6029,2017,"Decatur County,Georgia",14586,11370,211,168,37,355,25147,1580
6030,2018,"Decatur County,Georgia",14454,11347,212,167,38,395,24960,1653
6031,2019,"Decatur County,Georgia",14319,11333,213,183,43,405,24826,1670
6043,2017,"DeKalb County,Georgia",268356,413824,3808,48635,905,16152,688262,63418
6044,2018,"DeKalb County,Georgia",269912,415183,3770,49170,919,16560,691798,63716
6045,2019,"DeKalb County,Georgia",271903,416626,3795,49835,986,16787,695738,64194
6057,2017,"Dodge County,Georgia",14031,6238,86,104,37,281,20033,744
6058,2018,"Dodge County,Georgia",13986,6319,93,112,37,311,20086,772
6059,2019,"Dodge County,Georgia",13814,6308,98,108,39,305,19897,775
6071,2017,"Dooly County,Georgia",6616,6765,42,113,10,148,12718,976
6072,2018,"Dooly County,Georgia",6567,6850,40,97,10,154,12780,938
6073,2019,"Dooly County,Georgia",6396,6711,41,97,10,145,12451,949
6085,2017,"Dougherty County,Georgia",24311,62779,249,833,183,1182,86992,2545
6086,2018,"Dougherty County,Georgia",23658,63123,243,846,190,1187,86639,2608
6087,2019,"Dougherty County,Georgia",23021,62367,250,826,191,1199,85167,2687
6099,2017,"Douglas County,Georgia",69066,67602,641,2452,242,3560,129845,13718
6100,2018,"Douglas County,Georgia",67716,70420,677,2480,244,3723,131013,14247
6101,2019,"Douglas County,Georgia",66352,73062,730,2442,252,3842,131789,14891
6113,2017,"Early County,Georgia",4826,5253,59,74,2,99,10069,244
6114,2018,"Early County,Georgia",4733,5285,56,75,6,100,10016,239
6115,2019,"Early County,Georgia",4649,5279,56,76,6,110,9944,232
6127,2017,"Echols County,Georgia",3426,230,115,21,8,88,2758,1130
6128,2018,"Echols County,Georgia",3441,242,119,29,10,92,2788,1145
6129,2019,"Echols County,Georgia",3436,265,125,32,10,95,2783,1180
6141,2017,"Effingham County,Georgia",49571,8342,269,678,68,1193,57478,2643
6142,2018,"Effingham County,Georgia",51182,8757,270,711,73,1281,59291,2983
6143,2019,"Effingham County,Georgia",52685,9223,276,716,72,1370,61184,3158
6155,2017,"Elbert County,Georgia",13037,5541,73,178,10,265,18014,1090
6156,2018,"Elbert County,Georgia",13022,5469,86,191,10,275,17949,1104
6157,2019,"Elbert County,Georgia",13091,5557,87,193,11,266,18075,1130
6169,2017,"Emanuel County,Georgia",14133,7879,87,148,17,264,21514,1014
6170,2018,"Emanuel County,Georgia",14171,7869,99,159,18,266,21559,1023
6171,2019,"Emanuel County,Georgia",14203,7840,98,170,16,273,21560,1040
6183,2017,"Evans County,Georgia",7022,3352,56,135,37,145,9480,1267
6184,2018,"Evans County,Georgia",6934,3366,56,131,37,153,9406,1271
6185,2019,"Evans County,Georgia",6935,3338,61,124,42,161,9399,1262
6197,2017,"Fannin County,Georgia",24588,202,102,144,11,301,24735,613
6198,2018,"Fannin County,Georgia",25196,217,117,156,13,296,25347,648
6199,2019,"Fannin County,Georgia",25228,225,108,159,13,335,25375,693
6211,2017,"Fayette County,Georgia",77007,26650,479,5760,147,2583,104490,8136
6212,2018,"Fayette County,Georgia",76376,27607,525,5966,154,2705,105066,8267
6213,2019,"Fayette County,Georgia",76300,28943,530,5936,153,2783,106109,8536
6225,2017,"Floyd County,Georgia",78603,14378,790,1494,279,1915,86687,10772
6226,2018,"Floyd County,Georgia",78688,14626,835,1516,285,1957,86841,11066
6227,2019,"Floyd County,Georgia",78858,14729,848,1532,286,2072,86986,11339
6239,2017,"Forsyth County,Georgia",183718,8764,1146,31541,153,4045,207962,21405
6240,2018,"Forsyth County,Georgia",186432,9845,1154,35270,175,4454,215026,22304
6241,2019,"Forsyth County,Georgia",188715,10781,1180,38999,188,4761,221471,23153
6253,2017,"Franklin County,Georgia",19965,2146,94,279,12,380,21809,1067
6254,2018,"Franklin County,Georgia",20011,2191,96,308,17,416,21948,1091
6255,2019,"Franklin County,Georgia",20258,2174,106,331,13,440,22162,1160
6267,2017,"Fulton County,Georgia",475306,463324,2921,76462,596,21387,965837,74159
6268,2018,"Fulton County,Georgia",479036,467428,2911,79350,567,22224,976271,75245
6269,2019,"Fulton County,Georgia",483516,472909,2921,82089,471,23113,988727,76292
6281,2017,"Gilmer County,Georgia",29180,390,201,187,150,362,26927,3543
6282,2018,"Gilmer County,Georgia",29684,394,206,197,156,374,27361,3650
6283,2019,"Gilmer County,Georgia",30192,420,210,206,162,385,27829,3746
6295,2017,"Glascock County,Georgia",2682,279,17,7,2,44,2977,54
6296,2018,"Glascock County,Georgia",2639,268,15,7,2,37,2911,57
6297,2019,"Glascock County,Georgia",2638,253,15,3,2,48,2905,54
6309,2017,"Glynn County,Georgia",58606,22804,404,1347,166,1509,79408,5428
6310,2018,"Glynn County,Georgia",58662,22907,437,1405,157,1531,79551,5548
6311,2019,"Glynn County,Georgia",58871,22818,465,1426,160,1586,79562,5764
6323,2017,"Gordon County,Georgia",52551,2415,325,725,245,943,48119,9085
6324,2018,"Gordon County,Georgia",52933,2478,319,787,252,968,48452,9285
6325,2019,"Gordon County,Georgia",53099,2545,321,826,252,1003,48498,9548
6337,2017,"Grady County,Georgia",16545,7289,320,159,68,381,21952,2810
6338,2018,"Grady County,Georgia",16527,7271,299,170,68,395,21911,2819
6339,2019,"Grady County,Georgia",16371,7272,309,179,70,387,21749,2839
6351,2017,"Greene County,Georgia",10751,5921,137,164,24,228,16220,1005
6352,2018,"Greene County,Georgia",11145,5972,154,184,25,250,16650,1080
6353,2019,"Greene County,Georgia",11656,6020,170,206,25,279,17207,1149
6365,2017,"Gwinnett County,Georgia",507728,264559,7888,111626,1119,25761,726239,192442
6366,2018,"Gwinnett County,Georgia",505179,272008,7910,115234,1173,26568,730814,197258
6367,2019,"Gwinnett County,Georgia",501946,279622,7990,119144,1150,27547,735958,201441
6379,2017,"Habersham County,Georgia",40519,1691,426,1111,200,740,37944,6743
6380,2018,"Habersham County,Georgia",41171,1793,456,1106,268,786,38506,7074
6381,2019,"Habersham County,Georgia",41118,1714,474,1090,340,806,38171,7371
6393,2017,"Hall County,Georgia",173544,15882,1711,4067,375,3275,142654,56200
6394,2018,"Hall County,Georgia",175425,16162,1699,4248,383,3479,143903,57493
6395,2019,"Hall County,Georgia",177684,16518,1739,4389,367,3613,145443,58867
6407,2017,"Hancock County,Georgia",2235,6102,47,89,2,70,8341,204
6408,2018,"Hancock County,Georgia",2180,5947,50,86,2,79,8138,206
6409,2019,"Hancock County,Georgia",2229,6039,48,84,2,73,8248,227
6421,2017,"Haralson County,Georgia",27077,1350,106,242,19,492,28782,504
6422,2018,"Haralson County,Georgia",27366,1368,111,252,17,512,29066,560
6423,2019,"Haralson County,Georgia",27626,1339,117,248,10,544,29280,604
6435,2017,"Harris County,Georgia",27065,5710,156,387,44,583,32710,1235
6436,2018,"Harris County,Georgia",27504,5765,178,413,46,646,33237,1315
6437,2019,"Harris County,Georgia",27994,5859,172,442,48,673,33796,1392
6449,2017,"Hart County,Georgia",20027,4912,53,269,9,438,24779,929
6450,2018,"Hart County,Georgia",20286,5000,54,284,9,445,25127,951
6451,2019,"Hart County,Georgia",20396,5038,54,307,9,451,25268,987
6463,2017,"Heard County,Georgia",10209,1166,60,66,4,243,11439,309
6464,2018,"Heard County,Georgia",10284,1135,60,63,2,257,11470,331
6465,2019,"Heard County,Georgia",10282,1148,62,63,2,268,11483,342
6477,2017,"Henry County,Georgia",109372,101678,798,7552,269,5577,209923,15323
6478,2018,"Henry County,Georgia",107532,107595,891,7678,278,5899,213520,16353
6479,2019,"Henry County,Georgia",105385,114093,959,7916,266,6052,217690,16981
6491,2017,"Houston County,Georgia",94075,48622,679,4576,286,4519,142834,9923
6492,2018,"Houston County,Georgia",94264,50361,688,4757,293,4641,144888,10116
6493,2019,"Houston County,Georgia",94543,52046,686,4929,311,4912,147144,10283
6505,2017,"Irwin County,Georgia",6517,2639,16,80,3,107,8993,369
6506,2018,"Irwin County,Georgia",6532,2650,19,76,3,115,9002,393
6507,2019,"Irwin County,Georgia",6588,2633,25,79,2,115,9048,394
6519,2017,"Jackson County,Georgia",59974,4799,248,1374,46,1240,62611,5070
6520,2018,"Jackson County,Georgia",62207,5066,261,1445,46,1322,64670,5677
6521,2019,"Jackson County,Georgia",64356,5407,286,1583,51,1332,66816,6199
6533,2017,"Jasper County,Georgia",10725,2798,71,49,2,236,13330,551
6534,2018,"Jasper County,Georgia",10859,2800,68,42,2,253,13479,545
6535,2019,"Jasper County,Georgia",11047,2776,73,48,2,261,13638,569
6547,2017,"Jeff Davis County,Georgia",12312,2306,108,101,13,193,13250,1783
6548,2018,"Jeff Davis County,Georgia",12298,2287,118,106,14,192,13175,1840
6549,2019,"Jeff Davis County,Georgia",12307,2319,123,119,13,220,13194,1907
6561,2017,"Jefferson County,Georgia",7070,8265,35,105,13,150,15038,600
6562,2018,"Jefferson County,Georgia",6974,8140,35,97,12,165,14823,600
6563,2019,"Jefferson County,Georgia",6962,8055,36,105,13,173,14729,615
6575,2017,"Jenkins County,Georgia",4794,3822,44,82,20,82,8298,546
6576,2018,"Jenkins County,Georgia",4785,3760,39,92,20,94,8221,569
6577,2019,"Jenkins County,Georgia",4759,3719,47,96,20,93,8158,576
6589,2017,"Johnson County,Georgia",6230,3331,38,39,3,109,9516,234
6590,2018,"Johnson County,Georgia",6224,3341,41,42,3,116,9511,256
6591,2019,"Johnson County,Georgia",6191,3331,41,39,3,119,9451,273
6603,2017,"Jones County,Georgia",20663,7105,99,181,4,407,27963,496
6604,2018,"Jones County,Georgia",20712,7209,102,180,5,395,28090,513
6605,2019,"Jones County,Georgia",20709,7282,110,177,5,406,28155,534
6617,2017,"Lamar County,Georgia",12489,5566,70,130,6,321,18118,464
6618,2018,"Lamar County,Georgia",12519,5807,72,139,7,322,18396,470
6619,2019,"Lamar County,Georgia",12745,5689,72,137,7,351,18516,485
6631,2017,"Lanier County,Georgia",7656,2261,102,128,4,305,9838,618
6632,2018,"Lanier County,Georgia",7629,2284,106,127,4,300,9828,622
6633,2019,"Lanier County,Georgia",7717,2313,124,121,5,301,9866,715
6645,2017,"Laurens County,Georgia",28451,17569,165,508,13,656,46116,1246
6646,2018,"Laurens County,Georgia",28307,17615,175,509,9,678,45989,1304
6647,2019,"Laurens County,Georgia",28296,17862,187,521,14,687,46231,1336
6659,2017,"Lee County,Georgia",21939,6192,104,766,29,399,28598,831
6660,2018,"Lee County,Georgia",21891,6549,96,793,29,406,28891,873
6661,2019,"Lee County,Georgia",21766,6968,104,753,29,425,29099,946
6673,2017,"Liberty County,Georgia",29526,27259,455,1345,418,2816,53949,7870
6674,2018,"Liberty County,Georgia",28603,27183,453,1333,402,2913,53203,7684
6675,2019,"Liberty County,Georgia",29501,28180,505,1332,402,2893,54855,7958
6687,2017,"Lincoln County,Georgia",5326,2326,39,37,6,125,7701,158
6688,2018,"Lincoln County,Georgia",5410,2295,42,38,6,136,7761,166
6689,2019,"Lincoln County,Georgia",5460,2282,45,39,6,137,7794,175
6701,2017,"Long County,Georgia",12426,5147,147,244,89,769,16691,2131
6702,2018,"Long County,Georgia",12733,5163,164,259,88,741,16909,2239
6703,2019,"Long County,Georgia",12880,5411,177,273,85,821,17462,2185
6715,2017,"Lowndes County,Georgia",67198,42836,520,2271,188,2482,108909,6586
6716,2018,"Lowndes County,Georgia",67337,43365,528,2327,189,2615,109531,6830
6717,2019,"Lowndes County,Georgia",67551,44248,544,2361,190,2706,110541,7059
6729,2017,"Lumpkin County,Georgia",31129,550,234,253,46,600,31225,1587
6730,2018,"Lumpkin County,Georgia",31244,566,234,254,44,592,31292,1642
6731,2019,"Lumpkin County,Georgia",31916,577,244,274,49,632,31992,1700
6743,2017,"McDuffie County,Georgia",11948,8987,90,110,20,362,20870,647
6744,2018,"McDuffie County,Georgia",11904,9017,92,119,20,393,20854,691
6745,2019,"McDuffie County,Georgia",11805,8887,91,117,20,397,20597,720
6757,2017,"McIntosh County,Georgia",8951,4768,92,60,15,206,13786,306
6758,2018,"McIntosh County,Georgia",9019,4863,90,62,17,192,13925,318
6759,2019,"McIntosh County,Georgia",9043,4841,85,73,17,235,13963,331
6771,2017,"Macon County,Georgia",4787,8044,66,209,18,131,12697,558
6772,2018,"Macon County,Georgia",4781,7944,66,195,18,149,12593,560
6773,2019,"Macon County,Georgia",4643,7872,70,177,18,154,12370,564
6785,2017,"Madison County,Georgia",25455,2659,117,521,9,492,27659,1594
6786,2018,"Madison County,Georgia",25686,2729,122,565,9,542,27940,1713
6787,2019,"Madison County,Georgia",25772,2858,123,612,12,548,28119,1806
6799,2017,"Marion County,Georgia",5430,2643,85,73,58,149,7793,645
6800,2018,"Marion County,Georgia",5396,2632,86,71,59,148,7735,657
6801,2019,"Marion County,Georgia",5434,2583,93,78,59,166,7740,673
6813,2017,"Meriwether County,Georgia",12194,8274,102,121,11,309,20562,449
6814,2018,"Meriwether County,Georgia",12227,8247,112,122,8,345,20606,455
6815,2019,"Meriwether County,Georgia",12321,8160,116,130,9,376,20591,521
6827,2017,"Miller County,Georgia",4047,1623,24,38,3,81,5642,174
6828,2018,"Miller County,Georgia",3914,1586,23,34,2,87,5493,153
6829,2019,"Miller County,Georgia",3922,1585,27,38,2,93,5504,163
6841,2017,"Mitchell County,Georgia",11030,10715,131,184,22,231,21290,1023
6842,2018,"Mitchell County,Georgia",10865,10689,135,190,16,261,21157,999
6843,2019,"Mitchell County,Georgia",10778,10468,129,192,16,263,20799,1047
6855,2017,"Monroe County,Georgia",20141,6247,95,273,10,387,26525,628
6856,2018,"Monroe County,Georgia",20490,6254,107,276,10,386,26871,652
6857,2019,"Monroe County,Georgia",20640,6286,97,278,10,366,27035,642
6869,2017,"Montgomery County,Georgia",6481,2371,16,55,2,107,8443,589
6870,2018,"Montgomery County,Georgia",6605,2366,12,57,2,115,8524,633
6871,2019,"Montgomery County,Georgia",6573,2378,11,60,2,124,8483,665
6883,2017,"Morgan County,Georgia",13675,4151,125,133,7,283,17814,560
6884,2018,"Morgan County,Georgia",14088,4152,124,124,8,312,18216,592
6885,2019,"Morgan County,Georgia",14488,4177,125,127,7,315,18642,597
6897,2017,"Murray County,Georgia",38070,485,378,225,101,502,33831,5930
6898,2018,"Murray County,Georgia",38162,469,381,227,115,482,33797,6039
6899,2019,"Murray County,Georgia",38281,477,398,214,119,507,33799,6197
6911,2017,"Muscogee County,Georgia",88992,92372,1011,5270,514,5699,179130,14728
6912,2018,"Muscogee County,Georgia",88597,92966,974,5390,527,5908,179417,14945
6913,2019,"Muscogee County,Georgia",88677,94067,1044,5510,538,6238,180805,15269
6925,2017,"Newton County,Georgia",54573,49314,452,1207,106,2251,101970,5933
6926,2018,"Newton County,Georgia",54140,51230,489,1283,113,2301,103228,6328
6927,2019,"Newton County,Georgia",53888,53522,536,1339,119,2490,105177,6717
6939,2017,"Oconee County,Georgia",33752,1967,100,1620,14,669,36135,1987
6940,2018,"Oconee County,Georgia",34835,2071,111,1675,20,788,37308,2192
6941,2019,"Oconee County,Georgia",35503,2085,127,1735,29,817,38016,2280
6953,2017,"Oglethorpe County,Georgia",11862,2515,60,122,7,285,14141,710
6954,2018,"Oglethorpe County,Georgia",11964,2578,58,136,7,291,14280,754
6955,2019,"Oglethorpe County,Georgia",12097,2644,59,137,7,278,14455,767
6967,2017,"Paulding County,Georgia",121475,31941,636,1837,130,3623,149699,9943
6968,2018,"Paulding County,Georgia",123360,34430,693,1966,146,3887,153628,10854
6969,2019,"Paulding County,Georgia",125064,37176,701,2119,154,4088,157345,11957
6981,2017,"Peach County,Georgia",14239,11983,132,305,24,496,25128,2051
6982,2018,"Peach County,Georgia",14334,12236,128,332,23,521,25467,2107
6983,2019,"Peach County,Georgia",14354,12313,127,320,27,556,25458,2239
6995,2017,"Pickens County,Georgia",30345,389,143,231,11,423,30550,992
6996,2018,"Pickens County,Georgia",30789,403,154,232,15,446,31059,980
6997,2019,"Pickens County,Georgia",31319,435,167,248,18,461,31622,1026
7009,2017,"Pierce County,Georgia",16967,1656,153,120,18,286,18249,951
7010,2018,"Pierce County,Georgia",17105,1673,163,128,18,311,18446,952
7011,2019,"Pierce County,Georgia",17104,1688,170,126,17,338,18464,979
7023,2017,"Pike County,Georgia",16046,1738,52,87,3,287,17921,292
7024,2018,"Pike County,Georgia",16453,1722,56,86,6,299,18319,303
7025,2019,"Pike County,Georgia",16768,1733,60,91,6,295,18614,339
7037,2017,"Polk County,Georgia",34956,5406,341,304,86,749,36429,5413
7038,2018,"Polk County,Georgia",35356,5454,359,316,91,797,36813,5560
7039,2019,"Polk County,Georgia",35543,5444,379,331,101,818,36846,5770
7051,2017,"Pulaski County,Georgia",7269,3588,51,118,11,160,10807,390
7052,2018,"Pulaski County,Georgia",7232,3482,51,124,11,179,10689,390
7053,2019,"Pulaski County,Georgia",7215,3557,51,130,10,198,10764,397
7065,2017,"Putnam County,Georgia",15314,5789,97,142,51,283,20312,1364
7066,2018,"Putnam County,Georgia",15349,5827,103,136,52,282,20400,1349
7067,2019,"Putnam County,Georgia",15642,5852,114,130,50,295,20729,1354
7079,2017,"Quitman County,Georgia",1171,1107,18,9,0,29,2293,41
7080,2018,"Quitman County,Georgia",1141,1054,18,8,0,33,2217,37
7081,2019,"Quitman County,Georgia",1147,1093,18,8,0,34,2256,44
7093,2017,"Rabun County,Georgia",15705,258,98,184,11,304,15250,1310
7094,2018,"Rabun County,Georgia",16011,259,95,175,11,302,15494,1359
7095,2019,"Rabun County,Georgia",16261,268,96,177,11,303,15782,1334
7107,2017,"Randolph County,Georgia",2564,4305,7,39,4,55,6817,157
7108,2018,"Randolph County,Georgia",2516,4204,7,36,7,56,6668,158
7109,2019,"Randolph County,Georgia",2510,4188,8,38,8,54,6631,175
7121,2017,"Richmond County,Georgia",77116,114729,843,3574,502,5201,191886,10079
7122,2018,"Richmond County,Georgia",76021,115631,877,3678,472,5348,191755,10272
7123,2019,"Richmond County,Georgia",74970,117266,852,3651,483,5417,192171,10468
7135,2017,"Rockdale County,Georgia",35437,50092,510,1675,135,1951,80791,9009
7136,2018,"Rockdale County,Georgia",34258,51738,508,1686,161,2051,81264,9138
7137,2019,"Rockdale County,Georgia",33237,52941,497,1678,186,2100,81320,9319
7149,2017,"Schley County,Georgia",4015,1064,6,32,0,119,4928,308
7150,2018,"Schley County,Georgia",3966,1058,6,45,0,137,4896,316
7151,2019,"Schley County,Georgia",3972,1072,6,46,0,158,4950,304
7163,2017,"Screven County,Georgia",7862,5751,58,91,4,187,13634,319
7164,2018,"Screven County,Georgia",7854,5759,64,93,4,186,13615,345
7165,2019,"Screven County,Georgia",7857,5734,62,94,3,195,13591,354
7177,2017,"Seminole County,Georgia",5274,2763,22,64,0,126,7997,252
7178,2018,"Seminole County,Georgia",5330,2716,24,65,2,129,7978,288
7179,2019,"Seminole County,Georgia",5171,2693,26,66,2,132,7801,289
7191,2017,"Spalding County,Georgia",40613,22428,321,694,67,1225,62412,2936
7192,2018,"Spalding County,Georgia",40830,22940,322,698,71,1231,63017,3075
7193,2019,"Spalding County,Georgia",41023,23430,336,677,79,1290,63532,3303
7205,2017,"Stephens County,Georgia",21840,2814,120,266,43,702,24860,925
7206,2018,"Stephens County,Georgia",22083,2850,122,264,44,720,25119,964
7207,2019,"Stephens County,Georgia",22023,2833,143,241,47,730,25005,1012
7219,2017,"Stewart County,Georgia",2773,3210,46,186,1,113,4435,1894
7220,2018,"Stewart County,Georgia",2916,3160,47,190,1,120,4363,2071
7221,2019,"Stewart County,Georgia",3043,3223,47,215,1,120,4414,2235
7233,2017,"Sumter County,Georgia",13000,15885,155,406,57,335,28166,1672
7234,2018,"Sumter County,Georgia",12924,15815,155,415,62,342,27970,1743
7235,2019,"Sumter County,Georgia",12784,15679,147,380,60,351,27609,1792
7247,2017,"Talbot County,Georgia",2632,3486,37,15,0,84,6088,166
7248,2018,"Talbot County,Georgia",2689,3436,46,18,3,89,6097,184
