,YEAR,C_S,WA,BA,IA,AA,NA,TOM,NH,H
347,2019,"DeKalb County,Alabama",66290,1344,1435,361,441,1635,60770,10736
359,2017,"Elmore County,Alabama",61766,17175,416,605,97,1393,79052,2400
360,2018,"Elmore County,Alabama",61600,17051,410,604,96,1428,78739,2450
361,2019,"Elmore County,Alabama",61773,17191,408,635,94,1474,79047,2528
373,2017,"Escambia County,Alabama",23050,11741,1341,97,24,757,36159,851
374,2018,"Escambia County,Alabama",22683,11567,1379,109,22,755,35628,887
375,2019,"Escambia County,Alabama",22756,11493,1388,117,28,787,35623,946
387,2017,"Etowah County,Alabama",83331,16199,637,900,323,1686,99042,4034
388,2018,"Etowah County,Alabama",82947,16192,659,902,322,1744,98545,4221
389,2019,"Etowah County,Alabama",82579,16174,676,892,326,1813,98132,4328
401,2017,"Fayette County,Alabama",14177,1925,75,77,1,223,16187,291
402,2018,"Fayette County,Alabama",14091,1964,75,80,1,240,16152,299
403,2019,"Fayette County,Alabama",13937,1918,81,81,1,261,15950,329
415,2017,"Franklin County,Alabama",29028,1468,483,112,71,508,26225,5445
416,2018,"Franklin County,Alabama",28848,1429,501,117,70,530,25885,5610
417,2019,"Franklin County,Alabama",28951,1395,520,119,69,533,25867,5720
429,2017,"Geneva County,Alabama",23061,2477,259,93,22,492,25359,1045
430,2018,"Geneva County,Alabama",22919,2476,273,95,20,513,25226,1070
431,2019,"Geneva County,Alabama",22895,2449,298,96,20,551,25217,1092
443,2017,"Greene County,Alabama",1532,6665,29,22,0,64,8186,126
444,2018,"Greene County,Alabama",1481,6619,30,20,0,62,8084,128
445,2019,"Greene County,Alabama",1472,6502,35,21,0,74,7968,136
457,2017,"Hale County,Alabama",6024,8611,35,45,5,92,14597,215
458,2018,"Hale County,Alabama",5995,8593,39,43,5,98,14573,200
459,2019,"Hale County,Alabama",5943,8534,37,46,5,104,14460,209
471,2017,"Henry County,Alabama",12160,4532,77,77,4,255,16650,455
472,2018,"Henry County,Alabama",12195,4494,81,72,4,254,16648,452
473,2019,"Henry County,Alabama",12217,4455,77,84,3,289,16661,464
485,2017,"Houston County,Alabama",72465,28187,554,1085,89,2092,101010,3462
486,2018,"Houston County,Alabama",72371,28631,553,1119,100,2169,101372,3571
487,2019,"Houston County,Alabama",72970,29133,578,1182,102,2275,102603,3637
499,2017,"Jackson County,Alabama",47515,1777,827,289,55,1402,50336,1529
500,2018,"Jackson County,Alabama",47216,1794,845,299,55,1440,50139,1510
501,2019,"Jackson County,Alabama",47247,1771,837,302,62,1453,50088,1584
513,2017,"Jefferson County,Alabama",351622,286368,1899,11434,359,8210,634780,25112
514,2018,"Jefferson County,Alabama",350838,286432,1860,11746,331,8465,633832,25840
515,2019,"Jefferson County,Alabama",349169,286530,1829,11886,342,8783,632098,26441
527,2017,"Lamar County,Alabama",12127,1478,38,15,2,225,13667,218
528,2018,"Lamar County,Alabama",12129,1454,38,14,2,241,13645,233
529,2019,"Lamar County,Alabama",12088,1436,44,15,2,232,13555,262
541,2017,"Lauderdale County,Alabama",80566,9305,401,779,56,1594,90231,2470
542,2018,"Lauderdale County,Alabama",80530,9333,410,775,57,1628,90139,2594
543,2019,"Lauderdale County,Alabama",80756,9332,416,820,63,1641,90371,2657
555,2017,"Lawrence County,Alabama",25979,3560,1899,69,7,1521,32310,725
556,2018,"Lawrence County,Alabama",25815,3561,1890,80,6,1553,32173,732
557,2019,"Lawrence County,Alabama",25763,3554,1889,78,6,1561,32083,768
569,2017,"Lee County,Alabama",113966,37697,583,6694,143,2725,155866,5942
570,2018,"Lee County,Alabama",115880,37939,604,6867,137,2779,157962,6244
571,2019,"Lee County,Alabama",116629,37902,593,6948,148,2795,158857,6158
583,2017,"Limestone County,Alabama",76828,12756,755,1476,186,2143,88510,5634
584,2018,"Limestone County,Alabama",78143,13305,769,1539,185,2258,90361,5838
585,2019,"Limestone County,Alabama",80302,13819,823,1668,186,2338,93118,6018
597,2017,"Lowndes County,Alabama",2577,7371,33,36,4,79,9928,172
598,2018,"Lowndes County,Alabama",2563,7251,38,44,4,69,9797,172
599,2019,"Lowndes County,Alabama",2512,7059,33,47,4,71,9541,185
611,2017,"Macon County,Alabama",3109,15282,46,108,3,280,18490,338
612,2018,"Macon County,Alabama",3134,14774,48,107,3,254,17978,342
613,2019,"Macon County,Alabama",3123,14532,49,106,3,252,17717,348
625,2017,"Madison County,Alabama",249097,90504,2873,9801,423,9363,344409,17652
626,2018,"Madison County,Alabama",252537,91911,2906,9871,435,9726,349024,18362
627,2019,"Madison County,Alabama",256536,92561,2935,10053,405,10057,353515,19032
639,2017,"Marengo County,Alabama",9116,9964,50,57,34,190,18934,477
640,2018,"Marengo County,Alabama",8973,9785,46,62,35,192,18604,489
641,2019,"Marengo County,Alabama",8827,9762,47,60,35,188,18390,529
653,2017,"Marion County,Alabama",28075,1131,118,94,19,388,29053,772
654,2018,"Marion County,Alabama",28013,1154,125,90,20,374,29002,774
655,2019,"Marion County,Alabama",28009,1193,123,93,22,386,29070,756
667,2017,"Marshall County,Alabama",89105,2733,1040,671,269,1771,82485,13104
668,2018,"Marshall County,Alabama",89559,2832,1025,731,289,1794,82633,13597
669,2019,"Marshall County,Alabama",89842,2992,1035,737,319,1826,82761,13990
681,2017,"Mobile County,Alabama",245955,148895,3917,8590,174,6678,402445,11764
682,2018,"Mobile County,Alabama",245199,149624,3857,8602,173,6820,402275,12000
683,2019,"Mobile County,Alabama",243630,150235,3807,8680,172,6992,401384,12132
695,2017,"Monroe County,Alabama",11771,8800,265,91,8,359,20984,310
696,2018,"Monroe County,Alabama",11582,8716,266,98,9,364,20696,339
697,2019,"Monroe County,Alabama",11464,8496,257,95,8,369,20336,353
709,2017,"Montgomery County,Alabama",82997,133093,750,7203,240,3231,219652,7862
710,2018,"Montgomery County,Alabama",81351,133820,723,7285,208,3244,218706,7925
711,2019,"Montgomery County,Alabama",80116,134204,727,7554,205,3268,217889,8185
723,2017,"Morgan County,Alabama",98814,15324,1268,813,165,2556,109105,9835
724,2018,"Morgan County,Alabama",98774,15505,1290,834,193,2620,109150,10066
725,2019,"Morgan County,Alabama",99077,15606,1295,824,193,2635,109352,10278
737,2017,"Perry County,Alabama",2897,6263,23,53,4,64,9150,154
738,2018,"Perry County,Alabama",2722,6179,25,54,4,65,8921,128
739,2019,"Perry County,Alabama",2720,6056,31,53,6,74,8797,143
751,2017,"Pickens County,Alabama",11689,8166,51,65,65,188,19287,937
752,2018,"Pickens County,Alabama",11533,8030,49,68,65,204,18975,974
753,2019,"Pickens County,Alabama",11560,7975,52,66,68,219,18904,1036
765,2017,"Pike County,Alabama",19228,12581,234,765,24,609,32720,721
766,2018,"Pike County,Alabama",19185,12623,229,729,28,596,32611,779
767,2019,"Pike County,Alabama",18987,12522,225,653,27,620,32238,796
779,2017,"Randolph County,Alabama",17668,4459,104,89,22,360,22055,647
780,2018,"Randolph County,Alabama",17727,4413,107,93,26,376,22088,654
781,2019,"Randolph County,Alabama",17785,4363,111,109,26,387,22102,679
793,2017,"Russell County,Alabama",28687,26119,336,505,156,1331,54057,3077
794,2018,"Russell County,Alabama",28836,26582,369,492,158,1496,54641,3292
795,2019,"Russell County,Alabama",28939,26490,414,507,157,1591,54703,3395
807,2017,"St. Clair County,Alabama",77467,8190,313,746,66,1203,85846,2139
808,2018,"St. Clair County,Alabama",77986,8347,325,796,70,1318,86618,2224
809,2019,"St. Clair County,Alabama",78499,8602,350,843,70,1371,87552,2183
821,2017,"Shelby County,Alabama",178177,27000,851,4800,117,2909,201797,12057
822,2018,"Shelby County,Alabama",179063,27917,852,4928,127,2990,203556,12321
823,2019,"Shelby County,Alabama",179985,29011,874,5061,124,3121,205676,12500
835,2017,"Sumter County,Alabama",3271,9191,16,186,4,88,12621,135
836,2018,"Sumter County,Alabama",3233,9106,18,202,4,98,12514,147
837,2019,"Sumter County,Alabama",3188,8830,21,205,4,110,12206,152
849,2017,"Talladega County,Alabama",51814,26258,314,470,14,1322,78340,1852
850,2018,"Talladega County,Alabama",51509,26467,317,481,22,1423,78306,1913
851,2019,"Talladega County,Alabama",51350,26599,334,493,20,1430,78252,1974
863,2017,"Tallapoosa County,Alabama",28684,10995,161,248,22,514,39654,970
864,2018,"Tallapoosa County,Alabama",28523,11039,168,256,23,541,39584,966
865,2019,"Tallapoosa County,Alabama",28411,10929,172,243,24,558,39341,996
877,2017,"Tuscaloosa County,Alabama",134431,66609,724,3340,133,2612,200214,7635
878,2018,"Tuscaloosa County,Alabama",134426,67215,732,3396,152,2686,200591,8016
879,2019,"Tuscaloosa County,Alabama",134753,68458,733,3495,137,2745,202059,8262
