,YEAR,C_S,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT
275,2017,"Covington County,Alabama",37077,0.9325028666736161,17891,19186,43.6,2228,4038,12389,10226,7732
276,2018,"Covington County,Alabama",36993,0.9391413744299418,17916,19077,43.7,2198,4041,12319,10112,7848
277,2019,"Covington County,Alabama",37082,0.9363968668407311,17932,19150,43.5,2195,4074,12371,9990,7965
289,2017,"Crenshaw County,Alabama",13871,0.9356684342729557,6705,7166,41.8,788,1631,4873,3795,2609
290,2018,"Crenshaw County,Alabama",13855,0.9350558659217877,6695,7160,41.9,792,1599,4839,3777,2651
291,2019,"Crenshaw County,Alabama",13811,0.9474055273547659,6719,7092,42.1,789,1601,4795,3768,2686
303,2017,"Cullman County,Alabama",82830,0.9766609392898052,40926,41904,40.9,5065,9230,30196,22082,15185
304,2018,"Cullman County,Alabama",83300,0.9779645723512371,41186,42114,40.9,5117,9285,30394,22045,15417
305,2019,"Cullman County,Alabama",83644,0.9772592960310144,41341,42303,41,5103,9347,30426,21972,15738
317,2017,"Dale County,Alabama",49467,0.9734700390967845,24401,25066,37.8,3301,5596,19286,12557,8094
318,2018,"Dale County,Alabama",49268,0.965923147520051,24207,25061,37.9,3340,5550,19116,12360,8309
319,2019,"Dale County,Alabama",49294,0.9683743960388133,24251,25043,38.1,3291,5582,19025,12240,8564
331,2017,"Dallas County,Alabama",39263,0.8570212363429976,18120,21143,39.4,2415,4860,14156,10488,6810
332,2018,"Dallas County,Alabama",38270,0.8587595317888193,17681,20589,40,2341,4615,13707,10195,6883
333,2019,"Dallas County,Alabama",37182,0.8588211768234765,17179,20003,40.6,2202,4467,13163,9855,7004
345,2017,"DeKalb County,Alabama",71441,0.9861273283291632,35471,35970,39.5,4346,8995,26253,18723,12114
346,2018,"DeKalb County,Alabama",71430,0.9839462281968671,35426,36004,39.8,4326,8875,26095,18785,12292
347,2019,"DeKalb County,Alabama",71506,0.9867192709490998,35514,35992,40,4277,8780,26147,18704,12546
359,2017,"Elmore County,Alabama",81452,0.9395642338373615,39457,41995,38.7,4796,9128,32458,21992,12047
360,2018,"Elmore County,Alabama",81189,0.932335300837776,39173,42016,39,4785,9152,31881,21896,12445
361,2019,"Elmore County,Alabama",81575,0.9340192987031462,39396,42179,39.3,4719,9135,31861,21810,12940
373,2017,"Escambia County,Alabama",37010,1.025947011167068,18742,18268,40,2215,4210,13945,9684,6499
374,2018,"Escambia County,Alabama",36515,1.0165120388778441,18407,18108,40.1,2191,4167,13613,9518,6569
375,2019,"Escambia County,Alabama",36569,1.0084028998242531,18361,18208,40,2214,4187,13617,9415,6685
387,2017,"Etowah County,Alabama",103076,0.9374823781507866,49875,53201,41.8,5924,10980,37610,28070,19191
388,2018,"Etowah County,Alabama",102766,0.937080600165875,49714,53052,41.9,5950,10870,37265,27932,19522
389,2019,"Etowah County,Alabama",102460,0.9374846358943327,49577,52883,42,5966,10792,36906,27694,19864
401,2017,"Fayette County,Alabama",16478,0.9567747298420615,8057,8421,43.8,942,1749,5582,4560,3445
402,2018,"Fayette County,Alabama",16451,0.9519458946369246,8023,8428,43.5,950,1759,5579,4499,3460
403,2019,"Fayette County,Alabama",16279,0.9523866634684577,7941,8338,43.8,900,1746,5495,4403,3531
415,2017,"Franklin County,Alabama",31670,1.006208032433802,15884,15786,38.7,2156,3919,11826,8092,5241
416,2018,"Franklin County,Alabama",31495,1.0080974241264984,15811,15684,38.9,2161,3874,11645,8072,5310
417,2019,"Franklin County,Alabama",31587,1.0051418777375738,15834,15753,38.8,2194,3891,11592,8065,5400
429,2017,"Geneva County,Alabama",26404,0.9571566229338078,12913,13491,43.2,1460,2957,8959,7404,5256
430,2018,"Geneva County,Alabama",26296,0.9527699391058964,12830,13466,43.3,1428,2933,8960,7307,5339
431,2019,"Geneva County,Alabama",26309,0.9501148914090876,12818,13491,43.5,1437,2927,8894,7246,5446
443,2017,"Greene County,Alabama",8312,0.894257064721969,3924,4388,43.4,476,939,2761,2261,1769
444,2018,"Greene County,Alabama",8212,0.8808978469995419,3846,4366,43.3,490,927,2712,2150,1827
445,2019,"Greene County,Alabama",8104,0.8794063079777366,3792,4312,44.1,456,894,2683,2079,1896
457,2017,"Hale County,Alabama",14812,0.902388903159517,7026,7786,40.7,999,1656,5236,3936,2804
458,2018,"Hale County,Alabama",14773,0.9034918180646824,7012,7761,40.6,1003,1679,5205,3846,2852
459,2019,"Hale County,Alabama",14669,0.9008682130361539,6952,7717,40.9,979,1661,5136,3791,2907
471,2017,"Henry County,Alabama",17105,0.9369267353640585,8274,8831,44.6,904,1776,5748,4664,3793
472,2018,"Henry County,Alabama",17100,0.935922110268312,8267,8833,44.7,897,1769,5722,4638,3853
473,2019,"Henry County,Alabama",17125,0.934591052869408,8273,8852,45.2,879,1731,5698,4619,3977
485,2017,"Houston County,Alabama",104472,0.9228801236862932,50141,54331,39.8,6314,12102,39021,27508,18115
486,2018,"Houston County,Alabama",104943,0.9241474147414741,50403,54540,39.9,6440,12018,39002,27417,18654
487,2019,"Houston County,Alabama",106240,0.9162713515268484,50799,55441,40,6702,12074,39354,27435,19343
499,2017,"Jackson County,Alabama",51865,0.9638394547519878,25455,26410,43.4,2757,5467,18101,14758,10116
500,2018,"Jackson County,Alabama",51649,0.9626462988296094,25333,26316,43.7,2806,5327,17890,14639,10329
501,2019,"Jackson County,Alabama",51672,0.9645654322865181,25370,26302,43.9,2790,5258,17844,14476,10643
513,2017,"Jefferson County,Alabama",659892,0.896208686057137,311886,348006,37.7,42340,75774,262308,169822,101654
514,2018,"Jefferson County,Alabama",659672,0.8956364315579247,311677,347995,37.8,42251,75782,262097,167118,104293
515,2019,"Jefferson County,Alabama",658539,0.8952398768238985,311069,347470,37.9,42314,75309,261683,164039,107040
527,2017,"Lamar County,Alabama",13885,0.9553584002253204,6784,7101,44.2,739,1556,4606,3797,3009
528,2018,"Lamar County,Alabama",13878,0.9579571106094809,6790,7088,44.4,765,1491,4598,3795,3047
529,2019,"Lamar County,Alabama",13817,0.9643161785612738,6783,7034,44.5,800,1456,4560,3753,3072
541,2017,"Lauderdale County,Alabama",92701,0.9182030748856747,44374,48327,41.4,4751,9250,34960,24521,18169
542,2018,"Lauderdale County,Alabama",92733,0.9228440500134779,44506,48227,41.4,4817,9044,34923,24311,18515
543,2019,"Lauderdale County,Alabama",93028,0.9206771962423868,44593,48435,41.4,4758,9084,35040,24128,18949
555,2017,"Lawrence County,Alabama",33035,0.9505786490316486,16099,16936,42.8,1843,3627,11526,9612,6018
556,2018,"Lawrence County,Alabama",32905,0.9509664413613186,16039,16866,42.9,1831,3662,11345,9535,6130
557,2019,"Lawrence County,Alabama",32851,0.947764733783944,15985,16866,43,1818,3611,11269,9442,6282
569,2017,"Lee County,Alabama",161808,0.9720177448447326,79756,82052,31.8,9493,17171,78465,36231,18614
570,2018,"Lee County,Alabama",164206,0.9669393768791251,80723,83483,32.3,9648,17581,78377,37069,19607
571,2019,"Lee County,Alabama",165015,0.9667822791146709,81114,83901,32.8,9482,17484,78093,37437,20505
583,2017,"Limestone County,Alabama",94144,1.0017860939825642,47114,47030,39.9,5282,10910,36028,26566,14107
584,2018,"Limestone County,Alabama",96199,1.0004366903033959,48110,48089,39.9,5379,11050,36856,27011,14615
585,2019,"Limestone County,Alabama",99136,0.9995965952640284,49558,49578,40.1,5452,11237,38064,27762,15289
597,2017,"Lowndes County,Alabama",10100,0.8981394474722797,4779,5321,41.8,616,1138,3535,2869,1835
598,2018,"Lowndes County,Alabama",9969,0.8905746254504078,4696,5273,41.7,613,1149,3440,2768,1885
599,2019,"Lowndes County,Alabama",9726,0.8903790087463557,4581,5145,42.3,592,1112,3306,2699,1908
611,2017,"Macon County,Alabama",18828,0.8467876410004904,8633,10195,38.7,879,1588,7834,4734,3615
612,2018,"Macon County,Alabama",18320,0.840651059981915,8367,9953,39.5,855,1524,7525,4542,3717
613,2019,"Macon County,Alabama",18065,0.8366205774705164,8229,9836,39.7,881,1518,7305,4432,3763
625,2017,"Madison County,Alabama",362061,0.9544136937053651,176808,185253,38.5,21274,39796,142728,100608,53064
626,2018,"Madison County,Alabama",367386,0.9552208621607238,179486,187900,38.5,21701,40113,145054,100952,55054
627,2019,"Madison County,Alabama",372547,0.9572403503149577,182204,190343,38.7,21920,40441,147043,101227,57260
639,2017,"Marengo County,Alabama",19411,0.8915416098226466,9149,10262,41.7,1226,2166,6824,5221,3746
640,2018,"Marengo County,Alabama",19093,0.8939589326455709,9012,10081,41.8,1195,2138,6650,5098,3770
641,2019,"Marengo County,Alabama",18919,0.892089208920892,8920,9999,41.9,1160,2123,6615,4975,3818
653,2017,"Marion County,Alabama",29825,0.9793602336076453,14757,15068,44.4,1534,3114,10113,8350,6333
654,2018,"Marion County,Alabama",29776,0.9783403096139791,14725,15051,44.3,1576,3074,10117,8292,6340
655,2019,"Marion County,Alabama",29826,0.9792952418873183,14757,15069,44.3,1584,3103,10118,8256,6401
667,2017,"Marshall County,Alabama",95589,0.971313672922252,47099,48490,38.8,6587,12028,34805,24786,16104
668,2018,"Marshall County,Alabama",96230,0.9743942222860543,47491,48739,38.8,6815,11891,34886,24807,16435
669,2019,"Marshall County,Alabama",96751,0.9710106545521218,47664,49087,38.9,6918,11929,34922,24811,16773
681,2017,"Mobile County,Alabama",414209,0.9124635245447493,197625,216584,37.7,27255,48380,161294,106479,65433
682,2018,"Mobile County,Alabama",414275,0.9098054582334502,197355,216920,37.9,27364,47964,160985,105410,67264
683,2019,"Mobile County,Alabama",413516,0.9072560559378632,196704,216812,38.1,27161,47965,160235,104040,68951
695,2017,"Monroe County,Alabama",21294,0.9128638160258714,10162,11132,43.2,1098,2374,7383,6038,4128
696,2018,"Monroe County,Alabama",21035,0.9070716228467816,10005,11030,43.5,1103,2307,7189,5920,4236
697,2019,"Monroe County,Alabama",20689,0.9071718289085545,9841,10848,44,1048,2202,7032,5770,4346
709,2017,"Montgomery County,Alabama",227514,0.894055944055944,107394,120120,36.3,15435,26575,93094,56456,33108
710,2018,"Montgomery County,Alabama",226631,0.8926608875749528,106889,119742,36.6,15430,26186,92273,55855,34092
711,2019,"Montgomery County,Alabama",226074,0.887615119356751,106307,119767,36.9,15378,26401,91193,55198,35152
723,2017,"Morgan County,Alabama",118940,0.9680974285997949,58506,60434,40.5,7078,13795,43432,32743,20310
724,2018,"Morgan County,Alabama",119216,0.9687226488316406,58661,60555,40.6,7175,13781,43246,32597,20826
725,2019,"Morgan County,Alabama",119630,0.9665313234593066,58797,60833,40.8,7242,13764,43230,32388,21408
737,2017,"Perry County,Alabama",9304,0.8686483229564169,4325,4979,37.8,522,1004,3683,2207,1762
738,2018,"Perry County,Alabama",9049,0.870787678313004,4212,4837,38.6,491,955,3542,2180,1760
739,2019,"Perry County,Alabama",8940,0.8710757639179573,4162,4778,39.2,496,916,3487,2148,1795
751,2017,"Pickens County,Alabama",20224,0.9970376221980843,10097,10127,41.6,1059,1960,7575,5656,3738
752,2018,"Pickens County,Alabama",19949,0.9968968968968969,9959,9990,41.9,1040,1905,7435,5558,3799
753,2019,"Pickens County,Alabama",19940,1.0078541939381733,10009,9931,41.9,1037,1892,7432,5470,3889
765,2017,"Pike County,Alabama",33441,0.9328940523669152,16140,17301,30.7,1830,3147,16069,7109,4951
766,2018,"Pike County,Alabama",33390,0.9313975011568718,16102,17288,31,1825,3181,15924,7127,5002
767,2019,"Pike County,Alabama",33034,0.9261807580174927,15884,17150,31.8,1772,3135,15583,7096,5091
779,2017,"Randolph County,Alabama",22702,0.9469982847341338,11042,11660,43.5,1328,2395,7757,6367,4592
780,2018,"Randolph County,Alabama",22742,0.9502615556127262,11081,11661,43.8,1311,2429,7678,6372,4684
781,2019,"Randolph County,Alabama",22781,0.9465948901990943,11078,11703,44.1,1274,2422,7611,6387,4800
793,2017,"Russell County,Alabama",57134,0.9292902005808064,27520,29614,36.8,4003,6962,22725,14763,7955
794,2018,"Russell County,Alabama",57933,0.923406374501992,27813,30120,36.8,4028,7116,23063,14833,8197
795,2019,"Russell County,Alabama",58098,0.9197700161913889,27835,30263,37.1,4004,7072,22919,14819,8510
807,2017,"St. Clair County,Alabama",87985,0.9859828905491728,43682,44303,40.1,5353,10306,32718,24165,14330
808,2018,"St. Clair County,Alabama",88842,0.9852960893854749,44092,44750,40.3,5284,10369,32812,24448,14810
809,2019,"St. Clair County,Alabama",89735,0.9785901704407647,44382,45353,40.5,5167,10398,33122,24538,15302
821,2017,"Shelby County,Alabama",213854,0.9371359728978143,103457,110397,39.2,12514,25858,82533,58194,31691
822,2018,"Shelby County,Alabama",215877,0.9344683901608495,104282,111595,39.5,12372,25817,82790,58606,33198
823,2019,"Shelby County,Alabama",218176,0.9330704824347672,105311,112865,39.8,12166,25844,83517,58787,34821
835,2017,"Sumter County,Alabama",12756,0.8398961488533102,5823,6933,36.1,726,1166,5312,3188,2216
836,2018,"Sumter County,Alabama",12661,0.8354595534937663,5763,6898,36.1,744,1145,5254,3094,2291
837,2019,"Sumter County,Alabama",12358,0.8414543287140516,5647,6711,36.9,718,1142,5048,2960,2369
849,2017,"Talladega County,Alabama",80192,0.9346682750301568,38742,41450,41.3,4259,8627,29748,22494,14046
850,2018,"Talladega County,Alabama",80219,0.9233941544584842,38512,41707,41.2,4312,8506,29803,22220,14374
851,2019,"Talladega County,Alabama",80226,0.9299477976376627,38657,41569,41.3,4300,8422,29784,21952,14770
863,2017,"Tallapoosa County,Alabama",40624,0.9479261567969312,19769,20855,44.7,2256,4294,13430,11639,8531
864,2018,"Tallapoosa County,Alabama",40550,0.9462443004559635,19715,20835,45.1,2260,4250,13256,11569,8729
865,2019,"Tallapoosa County,Alabama",40337,0.941892932794146,19565,20772,45.5,2151,4268,13064,11433,8979
877,2017,"Tuscaloosa County,Alabama",207849,0.9312693383384593,100226,107623,33,12647,21586,97348,47181,26774
878,2018,"Tuscaloosa County,Alabama",208607,0.9299558696999695,100518,108089,33.3,12559,21815,96825,47272,27777
879,2019,"Tuscaloosa County,Alabama",210321,0.9267928469346624,101165,109156,33.5,12435,22083,97352,47298,28836
891,2017,"Walker County,Alabama",63929,0.9556731622258252,31240,32689,42.2,3879,6977,22376,17709,12167
892,2018,"Walker County,Alabama",63701,0.9537187547922098,31096,32605,42.1,3856,7042,22266,17452,12279
893,2019,"Walker County,Alabama",63680,0.9533143155117941,31079,32601,42.2,3849,7067,22253,17228,12532
905,2017,"Washington County,Alabama",16484,0.9600475624256837,8074,8410,42.5,884,1812,5798,4689,3070
906,2018,"Washington County,Alabama",16336,0.9622822822822823,8011,8325,42.9,890,1757,5696,4623,3149
907,2019,"Washington County,Alabama",16279,0.9500479156684236,7931,8348,43.2,919,1712,5630,4561,3241
919,2017,"Wilcox County,Alabama",10704,0.9100642398286938,5100,5604,40,700,1210,3880,2742,2026
920,2018,"Wilcox County,Alabama",10592,0.9002511661284536,5018,5574,40,697,1192,3809,2698,2043
921,2019,"Wilcox County,Alabama",10396,0.8950054684651841,4910,5486,40.5,658,1163,3730,2591,2107
933,2017,"Winston County,Alabama",23753,0.9734961781322699,11717,12036,45.3,1244,2426,7836,6855,5097
934,2018,"Winston County,Alabama",23690,0.9708818635607321,11670,12020,45.5,1283,2365,7767,6829,5170
935,2019,"Winston County,Alabama",23700,0.9679481856680229,11657,12043,45.8,1263,2364,7728,6788,5271
947,2017,"Aleutians East Borough,Alaska",3445,2.112014453477868,2338,1107,43.6,84,149,1591,1303,305
948,2018,"Aleutians East Borough,Alaska",3391,2.0827272727272725,2291,1100,43.9,76,143,1557,1266,334
949,2019,"Aleutians East Borough,Alaska",3355,2.0723443223443225,2263,1092,44.4,58,131,1516,1292,341
961,2017,"Aleutians West Census Area,Alaska",5760,1.9675425038639875,3819,1941,41.5,182,324,2732,2093,389
962,2018,"Aleutians West Census Area,Alaska",5678,1.9343669250645994,3743,1935,41.6,182,332,2667,2054,411
963,2019,"Aleutians West Census Area,Alaska",5702,1.9422084623323013,3764,1938,41.7,190,336,2647,2066,418
975,2017,"Anchorage Municipality,Alaska",295118,1.03886808616473,150372,144746,33.7,21557,35535,130843,72529,30925
976,2018,"Anchorage Municipality,Alaska",291377,1.037473166024516,148368,143009,34.1,20764,35243,128603,70767,32340
977,2019,"Anchorage Municipality,Alaska",288790,1.0382251018089168,147103,141687,34.4,20148,34667,127632,68985,33618
989,2017,"Bethel Census Area,Alaska",18102,1.0792556857339766,9396,8706,27,2058,3128,7573,3709,1315
990,2018,"Bethel Census Area,Alaska",18267,1.0757954545454544,9467,8800,27.2,2036,3201,7648,3680,1385
991,2019,"Bethel Census Area,Alaska",18493,1.0795007309119533,9600,8893,27.5,2007,3250,7797,3650,1448
1003,2017,"Bristol Bay Borough,Alaska",869,1.145679012345679,464,405,42.1,53,74,327,290,119
1004,2018,"Bristol Bay Borough,Alaska",881,1.1177884615384615,465,416,42,58,82,328,267,138
1005,2019,"Bristol Bay Borough,Alaska",840,1.1,440,400,41.8,60,73,309,248,144
1017,2017,"Chugach Census Area,Alaska",6509,1.0962962962962963,3404,3105,39.7,417,713,2435,2101,767
1018,2018,"Chugach Census Area,Alaska",6487,1.1054852320675106,3406,3081,39.9,411,738,2418,2045,821
1019,2019,"Chugach Census Area,Alaska",6509,1.1188151041666667,3437,3072,39.5,410,757,2440,1967,864
1031,2017,"Copper River Census Area,Alaska",2887,1.098110465116279,1511,1376,38.9,194,355,1017,811,466
1032,2018,"Copper River Census Area,Alaska",2880,1.1145374449339207,1518,1362,38.9,192,372,1019,771,492
1033,2019,"Copper River Census Area,Alaska",2886,1.1236203090507726,1527,1359,38.6,189,389,1027,733,509
1045,2017,"Denali Borough,Alaska",2103,1.261290322580645,1173,930,40.3,105,199,865,707,207
1046,2018,"Denali Borough,Alaska",2047,1.2643805309734513,1143,904,40.8,90,193,838,671,235
1047,2019,"Denali Borough,Alaska",2125,1.2321428571428572,1173,952,40,95,212,901,664,241
1059,2017,"Dillingham Census Area,Alaska",4934,1.043064182194617,2519,2415,29.5,495,750,1991,1163,461
1060,2018,"Dillingham Census Area,Alaska",5003,1.0362230362230362,2546,2457,30.2,472,796,2022,1154,497
1061,2019,"Dillingham Census Area,Alaska",4932,1.0405461315680595,2515,2417,30.3,471,788,1981,1103,507
1073,2017,"Fairbanks North Star Borough,Alaska",99911,1.1770896888346554,54019,45892,31.2,7709,11877,47900,21485,9743
1074,2018,"Fairbanks North Star Borough,Alaska",98749,1.1722651180184342,53290,45459,31.4,7521,11851,47102,20897,10199
1075,2019,"Fairbanks North Star Borough,Alaska",97088,1.1699521702203746,52346,44742,31.9,7101,11548,46262,20308,10765
1087,2017,"Haines Borough,Alaska",2526,0.958139534883721,1236,1290,49,96,230,787,853,528
1088,2018,"Haines Borough,Alaska",2502,0.9747434885556433,1235,1267,49.3,100,208,795,805,563
1089,2019,"Haines Borough,Alaska",2561,0.9929961089494164,1276,1285,49.3,114,208,813,806,587
1101,2017,"Hoonah-Angoon Census Area,Alaska",2135,1.1457286432160805,1140,995,49.2,108,218,603,722,464
1102,2018,"Hoonah-Angoon Census Area,Alaska",2139,1.15625,1147,992,49.3,103,209,614,700,490
1103,2019,"Hoonah-Angoon Census Area,Alaska",2144,1.1526104417670682,1148,996,50.2,99,197,612,699,511
1115,2017,"Juneau City and Borough,Alaska",32106,1.0401601321725868,16369,15737,37.9,1939,3470,13190,9075,4046
1116,2018,"Juneau City and Borough,Alaska",32044,1.035961623991359,16305,15739,38.2,1892,3431,13151,8926,4279
1117,2019,"Juneau City and Borough,Alaska",32038,1.0348046999047316,16293,15745,38.5,1804,3439,13124,8770,4534
1129,2017,"Kenai Peninsula Borough,Alaska",58594,1.0904777195047985,30565,28029,40.8,3570,6715,20956,16915,9664
1130,2018,"Kenai Peninsula Borough,Alaska",58609,1.0908636866326566,30578,28031,41,3518,6715,20957,16461,10208
1131,2019,"Kenai Peninsula Borough,Alaska",58914,1.0904832872045986,30732,28182,41.2,3497,6745,21042,16064,10846
1143,2017,"Ketchikan Gateway Borough,Alaska",13874,1.0584569732937685,7134,6740,39.1,783,1564,5328,3958,2069
1144,2018,"Ketchikan Gateway Borough,Alaska",13881,1.0491585473870682,7107,6774,39.1,795,1533,5390,3822,2160
1145,2019,"Ketchikan Gateway Borough,Alaska",13905,1.0523985239852398,7130,6775,39.6,759,1501,5425,3761,2276
1157,2017,"Kodiak Island Borough,Alaska",13605,1.1261134552273793,7206,6399,34.1,1068,1718,5874,3387,1371
1158,2018,"Kodiak Island Borough,Alaska",13389,1.132685568652437,7111,6278,34.6,995,1689,5855,3268,1416
1159,2019,"Kodiak Island Borough,Alaska",13209,1.140842787682334,7039,6170,35,939,1676,5786,3123,1536
1171,2017,"Kusilvak Census Area,Alaska",8247,1.1081288343558282,4335,3912,23.8,1072,1670,3397,1457,483
1172,2018,"Kusilvak Census Area,Alaska",8349,1.1206502413004826,4412,3937,24,1079,1695,3450,1471,493
1173,2019,"Kusilvak Census Area,Alaska",8384,1.120384420839656,4430,3954,23.7,1105,1715,3443,1440,526
1185,2017,"Lake and Peninsula Borough,Alaska",1606,1.0695876288659794,830,776,33.6,145,220,656,392,172
1186,2018,"Lake and Peninsula Borough,Alaska",1586,1.038560411311054,808,778,33.8,157,204,633,392,174
1187,2019,"Lake and Peninsula Borough,Alaska",1583,1.0373230373230373,806,777,34.5,151,203,622,393,186
