,YEAR,C_S,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT
3315,2019,"Stanislaus County,California",549761,0.9832647907647908,272561,277200,34.3,39138,75911,226948,126057,73226
3327,2017,"Sutter County,California",96161,0.9909521936271972,47862,48299,35.8,6645,12805,37722,23099,14432
3328,2018,"Sutter County,California",96348,0.9921841076856275,47985,48363,36,6640,12598,37931,22968,14765
3329,2019,"Sutter County,California",96910,0.9924340549764592,48271,48639,36.2,6628,12519,38246,22812,15215
3341,2017,"Tehama County,California",63827,0.9843001927501088,31661,32166,40.7,4112,7802,22092,16697,12276
3342,2018,"Tehama County,California",63904,0.9862000372971965,31730,32174,40.6,4049,7841,22172,16506,12460
3343,2019,"Tehama County,California",65186,0.9871962930219796,32383,32803,40.5,3990,8009,22813,16558,12920
3355,2017,"Trinity County,California",12727,1.0607189119170986,6551,6176,52.3,549,1130,3547,4022,3359
3356,2018,"Trinity County,California",12598,1.053129074315515,6462,6136,52.5,560,1111,3490,3837,3472
3357,2019,"Trinity County,California",12337,1.057195264298816,6340,5997,52.6,546,1061,3416,3625,3548
3369,2017,"Tulare County,California",462072,1.0005022123319105,231094,230978,31,37678,74441,193880,96899,51321
3370,2018,"Tulare County,California",464279,0.9990656539561159,232031,232248,31.2,36774,74542,195320,96874,52736
3371,2019,"Tulare County,California",465751,0.9968744640713428,232511,233240,31.4,36099,74166,196423,96625,54269
3383,2017,"Tuolumne County,California",53953,1.0780726418364597,27990,25963,48.5,2347,4555,17481,15273,13793
3384,2018,"Tuolumne County,California",54250,1.0786237020575502,28151,26099,48.3,2387,4641,17684,14864,14160
3385,2019,"Tuolumne County,California",54290,1.0753851446920755,28131,26159,48.4,2385,4646,17705,14406,14596
3397,2017,"Ventura County,California",848264,0.9802457261714947,419901,428363,38,50795,100308,333110,225356,127360
3398,2018,"Ventura County,California",847222,0.9802262990223003,419381,427841,38.4,49449,99038,331929,223649,131676
3399,2019,"Ventura County,California",844203,0.9800842975322918,417856,426347,38.8,47985,97325,330155,221108,136324
3411,2017,"Yolo County,California",218470,0.9421109244295099,105979,112491,30.8,12344,23386,107686,46098,26364
3412,2018,"Yolo County,California",220082,0.9404674784203426,106665,113417,31,12172,23418,108491,46027,27315
3413,2019,"Yolo County,California",220019,0.9398435915747525,106598,113421,31.3,11639,23447,108461,45560,28341
3425,2017,"Yuba County,California",76575,1.0261152563899032,38781,37794,32.9,6139,10743,32055,17074,9471
3426,2018,"Yuba County,California",77418,1.0263839811542992,39213,38205,33,6081,11006,32450,17012,9726
3427,2019,"Yuba County,California",78549,1.0261820620630948,39782,38767,33.4,6093,11067,32968,17049,10228
3439,2017,"Adams County,Colorado",503717,1.0197639077122946,254323,249394,33.8,36505,69673,221514,117315,50988
3440,2018,"Adams County,Colorado",511485,1.020234535766902,258304,253181,34,36233,69510,226169,118553,53251
3441,2019,"Adams County,Colorado",516575,1.0224611324921011,261156,255419,34.2,35597,68704,229977,119136,55373
3453,2017,"Alamosa County,Colorado",16102,0.9987586891757696,8046,8056,31.5,1099,2032,7165,3437,2177
3454,2018,"Alamosa County,Colorado",16235,0.9888521376944751,8072,8163,31.6,1078,2076,7248,3365,2263
3455,2019,"Alamosa County,Colorado",16200,0.9882179675994109,8052,8148,31.9,1023,2093,7270,3282,2323
3467,2017,"Arapahoe County,Colorado",645080,0.9794409156463838,319190,325890,36.5,40640,77963,271391,164005,82098
3468,2018,"Arapahoe County,Colorado",652395,0.9811148867166504,323088,329307,36.6,40422,77711,276161,164037,85255
3469,2019,"Arapahoe County,Colorado",656051,0.9839332047102655,325369,330682,36.9,39767,77159,278069,163282,88819
3481,2017,"Archuleta County,Colorado",13312,1.0063300678221552,6677,6635,50.1,649,1274,3834,4085,3333
3482,2018,"Archuleta County,Colorado",13670,1.0035175142899018,6847,6823,50.3,638,1271,3959,4127,3517
3483,2019,"Archuleta County,Colorado",13928,1.0124259500072244,7007,6921,50.9,597,1281,4054,4096,3744
3495,2017,"Baca County,Colorado",3554,1.0011261261261262,1778,1776,46.2,189,422,1104,925,884
3496,2018,"Baca County,Colorado",3587,0.991671293725708,1786,1801,45.1,192,445,1116,904,894
3497,2019,"Baca County,Colorado",3620,0.9988956377691883,1809,1811,44.7,199,445,1133,884,913
3509,2017,"Bent County,Colorado",5828,1.8751850024666996,3801,2027,41.2,190,483,2527,1563,1011
3510,2018,"Bent County,Colorado",5793,1.9037593984962407,3798,1995,41.3,186,484,2505,1537,1036
3511,2019,"Bent County,Colorado",5578,1.831472081218274,3608,1970,41.3,206,465,2342,1471,1045
3523,2017,"Boulder County,Colorado",323019,1.0129807812149463,162551,160468,36.6,14791,32428,144600,82952,44346
3524,2018,"Boulder County,Colorado",325438,1.013114023964023,163779,161659,36.8,14424,32011,145768,82669,46645
3525,2019,"Boulder County,Colorado",326020,1.0142969237517994,164167,161853,37.2,13996,31452,145740,82180,48826
3537,2017,"Broomfield County,Colorado",68340,0.9905627403005942,34008,34332,37.7,3744,8388,28503,17617,9080
3538,2018,"Broomfield County,Colorado",69431,0.9926242681666858,34587,34844,37.9,3680,8301,29082,17701,9643
3539,2019,"Broomfield County,Colorado",70617,0.9921855164047734,35170,35447,38.2,3578,8109,29790,17947,10209
3551,2017,"Chaffee County,Colorado",19700,1.1334199696772795,10466,9234,48.1,691,1573,6645,5788,4817
3552,2018,"Chaffee County,Colorado",20066,1.1283411115825202,10638,9428,48.3,746,1550,6755,5771,5059
3553,2019,"Chaffee County,Colorado",20319,1.1309910854745673,10784,9535,48.2,751,1577,6905,5678,5225
3565,2017,"Cheyenne County,Colorado",1849,0.9967602591792657,923,926,40.1,141,251,592,478,368
3566,2018,"Cheyenne County,Colorado",1864,1.0195016251354279,941,923,40.7,126,253,601,474,383
3567,2019,"Cheyenne County,Colorado",1824,1.0244173140954496,923,901,41.2,106,260,593,451,392
3579,2017,"Clear Creek County,Colorado",9573,1.1090548578982156,5034,4539,48,387,786,3096,3375,1847
3580,2018,"Clear Creek County,Colorado",9552,1.121723678365171,5050,4502,48.4,380,739,3137,3305,1901
3581,2019,"Clear Creek County,Colorado",9598,1.1113066432028156,5052,4546,48.9,374,715,3141,3290,1993
3593,2017,"Conejos County,Colorado",8141,1.016596482536537,4104,4037,38.8,545,1109,2812,2045,1529
3594,2018,"Conejos County,Colorado",8154,1.0188165387472146,4115,4039,38.9,526,1099,2831,2011,1561
3595,2019,"Conejos County,Colorado",8169,1.0155440414507773,4116,4053,39.4,504,1085,2855,1998,1604
3607,2017,"Costilla County,Colorado",3758,1.0924276169265033,1962,1796,50.6,176,369,1075,1084,1007
3608,2018,"Costilla County,Colorado",3803,1.0770070999453851,1972,1831,50.8,173,377,1100,1089,1027
3609,2019,"Costilla County,Colorado",3872,1.045430533544638,1979,1893,50,183,377,1134,1094,1033
3621,2017,"Crowley County,Colorado",5820,2.75968992248062,4272,1548,38.9,153,389,2940,1524,772
3622,2018,"Crowley County,Colorado",5886,2.7300380228136882,4308,1578,38.9,152,391,2971,1545,776
3623,2019,"Crowley County,Colorado",5989,2.8001269035532994,4413,1576,39.2,147,373,3052,1549,821
3635,2017,"Custer County,Colorado",4861,1.066751700680272,2509,2352,57.2,153,342,1154,1649,1514
3636,2018,"Custer County,Colorado",4962,1.0761506276150627,2572,2390,58.1,164,334,1156,1646,1625
3637,2019,"Custer County,Colorado",5119,1.0783597239139262,2656,2463,58.2,181,353,1192,1625,1728
3649,2017,"Delta County,Colorado",30516,1.0100118561454354,15334,15182,48.1,1482,3105,9270,8579,7709
3650,2018,"Delta County,Colorado",30835,1.0059198542805101,15463,15372,48.1,1484,3168,9427,8390,8001
3651,2019,"Delta County,Colorado",31021,1.0092622579182589,15582,15439,48.3,1420,3148,9546,8242,8274
3663,2017,"Denver County,Colorado",704869,1.0034704852426213,353045,351824,34.5,42453,70291,351245,152510,81433
3664,2018,"Denver County,Colorado",716340,1.00681882488731,359387,356953,34.6,42109,69513,360044,153149,84341
3665,2019,"Denver County,Colorado",725508,1.0054454638180716,363739,361769,34.7,41451,68145,367931,153637,87084
3677,2017,"Dolores County,Colorado",2044,1.1247401247401247,1082,962,48.7,82,226,608,606,498
3678,2018,"Dolores County,Colorado",2056,1.11088295687885,1082,974,49,75,241,600,618,503
3679,2019,"Dolores County,Colorado",2042,1.1008230452674896,1070,972,49.3,76,213,615,583,520
3691,2017,"Douglas County,Colorado",336347,0.9971795191525494,167936,168411,38.5,19989,46654,129120,96340,38370
3692,2018,"Douglas County,Colorado",343780,0.9985466383745604,171765,172015,38.7,19993,45713,132885,98023,41226
3693,2019,"Douglas County,Colorado",351842,0.9979216826420751,175738,176104,39,19941,45187,136680,100159,44072
3705,2017,"Eagle County,Colorado",55022,1.127523006728018,29160,25862,37.4,3069,6388,23685,15214,5931
3706,2018,"Eagle County,Colorado",55087,1.1272397281433426,29191,25896,37.9,3011,6173,23648,15214,6337
3707,2019,"Eagle County,Colorado",55183,1.1222598261672179,29181,26002,38.5,2967,6045,23447,15236,6767
3719,2017,"Elbert County,Colorado",25735,1.0184313725490195,12985,12750,45.9,1138,2857,8142,9151,4078
3720,2018,"Elbert County,Colorado",26267,1.014340490797546,13227,13040,45.9,1188,2893,8351,9090,4345
3721,2019,"Elbert County,Colorado",26707,1.0203494969362281,13488,13219,45.8,1187,2898,8637,8961,4643
3733,2017,"El Paso County,Colorado",700838,1.0199097891718185,353873,346965,34.2,47206,85460,304804,167052,86884
3734,2018,"El Paso County,Colorado",712746,1.017441662986991,359454,353292,34.3,47861,86053,311087,167192,90986
3735,2019,"El Paso County,Colorado",721929,1.0234230042658625,365143,356786,34.5,47142,86390,316775,167163,95023
3747,2017,"Fremont County,Colorado",47633,1.37381640586066,27567,20066,44.6,1934,3915,17741,13518,10065
3748,2018,"Fremont County,Colorado",48070,1.3633235004916422,27730,20340,44.5,2010,3897,17943,13354,10409
3749,2019,"Fremont County,Colorado",48009,1.3494665753156503,27575,20434,44.7,1966,3882,17890,13142,10681
3761,2017,"Garfield County,Colorado",59065,1.0397485927409607,30108,28957,36.8,4073,7634,23537,15607,7348
3762,2018,"Garfield County,Colorado",59722,1.045484125081344,30525,29197,37,4097,7691,23869,15436,7797
3763,2019,"Garfield County,Colorado",60031,1.0452795475452283,30680,29351,37.3,4028,7675,23950,15280,8253
3775,2017,"Gilpin County,Colorado",6024,1.1151685393258426,3176,2848,47.7,210,514,1979,2324,940
3776,2018,"Gilpin County,Colorado",6131,1.096068376068376,3206,2925,47.9,220,478,2015,2296,1062
3777,2019,"Gilpin County,Colorado",6232,1.0997304582210243,3264,2968,48.2,208,466,2046,2354,1100
3789,2017,"Grand County,Colorado",15385,1.1451477969882877,8213,7172,44.5,626,1327,5653,5013,2580
3790,2018,"Grand County,Colorado",15556,1.1468396356610544,8310,7246,44.6,608,1310,5763,4959,2747
3791,2019,"Grand County,Colorado",15748,1.140837411636759,8392,7356,44.4,601,1341,5888,4861,2894
3803,2017,"Gunnison County,Colorado",16896,1.1784424961320268,9140,7756,35,716,1462,8244,4136,2149
3804,2018,"Gunnison County,Colorado",17177,1.1682655894976015,9255,7922,35.3,710,1478,8395,4174,2239
3805,2019,"Gunnison County,Colorado",17480,1.1746703159990046,9442,8038,35.8,703,1485,8519,4200,2404
3817,2017,"Hinsdale County,Colorado",788,1.0414507772020725,402,386,52.4,35,73,231,224,221
3818,2018,"Hinsdale County,Colorado",786,1.057591623036649,404,382,53,31,63,232,228,224
3819,2019,"Hinsdale County,Colorado",789,1.0387596899224807,402,387,52.8,28,69,235,217,232
3831,2017,"Huerfano County,Colorado",6632,1.0324854428440087,3369,3263,55.5,236,563,1654,2032,2079
3832,2018,"Huerfano County,Colorado",6877,1.0250294464075382,3481,3396,55.2,247,567,1782,2063,2143
3833,2019,"Huerfano County,Colorado",6868,1.0404040404040404,3502,3366,55.7,254,549,1785,1991,2210
3845,2017,"Jackson County,Colorado",1376,1.0911854103343466,718,658,48.3,66,114,448,435,299
3846,2018,"Jackson County,Colorado",1403,1.0662739322533137,724,679,47.8,68,121,456,432,317
3847,2019,"Jackson County,Colorado",1397,1.066568047337278,721,676,48.1,62,121,438,435,328
3859,2017,"Jefferson County,Colorado",576041,0.9947468479356186,287262,288779,40.3,29946,58086,226911,162175,92060
3860,2018,"Jefferson County,Colorado",580027,0.9936926625213539,289096,290931,40.2,29737,57401,231189,159609,95353
3861,2019,"Jefferson County,Colorado",582800,0.9971283569609929,290981,291819,40.2,29329,56749,234574,156893,98521
3873,2017,"Kiowa County,Colorado",1368,0.9267605633802817,658,710,44.8,98,137,428,367,315
3874,2018,"Kiowa County,Colorado",1385,0.9507042253521126,675,710,44.6,112,135,437,367,318
3875,2019,"Kiowa County,Colorado",1417,0.9653259361997226,696,721,43.8,114,148,440,365,331
3887,2017,"Kit Carson County,Colorado",7149,0.9980435997764114,3571,3578,39.3,484,957,2453,1784,1377
3888,2018,"Kit Carson County,Colorado",7166,0.9944336209295853,3573,3593,39.4,466,967,2453,1785,1394
3889,2019,"Kit Carson County,Colorado",7161,0.9997207483943032,3580,3581,39.8,454,973,2442,1752,1433
3901,2017,"Lake County,Colorado",7769,1.1562586733277824,4166,3603,36.7,426,892,3339,1987,1043
3902,2018,"Lake County,Colorado",7807,1.1447802197802197,4167,3640,36.9,416,854,3395,1972,1073
3903,2019,"Lake County,Colorado",8072,1.139411608799364,4299,3773,36.8,455,855,3546,2012,1121
3915,2017,"La Plata County,Colorado",55717,1.0206353811561617,28143,27574,40.5,2849,5436,22036,15566,9194
3916,2018,"La Plata County,Colorado",56511,1.01954828103781,28529,27982,40.8,2789,5435,22290,15589,9752
3917,2019,"La Plata County,Colorado",56440,1.0196092464037787,28494,27946,41.5,2676,5336,22032,15350,10435
3929,2017,"Larimer County,Colorado",344509,0.996632762467762,171964,172545,35.9,17578,35019,153710,82305,51984
3930,2018,"Larimer County,Colorado",351045,0.9954015017592525,175118,175927,36.1,17550,35225,157075,82342,54752
3931,2019,"Larimer County,Colorado",357241,0.9921760854775209,177919,179322,36.3,17180,35291,160625,82509,57556
3943,2017,"Las Animas County,Colorado",14237,1.092138133725202,7432,6805,45.5,665,1375,4847,3841,3365
3944,2018,"Las Animas County,Colorado",14460,1.0971718636693255,7565,6895,45.7,651,1377,4915,3872,3469
3945,2019,"Las Animas County,Colorado",14415,1.0982532751091703,7545,6870,46.2,658,1301,4932,3772,3600
3957,2017,"Lincoln County,Colorado",5526,1.3544951001278227,3179,2347,39.4,300,559,2191,1442,967
3958,2018,"Lincoln County,Colorado",5595,1.3889837745516653,3253,2342,39.2,301,565,2259,1428,976
3959,2019,"Lincoln County,Colorado",5694,1.419889502762431,3341,2353,38.8,314,591,2322,1412,1002
3971,2017,"Logan County,Colorado",22314,1.3319051102518549,12745,9569,38.5,1200,1894,9591,5643,3762
3972,2018,"Logan County,Colorado",22286,1.3350796311818944,12742,9544,38.8,1129,1930,9556,5564,3889
3973,2019,"Logan County,Colorado",22409,1.3437924903252798,12848,9561,39,1122,1933,9636,5477,4019
3985,2017,"Mesa County,Colorado",151435,0.9774228931080411,74853,76582,39.4,8699,17045,57608,38290,27991
3986,2018,"Mesa County,Colorado",153339,0.9776490920346678,75803,77536,39.7,8604,17072,58278,38166,29322
3987,2019,"Mesa County,Colorado",154552,0.9772785425515582,76388,78164,40.2,8531,16838,58613,38129,30550
3999,2017,"Mineral County,Colorado",753,0.9920634920634921,375,378,55.3,32,46,195,244,226
4000,2018,"Mineral County,Colorado",774,0.959493670886076,379,395,55.3,37,46,209,234,241
4001,2019,"Mineral County,Colorado",756,0.9738903394255874,373,383,54.6,29,47,219,211,244
4013,2017,"Moffat County,Colorado",13095,1.051864619241617,6713,6382,37.6,954,1712,4828,3515,1927
4014,2018,"Moffat County,Colorado",13148,1.0588787973692453,6762,6386,37.6,929,1730,4889,3417,1987
4015,2019,"Moffat County,Colorado",13209,1.0533188248095757,6776,6433,37.9,885,1739,4950,3370,2089
4027,2017,"Montezuma County,Colorado",26187,0.9741424802110817,12922,13265,44.2,1522,2935,8505,7290,5591
4028,2018,"Montezuma County,Colorado",26303,0.9696720083870002,12949,13354,44.2,1478,3005,8587,7095,5843
4029,2019,"Montezuma County,Colorado",26369,0.9719563266527071,12997,13372,44.8,1392,3013,8538,7012,6111
4041,2017,"Montrose County,Colorado",41795,0.9701612142924484,20581,21214,44.7,2416,4633,13466,11311,9463
4042,2018,"Montrose County,Colorado",42309,0.9693260100539937,20825,21484,45.1,2365,4663,13548,11287,9924
4043,2019,"Montrose County,Colorado",42791,0.9674022988505747,21041,21750,45.3,2228,4747,13797,11143,10368
4055,2017,"Morgan County,Colorado",28275,1.0179132172423637,14263,14012,36.2,2045,3706,10879,6929,4321
4056,2018,"Morgan County,Colorado",28754,1.0250721881822664,14555,14199,35.9,2125,3768,11164,6869,4433
4057,2019,"Morgan County,Colorado",28938,1.0338768625245993,14710,14228,35.9,2130,3769,11321,6771,4533
4069,2017,"Otero County,Colorado",18344,0.9673959673959674,9020,9324,39.9,1099,2254,6573,4487,3669
4070,2018,"Otero County,Colorado",18354,0.9623650165722228,9001,9353,39.8,1133,2237,6580,4393,3748
4071,2019,"Otero County,Colorado",18243,0.9654169360051713,8961,9282,39.8,1084,2180,6611,4297,3768
4083,2017,"Ouray County,Colorado",4815,1.023109243697479,2435,2380,53.2,173,391,1285,1624,1279
4084,2018,"Ouray County,Colorado",4834,1.0166875260742594,2437,2397,53.8,142,398,1325,1605,1325
4085,2019,"Ouray County,Colorado",5005,1.0140845070422535,2520,2485,54,149,397,1330,1663,1406
4097,2017,"Park County,Colorado",17935,1.119224861160345,9472,8463,51.1,616,1425,5147,7077,3486
4098,2018,"Park County,Colorado",18583,1.118203579163342,9810,8773,51.1,674,1434,5411,7094,3782
4099,2019,"Park County,Colorado",18881,1.120745816017073,9978,8903,51.3,703,1429,5523,7005,4040
4111,2017,"Phillips County,Colorado",4339,0.9885426214482127,2157,2182,41.8,276,556,1404,1095,946
4112,2018,"Phillips County,Colorado",4343,1.0013824884792626,2173,2170,41.3,286,545,1424,1077,945
4113,2019,"Phillips County,Colorado",4359,0.9913202375513933,2170,2189,41.7,274,523,1423,1070,978
4125,2017,"Pitkin County,Colorado",18027,1.0835644937586686,9375,8652,44.7,681,1397,6842,5640,3289
4126,2018,"Pitkin County,Colorado",18066,1.0725020075714122,9349,8717,45.1,690,1356,6781,5543,3512
4127,2019,"Pitkin County,Colorado",17902,1.0796933085501859,9294,8608,45.7,681,1282,6663,5416,3698
4139,2017,"Prowers County,Colorado",11990,1.0023380093520373,6002,5988,37.7,844,1571,4363,2966,2077
4140,2018,"Prowers County,Colorado",12038,1.0063333333333333,6038,6000,37.6,847,1574,4432,2874,2140
4141,2019,"Prowers County,Colorado",12106,1.007961519323271,6077,6029,37.6,866,1565,4462,2832,2200
4153,2017,"Pueblo County,Colorado",166370,0.9716757525479972,81990,84380,39.4,9597,19179,62580,42676,30088
4154,2018,"Pueblo County,Colorado",167574,0.971250102930278,82565,85009,39.5,9662,18995,63313,42299,31099
4155,2019,"Pueblo County,Colorado",168409,0.9707100730200336,82953,85456,39.7,9511,19091,63848,41728,32114
4167,2017,"Rio Blanco County,Colorado",6362,1.044344473007712,3250,3112,37.7,360,875,2405,1688,964
4168,2018,"Rio Blanco County,Colorado",6347,1.0362528071863972,3230,3117,37.8,397,826,2389,1676,977
4169,2019,"Rio Blanco County,Colorado",6350,1.0431145431145432,3242,3108,38.2,376,838,2382,1597,1062
4181,2017,"Rio Grande County,Colorado",11300,0.9894366197183099,5620,5680,40.6,666,1330,4049,2872,2223
4182,2018,"Rio Grande County,Colorado",11274,0.9915209326974033,5613,5661,41,668,1292,4024,2839,2298
4183,2019,"Rio Grande County,Colorado",11277,0.9899417681312864,5610,5667,41.4,639,1264,4016,2818,2380
4195,2017,"Routt County,Colorado",25220,1.0913840285264118,13161,12059,40.8,1167,2350,10240,7554,3641
4196,2018,"Routt County,Colorado",25489,1.0908046919858911,13298,12191,41.2,1127,2342,10294,7520,3905
4197,2019,"Routt County,Colorado",25579,1.0806084268748983,13285,12294,42,1097,2302,10165,7560,4184
4209,2017,"Saguache County,Colorado",6632,1.0096969696969698,3332,3300,48.4,354,704,1963,2063,1465
4210,2018,"Saguache County,Colorado",6837,0.9985384390529085,3416,3421,47.8,394,723,2015,2035,1579
4211,2019,"Saguache County,Colorado",6829,0.984597500726533,3388,3441,48.6,354,708,1968,1991,1725
4223,2017,"San Juan County,Colorado",713,1.3609271523178808,411,302,51.4,24,50,224,246,167
4224,2018,"San Juan County,Colorado",760,1.29607250755287,429,331,48.8,25,47,258,245,175
4225,2019,"San Juan County,Colorado",723,1.259375,403,320,51.7,26,45,227,240,183
4237,2017,"San Miguel County,Colorado",8049,1.1486919380672718,4303,3746,42.1,338,768,3190,2574,1098
4238,2018,"San Miguel County,Colorado",8195,1.1408045977011494,4367,3828,42.2,317,770,3247,2555,1209
4239,2019,"San Miguel County,Colorado",8169,1.125130072840791,4325,3844,42.6,314,742,3238,2514,1278
4251,2017,"Sedgwick County,Colorado",2314,0.9710391822827938,1140,1174,46.8,133,226,737,611,587
4252,2018,"Sedgwick County,Colorado",2284,0.967269595176572,1123,1161,47.6,113,233,703,599,609
4253,2019,"Sedgwick County,Colorado",2274,0.980836236933798,1126,1148,47.8,103,228,711,569,633
4265,2017,"Summit County,Colorado",30848,1.1809954751131222,16704,14144,38.9,1383,2627,13901,8728,3935
4266,2018,"Summit County,Colorado",30771,1.1977715877437325,16770,14001,39.2,1394,2523,13786,8632,4158
4267,2019,"Summit County,Colorado",30851,1.207111174703105,16873,13978,39.5,1372,2485,13743,8654,4316
4279,2017,"Teller County,Colorado",24713,1.0360026363486572,12575,12138,50.4,1007,2241,7107,8925,5181
4280,2018,"Teller County,Colorado",25158,1.0278897307754313,12752,12406,50.6,993,2240,7249,8871,5538
4281,2019,"Teller County,Colorado",25408,1.024219247928617,12856,12552,50.8,983,2222,7371,8672,5879
4293,2017,"Washington County,Colorado",4909,1.088936170212766,2559,2350,41.8,272,612,1683,1291,998
4294,2018,"Washington County,Colorado",4861,1.0925527335342229,2538,2323,41.9,283,560,1681,1269,1000
4295,2019,"Washington County,Colorado",4869,1.105058365758755,2556,2313,42.2,273,578,1681,1259,1026
4307,2017,"Weld County,Colorado",306571,1.0188004583229069,154713,151858,34.4,22200,41375,129564,72928,36152
4308,2018,"Weld County,Colorado",315360,1.019894060604508,159233,156127,34.6,22561,41863,133699,74333,38219
4309,2019,"Weld County,Colorado",324703,1.021082050069091,164045,160658,34.8,22921,42633,138503,75546,40355
4321,2017,"Yuma County,Colorado",9976,0.9944022391043582,4974,5002,37.8,727,1382,3478,2430,1798
4322,2018,"Yuma County,Colorado",9964,0.9995986353602248,4981,4983,37.6,743,1390,3477,2367,1829
4323,2019,"Yuma County,Colorado",10020,1.014475271411339,5046,4974,37.5,759,1411,3497,2366,1854
4335,2017,"Fairfield County,Connecticut",944107,0.9492166853858351,459755,484352,40.4,52094,109377,351425,272023,146143
4336,2018,"Fairfield County,Connecticut",945511,0.9499092596411631,460611,484900,40.6,51732,108001,352019,270892,149746
4337,2019,"Fairfield County,Connecticut",944388,0.9494024151099185,459938,484450,40.8,51195,106383,351588,268327,153903
4349,2017,"Hartford County,Connecticut",893141,0.9448071177848812,433897,459244,40.2,47922,94754,342759,246914,149596
4350,2018,"Hartford County,Connecticut",892767,0.9440901004091712,433546,459221,40.2,47872,93871,343593,243474,152631
4351,2019,"Hartford County,Connecticut",891349,0.9445380094505504,432963,458386,40.2,47786,92955,344209,239407,155788
4363,2017,"Litchfield County,Connecticut",181719,0.9754641909814323,89731,91988,47.5,7447,16939,58349,59441,37412
4364,2018,"Litchfield County,Connecticut",181151,0.9758837709012772,89470,91681,47.8,7493,16530,58308,58171,38510
4365,2019,"Litchfield County,Connecticut",180396,0.9784818872766755,89217,91179,48,7449,16097,58395,56535,39770
4377,2017,"Middlesex County,Connecticut",163058,0.9517853081646577,79515,83543,45.8,6773,14714,56437,51178,32032
4378,2018,"Middlesex County,Connecticut",163053,0.9524967069811998,79543,83510,46.1,6727,14153,56772,50316,33201
4379,2019,"Middlesex County,Connecticut",162538,0.9496449477017561,79170,83368,46.2,6675,13839,56799,49251,34179
4391,2017,"New Haven County,Connecticut",857845,0.9300880396167025,413386,444459,40.3,44578,87146,332845,237337,145516
4392,2018,"New Haven County,Connecticut",856895,0.9295612581290195,412807,444088,40.3,44275,86358,332503,234551,148836
4393,2019,"New Haven County,Connecticut",853818,0.9292313740908197,411249,442569,40.5,43822,85331,331558,230615,152232
4405,2017,"New London County,Connecticut",267829,1.004978215627854,134247,133582,41.4,13292,26465,101077,76492,47307
4406,2018,"New London County,Connecticut",267089,1.0035331447989257,133780,133309,41.5,13257,26082,100901,74944,48749
4407,2019,"New London County,Connecticut",265784,1.0039961697090336,133157,132627,41.6,12981,25625,100656,73323,50085
4419,2017,"Tolland County,Connecticut",151136,0.9995766299745978,75552,75584,37.5,6139,13289,65650,41222,23165
4420,2018,"Tolland County,Connecticut",150913,1.0000397587966336,75458,75455,37.6,6176,13002,65762,40400,23927
4421,2019,"Tolland County,Connecticut",150865,0.998000211898077,75357,75508,37.7,6156,12892,66086,39440,24671
4433,2017,"Windham County,Connecticut",116489,0.9827577402937823,57738,58751,41.2,5649,11685,44529,34377,18828
4434,2018,"Windham County,Connecticut",117182,0.9795594296911954,57986,59196,41.2,5700,11793,44826,34054,19409
4435,2019,"Windham County,Connecticut",116884,0.9843471470043971,57981,58903,41.4,5721,11516,44655,33490,20077
4447,2017,"Kent County,Delaware",176754,0.9298605727762067,85165,91589,37.6,11249,20419,68887,44428,29484
4448,2018,"Kent County,Delaware",178954,0.9307554538981075,86268,92686,37.9,11289,20616,69611,44504,30608
4449,2019,"Kent County,Delaware",181492,0.9289806243157929,87405,94087,38,11234,20980,70742,44470,31780
4461,2017,"New Castle County,Delaware",556491,0.9380408928017943,269350,287141,38.4,32213,60508,222154,150320,84349
4462,2018,"New Castle County,Delaware",557983,0.938187982173685,270094,287889,38.6,32132,60256,222326,149437,86964
4463,2019,"New Castle County,Delaware",559941,0.9383572076407015,271067,288874,38.8,31837,60062,223145,148224,89925
4475,2017,"Sussex County,Delaware",224697,0.9391159515343989,108821,115876,49.5,11486,21669,65912,62980,60371
4476,2018,"Sussex County,Delaware",230048,0.9356000370211441,111197,118851,50.3,11643,21800,66274,63889,64075
4477,2019,"Sussex County,Delaware",235235,0.9343392813091028,113625,121610,51,11780,21855,67061,64267,67750
4489,2017,"District of Columbia,District of Columbia",697079,0.9028405616701607,330743,366336,34,45290,58683,356986,147280,83757
4490,2018,"District of Columbia,District of Columbia",704147,0.9040211345488763,334326,369821,34.1,45114,60857,360394,146641,85971
4491,2019,"District of Columbia,District of Columbia",708253,0.9018966521927104,335860,372393,34.2,45015,62268,362533,144996,88132
4503,2017,"Alachua County,Florida",266501,0.9365975598235632,128888,137613,31.5,14065,23876,134041,55682,36510
4504,2018,"Alachua County,Florida",269190,0.9324479540559942,129890,139300,31.7,14053,24412,134737,55419,38063
4505,2019,"Alachua County,Florida",269489,0.9309072410185862,129923,139566,32.1,13796,24563,134277,54571,39682
4517,2017,"Baker County,Florida",28255,1.1160038942559725,14902,13353,37.1,1806,3425,11375,7344,3904
4518,2018,"Baker County,Florida",28381,1.1164056674123788,14971,13410,37.3,1785,3383,11413,7362,4044
4519,2019,"Baker County,Florida",29288,1.114199090449722,15435,13853,37.2,1837,3593,11816,7501,4171
4531,2017,"Bay County,Florida",184841,0.9904269638722877,91976,92865,39.6,11523,19974,70130,49992,31172
