,fips,date,cases
2020,01053,6,3917
2020,01053,7,18880
2020,01053,8,38541
2020,01053,9,45942
2020,01053,10,52638
2020,01053,11,56568
2020,01053,12,72035
2020,01055,3,38
2020,01055,4,2462
2020,01055,5,6220
2020,01055,6,11198
2020,01055,7,37925
2020,01055,8,73922
2020,01055,9,97097
2020,01055,10,123586
2020,01055,11,162360
2020,01055,12,260127
2020,01057,3,2
2020,01057,4,97
2020,01057,5,290
2020,01057,6,1317
2020,01057,7,3412
2020,01057,8,7834
2020,01057,9,11992
2020,01057,10,16564
2020,01057,11,22625
2020,01057,12,37698
2020,01059,3,22
2020,01059,4,571
2020,01059,5,10059
2020,01059,6,21504
2020,01059,7,30893
2020,01059,8,42560
2020,01059,9,50909
2020,01059,10,60634
2020,01059,11,70483
2020,01059,12,90590
2020,01061,4,91
2020,01061,5,704
2020,01061,6,1486
2020,01061,7,4057
2020,01061,8,10049
2020,01061,9,16096
2020,01061,10,25514
2020,01061,11,33086
2020,01061,12,44898
2020,01063,3,13
2020,01063,4,747
2020,01063,5,2428
2020,01063,6,3896
2020,01063,7,6485
2020,01063,8,8197
2020,01063,9,8893
2020,01063,10,10209
2020,01063,11,11476
2020,01063,12,17183
2020,01065,3,2
2020,01065,4,645
2020,01065,5,2958
2020,01065,6,7142
2020,01065,7,11727
2020,01065,8,15932
2020,01065,9,18086
2020,01065,10,22471
2020,01065,11,26356
2020,01065,12,37264
2020,01067,4,403
2020,01067,5,1352
2020,01067,6,3170
2020,01067,7,5554
2020,01067,8,9319
2020,01067,9,13480
2020,01067,10,19532
2020,01067,11,24320
2020,01067,12,32229
2020,01069,3,40
2020,01069,4,1557
2020,01069,5,4262
2020,01069,6,9701
2020,01069,7,24670
2020,01069,8,50709
2020,01069,9,76445
2020,01069,10,113640
2020,01069,11,143714
2020,01069,12,194780
2020,01071,3,42
2020,01071,4,914
2020,01071,5,1958
2020,01071,6,4062
2020,01071,7,15397
2020,01071,8,34757
2020,01071,9,43753
2020,01071,10,60282
2020,01071,11,82175
2020,01071,12,136659
2020,01073,3,1957
2020,01073,4,18785
2020,01073,5,41235
2020,01073,6,81233
2020,01073,7,244289
2020,01073,8,439303
2020,01073,9,552773
2020,01073,10,685788
2020,01073,11,848469
2020,01073,12,1327277
2020,01075,3,12
2020,01075,4,212
2020,01075,5,494
2020,01075,6,1374
2020,01075,7,3703
2020,01075,8,7768
2020,01075,9,9936
2020,01075,10,13877
2020,01075,11,17846
2020,01075,12,27450
2020,01077,3,87
2020,01077,4,678
2020,01077,5,3355
2020,01077,6,7806
2020,01077,7,21610
2020,01077,8,39014
2020,01077,9,47911
2020,01077,10,63689
2020,01077,11,101709
2020,01077,12,165081
2020,01079,3,19
2020,01079,4,262
2020,01079,5,959
2020,01079,6,2103
2020,01079,7,5502
2020,01079,8,11987
2020,01079,9,16952
2020,01079,10,23828
2020,01079,11,33240
2020,01079,12,51747
2020,01081,3,508
2020,01081,4,7711
2020,01081,5,14179
2020,01081,6,23470
2020,01081,7,58786
2020,01081,8,99391
2020,01081,9,164890
2020,01081,10,197831
2020,01081,11,217054
2020,01081,12,279149
2020,01083,3,124
2020,01083,4,1107
2020,01083,5,2041
2020,01083,6,6797
2020,01083,7,23883
2020,01083,8,45130
2020,01083,9,57359
2020,01083,10,81092
2020,01083,11,110818
2020,01083,12,173775
2020,01085,3,6
2020,01085,4,713
2020,01085,5,4314
2020,01085,6,11038
2020,01085,7,15770
2020,01085,8,18364
2020,01085,9,19210
2020,01085,10,21421
2020,01085,11,22933
2020,01085,12,27191
2020,01087,3,3
2020,01087,4,577
2020,01087,5,1686
2020,01087,6,3830
2020,01087,7,7614
2020,01087,8,11505
2020,01087,9,13996
2020,01087,10,16118
2020,01087,11,19675
2020,01087,12,27038
2020,01089,3,558
2020,01089,4,5500
2020,01089,5,8477
2020,01089,6,18307
2020,01089,7,91584
2020,01089,8,178694
2020,01089,9,219191
2020,01089,10,273979
2020,01089,11,342941
2020,01089,12,557667
2020,01091,3,19
2020,01091,4,765
2020,01091,5,3273
2020,01091,6,6590
2020,01091,7,12256
2020,01091,8,18301
2020,01091,9,20733
2020,01091,10,28253
2020,01091,11,34112
2020,01091,12,47239
2020,01093,3,58
2020,01093,4,1496
2020,01093,5,3171
2020,01093,6,4673
2020,01093,7,11393
2020,01093,8,20645
2020,01093,9,26943
2020,01093,10,32343
2020,01093,11,38326
2020,01093,12,54591
2020,01095,3,30
2020,01095,4,4326
2020,01095,5,17772
2020,01095,6,29465
2020,01095,7,68839
2020,01095,8,103720
2020,01095,9,113543
2020,01095,10,131234
2020,01095,11,161393
2020,01095,12,247308
2020,01097,3,242
2020,01097,4,16400
2020,01097,5,52075
2020,01097,6,84551
2020,01097,7,175849
2020,01097,8,336393
2020,01097,9,387768
2020,01097,10,460990
2020,01097,11,557696
2020,01097,12,706791
2020,01099,3,4
2020,01099,4,231
2020,01099,5,674
2020,01099,6,3667
2020,01099,7,9654
2020,01099,8,15360
2020,01099,9,17094
2020,01099,10,19346
2020,01099,11,21947
2020,01099,12,30452
2020,01101,3,182
2020,01101,4,5348
2020,01101,5,27778
2020,01101,6,84309
2020,01101,7,153267
2020,01101,8,223180
2020,01101,9,255014
2020,01101,10,298342
2020,01101,11,347838
2020,01101,12,441498
2020,01103,3,100
2020,01103,4,1312
2020,01103,5,4104
2020,01103,6,18539
2020,01103,7,47988
2020,01103,8,79275
2020,01103,9,93815
2020,01103,10,119417
2020,01103,11,166092
2020,01103,12,274307
2020,01105,4,169
2020,01105,5,727
2020,01105,6,2272
2020,01105,7,9020
2020,01105,8,15085
2020,01105,9,16011
2020,01105,10,17765
2020,01105,11,19324
2020,01105,12,23747
2020,01107,3,13
2020,01107,4,880
2020,01107,5,2419
2020,01107,6,4509
2020,01107,7,8952
2020,01107,8,14237
2020,01107,9,18515
2020,01107,10,24004
2020,01107,11,32438
2020,01107,12,46033
2020,01109,3,23
2020,01109,4,1002
2020,01109,5,3642
2020,01109,6,9469
2020,01109,7,16206
2020,01109,8,25016
2020,01109,9,33553
2020,01109,10,40122
2020,01109,11,44801
2020,01109,12,55266
2020,01111,3,9
2020,01111,4,1180
2020,01111,5,3416
2020,01111,6,4286
2020,01111,7,9161
2020,01111,8,13623
2020,01111,9,17654
2020,01111,10,23919
2020,01111,11,28424
2020,01111,12,35599
2020,01113,3,7
2020,01113,4,969
2020,01113,5,3219
2020,01113,6,9132
2020,01113,7,25632
2020,01113,8,44967
2020,01113,9,50995
2020,01113,10,58573
2020,01113,11,62914
2020,01113,12,78128
2020,01115,3,88
2020,01115,4,1418
2020,01115,5,2852
2020,01115,6,5721
2020,01115,7,22660
2020,01115,8,48051
2020,01115,9,64173
2020,01115,10,84834
2020,01115,11,112365
2020,01115,12,169953
2020,01117,3,604
2020,01117,4,6838
2020,01117,5,12421
2020,01117,6,21592
2020,01117,7,63414
2020,01117,8,116062
2020,01117,9,162490
2020,01117,10,214880
2020,01117,11,271980
2020,01117,12,409896
2020,01119,3,2
2020,01119,4,919
2020,01119,5,4311
2020,01119,6,7745
2020,01119,7,9695
2020,01119,8,11857
2020,01119,9,12578
2020,01119,10,14270
2020,01119,11,16001
2020,01119,12,21945
2020,01121,3,40
2020,01121,4,1152
2020,01121,5,2506
2020,01121,6,5174
2020,01121,7,17577
2020,01121,8,43667
2020,01121,9,59745
2020,01121,10,77233
2020,01121,11,94988
2020,01121,12,138061
2020,01123,3,54
2020,01123,4,4382
2020,01123,5,11034
2020,01123,6,14684
2020,01123,7,21548
2020,01123,8,29869
2020,01123,9,33565
2020,01123,10,39230
2020,01123,11,47907
2020,01123,12,65500
2020,01125,3,215
2020,01125,4,3802
2020,01125,5,12475
2020,01125,6,40343
2020,01125,7,91893
2020,01125,8,146796
2020,01125,9,213337
2020,01125,10,304435
2020,01125,11,356744
2020,01125,12,494864
2020,01127,3,184
2020,01127,4,2299
2020,01127,5,5140
2020,01127,6,17995
2020,01127,7,36667
2020,01127,8,52122
2020,01127,9,64920
2020,01127,10,81590
2020,01127,11,99691
2020,01127,12,140112
2020,01129,3,22
2020,01129,4,443
2020,01129,5,1736
2020,01129,6,2672
2020,01129,7,5962
2020,01129,8,13810
2020,01129,9,16241
2020,01129,10,19973
2020,01129,11,25748
2020,01129,12,32652
2020,01131,3,14
2020,01131,4,1046
2020,01131,5,3057
2020,01131,6,6548
2020,01131,7,10531
2020,01131,8,14516
2020,01131,9,15808
2020,01131,10,17203
2020,01131,11,18228
2020,01131,12,23845
2020,01133,3,10
2020,01133,4,210
2020,01133,5,1296
2020,01133,6,4371
2020,01133,7,10244
2020,01133,8,15411
2020,01133,9,20244
2020,01133,10,26727
2020,01133,11,34425
2020,01133,12,52232
2020,02013,6,38
2020,02013,7,73
2020,02013,8,121
2020,02013,9,303
2020,02013,10,452
2020,02013,11,668
2020,02013,12,1220
2020,02016,6,101
2020,02016,7,1190
2020,02016,8,2765
2020,02016,9,2803
2020,02016,10,2997
2020,02016,11,3141
2020,02016,12,4886
2020,02020,3,407
2020,02020,4,3987
2020,02020,5,6244
2020,02020,6,10558
2020,02020,7,30652
2020,02020,8,79157
2020,02020,9,114225
2020,02020,10,192243
2020,02020,11,376373
2020,02020,12,634509
2020,02050,4,24
2020,02050,5,52
2020,02050,6,177
2020,02050,7,521
2020,02050,8,1161
2020,02050,9,2694
2020,02050,10,7863
2020,02050,11,28812
2020,02050,12,60985
2020,02068,6,6
2020,02068,7,63
2020,02068,8,124
2020,02068,9,185
2020,02068,10,639
2020,02068,11,1127
2020,02068,12,1684
2020,02070,5,1
2020,02070,6,146
2020,02070,7,649
2020,02070,8,765
2020,02070,9,827
2020,02070,10,1234
2020,02070,11,2422
2020,02070,12,3394
2020,02090,3,211
2020,02090,4,2147
2020,02090,5,2615
2020,02090,6,3250
2020,02090,7,9212
2020,02090,8,16721
2020,02090,9,28337
2020,02090,10,53850
2020,02090,11,86016
2020,02090,12,133261
2020,02100,6,61
2020,02100,7,208
2020,02100,8,286
2020,02100,9,285
2020,02100,10,347
2020,02100,11,462
2020,02100,12,575
2020,02110,3,35
2020,02110,4,603
2020,02110,5,909
2020,02110,6,1186
2020,02110,7,2462
2020,02110,8,6459
2020,02110,9,9708
2020,02110,10,13751
2020,02110,11,21618
2020,02110,12,29403
2020,02122,3,60
2020,02122,4,446
2020,02122,5,798
2020,02122,6,3303
2020,02122,7,8125
2020,02122,8,15982
2020,02122,9,18056
2020,02122,10,23719
2020,02122,11,53404
2020,02122,12,101204
2020,02130,3,118
2020,02130,4,449
2020,02130,5,496
2020,02130,6,655
2020,02130,7,1124
2020,02130,8,1702
2020,02130,9,1989
2020,02130,10,2330
2020,02130,11,4657
2020,02130,12,6803
2020,02150,4,15
2020,02150,5,31
2020,02150,6,124
2020,02150,7,369
2020,02150,8,1377
2020,02150,9,1902
2020,02150,10,2762
2020,02150,11,5518
2020,02150,12,21430
2020,02158,7,75
2020,02158,8,220
2020,02158,9,311
2020,02158,10,2274
2020,02158,11,10572
2020,02158,12,18812
2020,02170,3,20
2020,02170,4,403
2020,02170,5,689
2020,02170,6,1504
2020,02170,7,5425
2020,02170,8,12288
2020,02170,9,16811
2020,02170,10,27743
2020,02170,11,69856
2020,02170,12,169212
2020,02180,4,16
2020,02180,5,50
2020,02180,6,159
2020,02180,7,508
2020,02180,8,892
2020,02180,9,1719
2020,02180,10,3447
2020,02180,11,5209
2020,02180,12,7998
2020,02185,5,4
2020,02185,6,65
2020,02185,7,222
2020,02185,8,882
2020,02185,9,2476
2020,02185,10,6214
2020,02185,11,11014
2020,02185,12,20930
2020,02188,5,21
2020,02188,6,102
2020,02188,7,305
2020,02188,8,1517
2020,02188,9,2550
2020,02188,10,6107
2020,02188,11,9363
2020,02188,12,11938
2020,02195,4,40
2020,02195,5,93
2020,02195,6,98
2020,02195,7,250
2020,02195,8,312
2020,02195,9,321
2020,02195,10,398
2020,02195,11,587
2020,02195,12,770
2020,02198,4,37
2020,02198,5,62
2020,02198,6,72
2020,02198,7,110
2020,02198,8,463
2020,02198,9,876
2020,02198,10,1003
2020,02198,11,1251
2020,02198,12,1951
2020,02220,4,5
2020,02220,5,37
