,fip-year,WA,BA,IA,AA,NA,TOM,NH,H
474,4001-2021,14824,396,48905,282,41,1175,60947,4676
477,4003-2019,111416,5899,2281,2924,511,4217,82122,45126
478,4003-2020,109583,5764,2316,2828,522,4385,80572,44826
479,4003-2021,110083,5803,2431,2789,524,4420,80829,45221
482,4005-2019,94757,2172,39325,2985,261,4467,123077,20890
483,4005-2020,94894,2222,40313,2983,252,4452,123862,21254
484,4005-2021,95056,2171,39918,3039,264,4604,123387,21665
487,4007-2019,42357,432,9773,489,84,942,43733,10344
488,4007-2020,41488,440,9837,487,94,960,43050,10256
489,4007-2021,41705,446,9821,508,102,1007,43318,10271
492,4009-2019,31789,725,5240,300,77,759,25967,12923
493,4009-2020,31565,719,5158,312,84,776,25655,12959
494,4009-2021,32000,760,5100,311,94,785,25865,13185
497,4011-2019,8535,208,387,77,13,247,4955,4512
498,4011-2020,8579,184,422,92,10,235,4927,4595
499,4011-2021,8437,183,428,89,11,256,4797,4607
502,4012-2019,16277,237,3855,207,36,645,15253,6004
503,4012-2020,12567,199,3048,178,34,554,11863,4717
504,4012-2021,12366,207,3018,194,46,577,11713,4695
507,4013-2019,3710128,289834,128007,210900,13072,140320,3084002,1408259
508,4013-2020,3650955,291726,129516,210608,13107,142430,3030629,1407713
509,4013-2021,3686444,300365,132593,216046,13419,147721,3059887,1436701
512,4015-2019,195984,2804,6462,2765,544,5287,177483,36363
513,4015-2020,195490,2917,6593,2832,589,5649,176882,37188
514,4015-2021,198422,3062,6697,3014,597,5900,179162,38530
517,4017-2019,56115,1118,50478,684,194,2448,98025,13012
518,4017-2020,53596,1081,48788,670,197,2470,94127,12675
519,4017-2021,55242,1175,48192,752,200,2586,95045,13102
522,4019-2019,888294,44771,45643,35183,2512,32858,652527,396734
523,4019-2020,883140,45084,46536,34914,2568,33357,645697,399902
524,4019-2021,887097,46083,46911,35071,2624,34244,647058,404972
527,4021-2019,381208,24731,30675,8917,1968,14141,319374,142266
528,4021-2020,353067,23974,28623,8285,1794,13840,295667,133916
529,4021-2021,368531,26091,29127,8886,1913,15009,308309,141248
532,4023-2019,44664,463,667,384,64,486,7906,38822
533,4023-2020,45554,503,678,377,61,480,8086,39567
534,4023-2021,45652,522,719,423,65,502,8306,39577
537,4025-2019,220186,2116,5050,2946,387,5377,201231,34831
538,4025-2020,220551,2257,5235,2991,392,5641,201129,35938
539,4025-2021,225101,2352,5327,3210,413,5850,205074,37179
542,4027-2019,195405,5687,4988,3283,551,4268,76125,138057
543,4027-2020,186062,5456,4894,3149,550,4326,71372,133065
544,4027-2021,188077,5561,5151,3190,556,4455,71497,135493
547,5001-2019,12529,4434,61,149,6,336,16898,617
548,5001-2020,12199,4311,71,125,9,390,16437,668
549,5001-2021,11900,4226,79,137,11,369,16073,649
552,5003-2019,14351,4902,147,56,19,267,18610,1132
553,5003-2020,13794,4642,164,63,20,277,17800,1160
554,5003-2021,13578,4543,166,63,20,304,17494,1180
557,5005-2019,40524,196,337,225,32,664,40906,1072
558,5005-2020,40112,232,366,230,34,681,40548,1107
559,5005-2021,40525,232,368,259,39,721,40973,1171
562,5007-2019,247161,5794,5241,12012,2138,7489,232251,47584
563,5007-2020,251688,6097,5438,13173,2189,7768,236631,49722
564,5007-2021,257354,6426,5595,13665,2381,8271,241944,51748
567,5009-2019,36124,171,334,236,41,710,36625,991
568,5009-2020,35755,197,358,246,32,764,36310,1042
569,5009-2021,36197,202,370,257,32,772,36677,1153
572,5011-2019,7408,2972,164,51,5,192,9100,1692
573,5011-2020,7167,2906,165,54,5,201,8810,1688
574,5011-2021,7088,2868,178,54,8,212,8691,1717
577,5013-2019,3877,1095,37,12,1,115,4923,214
578,5013-2020,3596,973,37,12,1,106,4506,219
579,5013-2021,3614,965,38,12,1,111,4515,226
582,5015-2019,26093,225,386,602,399,647,24048,4304
583,5015-2020,25832,245,411,642,401,671,23805,4397
584,5015-2021,25897,256,420,742,404,716,23977,4458
587,5017-2019,4393,5546,59,74,4,113,9586,603
588,5017-2020,4401,5482,57,80,4,119,9504,639
589,5017-2021,4361,5400,60,79,4,115,9365,654
592,5019-2019,16119,5530,127,153,95,341,21278,1087
593,5019-2020,15434,5159,144,159,95,371,20296,1066
594,5019-2021,15439,5064,147,159,101,411,20243,1078
597,5021-2019,14053,122,80,35,3,201,14165,329
598,5021-2020,14011,135,87,34,4,237,14161,347
599,5021-2021,13841,142,92,34,4,237,14008,342
602,5023-2019,24168,116,183,113,10,429,24406,613
603,5023-2020,23756,135,197,123,11,443,24038,627
604,5023-2021,24048,151,206,131,10,469,24269,746
607,5025-2019,6859,910,41,14,3,110,7741,196
608,5025-2020,6500,847,47,14,4,132,7332,212
609,5025-2021,6474,834,48,18,4,136,7302,212
612,5027-2019,14438,8365,139,206,10,338,22847,649
613,5027-2020,13961,8066,139,216,12,347,22066,675
614,5027-2021,13916,8044,140,205,12,355,21975,697
617,5029-2019,17730,2396,176,94,7,502,20043,862
618,5029-2020,17544,2386,182,103,8,506,19829,900
619,5029-2021,17611,2414,189,118,12,529,19953,920
622,5031-2019,87785,18705,589,1457,59,2177,104946,5826
623,5031-2020,88079,19122,618,1497,74,2186,105538,6038
624,5031-2021,88106,19669,644,1514,77,2208,106028,6190
627,5033-2019,57500,1098,1690,978,41,2099,58261,5145
628,5033-2020,54351,1061,1632,956,42,2065,55007,5100
629,5033-2021,54472,1096,1696,954,50,2110,55130,5248
632,5035-2019,20488,26213,212,320,23,668,46568,1356
633,5035-2020,20393,26421,211,325,25,692,46618,1449
634,5035-2021,19884,26349,221,335,30,706,46059,1466
637,5037-2019,12052,3817,71,129,9,255,15998,335
638,5037-2020,12350,3931,74,130,11,266,16390,372
639,5037-2021,12278,3891,81,146,11,274,16301,380
642,5039-2019,3922,2828,49,17,4,131,6693,258
643,5039-2020,3578,2642,49,23,6,147,6193,252
644,5039-2021,3555,2526,51,26,6,144,6042,266
647,5041-2019,5581,5483,48,108,17,163,10659,741
648,5041-2020,5487,5486,58,113,16,170,10532,798
649,5041-2021,5373,5361,60,107,16,173,10312,778
652,5043-2019,12567,5046,97,129,8,245,17409,683
653,5043-2020,11979,4824,105,137,8,256,16624,685
654,5043-2021,11798,4796,108,141,8,259,16439,671
657,5045-2019,105095,15439,847,1581,88,2778,120526,5302
658,5045-2020,103068,15222,849,1586,96,2845,118255,5411
659,5045-2021,103777,15678,880,1635,106,3030,119448,5658
662,5047-2019,16731,160,290,186,39,331,17144,593
663,5047-2020,16130,163,278,190,36,325,16523,599
664,5047-2021,16129,163,291,196,37,357,16538,635
667,5049-2019,12031,85,101,35,2,262,12306,210
668,5049-2020,11531,92,117,34,3,256,11792,241
669,5049-2021,11621,101,120,38,3,262,11869,276
672,5051-2019,86430,8759,775,841,72,2595,93595,5877
673,5051-2020,86981,8837,819,851,87,2587,93947,6215
674,5051-2021,87005,8870,814,870,89,2682,93948,6382
677,5053-2019,17312,482,93,74,12,314,17730,557
678,5053-2020,16978,504,96,78,12,307,17406,569
679,5053-2021,17012,539,109,88,12,330,17503,587
682,5055-2019,43204,818,248,205,176,665,43986,1330
683,5055-2020,43572,902,248,216,193,687,44408,1410
684,5055-2021,43892,1035,255,221,194,720,44807,1510
687,5057-2019,14167,6605,143,110,44,499,18736,2832
688,5057-2020,13063,6112,149,118,48,503,17278,2715
689,5057-2021,12867,5966,164,124,46,527,16947,2747
692,5059-2019,28827,3881,215,149,25,687,32547,1237
693,5059-2020,28281,3694,210,138,27,684,31815,1219
694,5059-2021,28348,3659,230,153,26,732,31872,1276
697,5061-2019,9880,2813,188,82,17,239,11507,1712
698,5061-2020,9523,2695,194,81,18,244,11046,1709
699,5061-2021,9488,2676,197,84,17,236,10932,1766
702,5063-2019,35438,937,330,338,96,680,35226,2593
703,5063-2020,35495,937,335,342,96,687,35240,2652
704,5063-2021,35201,972,356,361,119,714,34962,2761
707,5065-2019,12956,304,105,66,2,187,13276,344
708,5065-2020,12908,300,111,64,2,191,13220,356
709,5065-2021,13172,347,122,71,3,196,13518,393
712,5067-2019,13306,2918,121,84,35,318,16280,502
713,5067-2020,13272,2886,131,88,38,322,16199,538
714,5067-2021,13259,2953,130,93,42,334,16242,569
717,5069-2019,26721,38531,289,635,84,877,65641,1496
718,5069-2020,26416,38461,311,643,88,892,65247,1564
719,5069-2021,26102,37799,303,633,81,943,64203,1658
722,5071-2019,24338,590,334,742,37,555,22833,3763
723,5071-2020,23371,602,324,785,38,572,21977,3715
724,5071-2021,23408,616,343,800,51,627,22078,3767
727,5073-2019,4066,2418,39,47,1,85,6438,218
728,5073-2020,3871,2239,50,47,1,86,6083,211
729,5073-2021,3801,2154,50,46,1,111,5942,221
732,5075-2019,15860,200,101,43,8,228,16155,285
733,5075-2020,15572,195,103,46,7,273,15909,287
734,5075-2021,15636,210,104,55,11,276,16005,287
737,5077-2019,3830,4830,54,50,2,123,8653,236
738,5077-2020,3704,4597,52,49,2,125,8286,243
739,5077-2021,3740,4634,58,50,2,135,8347,272
742,5079-2019,8829,3875,71,51,1,185,12454,558
743,5079-2020,8751,3801,75,52,1,199,12291,588
744,5079-2021,8789,3917,77,55,2,197,12410,627
747,5081-2019,9333,2457,203,60,9,306,11912,456
748,5081-2020,9022,2355,201,61,12,320,11514,457
749,5081-2021,8967,2377,213,62,12,313,11465,479
752,5083-2019,20051,315,248,476,9,396,20825,670
753,5083-2020,19674,312,251,455,9,396,20444,653
754,5083-2021,19759,321,262,457,8,408,20547,668
757,5085-2019,66106,4696,539,652,59,1596,70288,3360
758,5085-2020,66364,4754,552,682,62,1628,70565,3477
759,5085-2021,66723,4823,607,744,68,1757,70997,3725
762,5087-2019,15561,117,295,133,96,317,15566,953
763,5087-2020,15533,132,294,147,118,327,15539,1012
764,5087-2021,15852,151,317,170,139,331,15876,1084
767,5089-2019,15900,99,171,106,11,358,16231,414
768,5089-2020,16101,103,173,108,11,366,16436,426
769,5089-2021,16168,115,188,102,14,391,16541,437
772,5091-2019,30767,11067,385,229,30,892,41833,1537
773,5091-2020,30047,10909,405,250,36,923,41000,1570
774,5091-2021,30053,10959,399,261,34,943,41001,1648
777,5093-2019,25104,14617,214,198,13,571,38885,1832
778,5093-2020,24957,14511,216,214,13,592,38568,1935
779,5093-2021,24421,14203,230,199,15,593,37681,1980
782,5095-2019,3744,2722,49,54,0,154,6541,182
783,5095-2020,3793,2721,51,53,0,147,6574,191
784,5095-2021,3698,2710,56,54,0,165,6493,190
787,5097-2019,8517,71,124,114,3,218,8650,397
788,5097-2020,7927,67,127,114,3,221,8076,383
789,5097-2021,8051,74,137,121,3,225,8206,405
792,5099-2019,5443,2539,37,45,2,139,7823,382
793,5099-2020,5527,2520,35,46,2,154,7902,382
794,5099-2021,5539,2416,37,42,2,151,7794,393
797,5101-2019,7347,39,103,27,1,195,7557,155
798,5101-2020,6816,45,102,42,1,192,7030,168
799,5101-2021,6807,39,108,40,1,209,7032,172
802,5103-2019,13152,9441,110,115,9,545,22785,587
803,5103-2020,12792,9047,97,115,9,532,22006,586
804,5103-2021,12625,8937,98,117,9,520,21712,594
807,5105-2019,9862,205,98,31,2,219,10080,337
808,5105-2020,9407,221,99,33,2,235,9686,311
809,5105-2021,9381,219,100,31,2,231,9642,322
812,5107-2019,6242,11134,74,78,3,238,17410,359
813,5107-2020,5752,10322,73,74,3,221,16114,331
814,5107-2021,5631,9893,74,72,4,232,15551,355
817,5109-2019,9904,367,132,88,4,210,10003,702
818,5109-2020,9337,373,136,83,5,231,9461,704
819,5109-2021,9253,363,142,83,12,213,9351,715
822,5111-2019,20905,1962,100,80,10,445,22706,796
823,5111-2020,20334,1904,98,91,9,457,22060,833
824,5111-2021,20062,1922,100,96,11,469,21817,843
