,PCIncome,fip-year
8667,25880.0,41035-2019
8668,24241.0,41037-2019
8669,29705.0,41039-2019
8670,27861.0,41041-2019
8671,27345.0,41043-2019
8672,18974.0,41045-2019
8673,27338.0,41047-2019
8674,23682.0,41049-2019
8675,39245.0,41051-2019
8676,29440.0,41053-2019
8677,31615.0,41055-2019
8678,27659.0,41057-2019
8679,24444.0,41059-2019
8680,27646.0,41061-2019
8681,30485.0,41063-2019
8682,27445.0,41065-2019
8683,39679.0,41067-2019
8684,21702.0,41069-2019
8685,31314.0,41071-2019
8686,31590.0,42001-2019
8687,38709.0,42003-2019
8688,27715.0,42005-2019
8689,31305.0,42007-2019
8690,26078.0,42009-2019
8691,31571.0,42011-2019
8692,28119.0,42013-2019
8693,28392.0,42015-2019
8694,45849.0,42017-2019
8695,37811.0,42019-2019
8696,26008.0,42021-2019
8697,24528.0,42023-2019
8698,29202.0,42025-2019
8699,30753.0,42027-2019
8700,50927.0,42029-2019
8701,25157.0,42031-2019
8702,24403.0,42033-2019
8703,25794.0,42035-2019
8704,26787.0,42037-2019
8705,26582.0,42039-2019
8706,37500.0,42041-2019
8707,33639.0,42043-2019
8708,40026.0,42045-2019
8709,29772.0,42047-2019
8710,28306.0,42049-2019
8711,27368.0,42051-2019
8712,15245.0,42053-2019
8713,31221.0,42055-2019
8714,27396.0,42057-2019
8715,27783.0,42059-2019
8716,25746.0,42061-2019
8717,26509.0,42063-2019
8718,25509.0,42065-2019
8719,26239.0,42067-2019
8720,29899.0,42069-2019
8721,32194.0,42071-2019
8722,28926.0,42073-2019
8723,29130.0,42075-2019
8724,33566.0,42077-2019
8725,28972.0,42079-2019
8726,27950.0,42081-2019
8727,27023.0,42083-2019
8728,27639.0,42085-2019
8729,25469.0,42087-2019
8730,29662.0,42089-2019
8731,48845.0,42091-2019
8732,34575.0,42093-2019
8733,35270.0,42095-2019
8734,26389.0,42097-2019
8735,30785.0,42099-2019
8736,27924.0,42101-2019
8737,34589.0,42103-2019
8738,24797.0,42105-2019
8739,27431.0,42107-2019
8740,27482.0,42109-2019
8741,25781.0,42111-2019
8742,30375.0,42113-2019
8743,31309.0,42115-2019
8744,26301.0,42117-2019
8745,27079.0,42119-2019
8746,26969.0,42121-2019
8747,28230.0,42123-2019
8748,35537.0,42125-2019
8749,27412.0,42127-2019
8750,34274.0,42129-2019
8751,29584.0,42131-2019
8752,32623.0,42133-2019
8753,46566.0,44001-2019
8754,39869.0,44003-2019
8755,47594.0,44005-2019
8756,31522.0,44007-2019
8757,42869.0,44009-2019
8758,22646.0,45001-2019
8759,28396.0,45003-2019
8760,16985.0,45005-2019
8761,27552.0,45007-2019
8762,18479.0,45009-2019
8763,20297.0,45011-2019
8764,38946.0,45013-2019
8765,29662.0,45015-2019
8766,26398.0,45017-2019
8767,39914.0,45019-2019
8768,21152.0,45021-2019
8769,22324.0,45023-2019
8770,21325.0,45025-2019
8771,22824.0,45027-2019
8772,21377.0,45029-2019
8773,23027.0,45031-2019
8774,17605.0,45033-2019
8775,29853.0,45035-2019
8776,26228.0,45037-2019
8777,23380.0,45039-2019
8778,26127.0,45041-2019
8779,31382.0,45043-2019
8780,32679.0,45045-2019
8781,24752.0,45047-2019
8782,18424.0,45049-2019
8783,28202.0,45051-2019
8784,24566.0,45053-2019
8785,25442.0,45055-2019
8786,30742.0,45057-2019
8787,23004.0,45059-2019
8788,19300.0,45061-2019
8789,31671.0,45063-2019
8790,25617.0,45065-2019
8791,20160.0,45067-2019
8792,17456.0,45069-2019
8793,24959.0,45071-2019
8794,29844.0,45073-2019
8795,20716.0,45075-2019
8796,26061.0,45077-2019
8797,30175.0,45079-2019
8798,22814.0,45081-2019
8799,27240.0,45083-2019
8800,23460.0,45085-2019
8801,23470.0,45087-2019
8802,18257.0,45089-2019
8803,34010.0,45091-2019
8804,37086.0,46003-2019
8805,27655.0,46005-2019
8806,17793.0,46007-2019
8807,24131.0,46009-2019
8808,28330.0,46011-2019
8809,33122.0,46013-2019
8810,31874.0,46015-2019
8811,11995.0,46017-2019
8812,26961.0,46019-2019
8813,32684.0,46021-2019
8814,22347.0,46023-2019
8815,30991.0,46025-2019
8816,28192.0,46027-2019
8817,30043.0,46029-2019
8818,16449.0,46031-2019
8819,33649.0,46033-2019
8820,31560.0,46035-2019
8821,29808.0,46037-2019
8822,30601.0,46039-2019
8823,17504.0,46041-2019
8824,30033.0,46043-2019
8825,34628.0,46045-2019
8826,27556.0,46047-2019
8827,27569.0,46049-2019
8828,31479.0,46051-2019
8829,26546.0,46053-2019
8830,24333.0,46055-2019
8831,28822.0,46057-2019
8832,33200.0,46059-2019
8833,24948.0,46061-2019
8834,31819.0,46063-2019
8835,33677.0,46065-2019
8836,28872.0,46067-2019
8837,34034.0,46069-2019
8838,13528.0,46071-2019
8839,42660.0,46073-2019
8840,27139.0,46075-2019
8841,35773.0,46077-2019
8842,33728.0,46079-2019
8843,31712.0,46081-2019
8844,40059.0,46083-2019
8845,22850.0,46085-2019
8846,29020.0,46087-2019
8847,28559.0,46089-2019
8848,32472.0,46091-2019
8849,28809.0,46093-2019
8850,13784.0,46095-2019
8851,28381.0,46097-2019
8852,31716.0,46099-2019
8853,31300.0,46101-2019
8854,10388.0,46102-2019
8855,31874.0,46103-2019
8856,33678.0,46105-2019
8857,32379.0,46107-2019
8858,26243.0,46109-2019
8859,32745.0,46111-2019
8860,35393.0,46115-2019
8861,42838.0,46117-2019
8862,39226.0,46119-2019
8863,10739.0,46121-2019
8864,27036.0,46123-2019
8865,30677.0,46125-2019
8866,42411.0,46127-2019
8867,32563.0,46129-2019
8868,31772.0,46135-2019
8869,16555.0,46137-2019
8870,28455.0,47001-2019
8871,24864.0,47003-2019
8872,22636.0,47005-2019
8873,21700.0,47007-2019
8874,30548.0,47009-2019
8875,26655.0,47011-2019
8876,24212.0,47013-2019
8877,26435.0,47015-2019
8878,22394.0,47017-2019
8879,23205.0,47019-2019
8880,27893.0,47021-2019
8881,22629.0,47023-2019
8882,21566.0,47025-2019
8883,18983.0,47027-2019
8884,21867.0,47029-2019
8885,26557.0,47031-2019
8886,23771.0,47033-2019
8887,25832.0,47035-2019
8888,36440.0,47037-2019
8889,23857.0,47039-2019
8890,25399.0,47041-2019
8891,27115.0,47043-2019
8892,27710.0,47045-2019
8893,33383.0,47047-2019
8894,20093.0,47049-2019
8895,28317.0,47051-2019
8896,23211.0,47053-2019
8897,25690.0,47055-2019
8898,23595.0,47057-2019
8899,25190.0,47059-2019
8900,20592.0,47061-2019
8901,23517.0,47063-2019
8902,32839.0,47065-2019
8903,23728.0,47067-2019
8904,18172.0,47069-2019
8905,24243.0,47071-2019
8906,24695.0,47073-2019
8907,21839.0,47075-2019
8908,22695.0,47077-2019
8909,24124.0,47079-2019
8910,22856.0,47081-2019
8911,22360.0,47083-2019
8912,25428.0,47085-2019
8913,21037.0,47087-2019
8914,25159.0,47089-2019
8915,22107.0,47091-2019
8916,33229.0,47093-2019
8917,15732.0,47095-2019
8918,18515.0,47097-2019
8919,21720.0,47099-2019
8920,21516.0,47101-2019
8921,26965.0,47103-2019
8922,31478.0,47105-2019
8923,23885.0,47107-2019
8924,20934.0,47109-2019
8925,22527.0,47111-2019
8926,26722.0,47113-2019
8927,25467.0,47115-2019
8928,25410.0,47117-2019
8929,28970.0,47119-2019
8930,24525.0,47121-2019
8931,23207.0,47123-2019
8932,26923.0,47125-2019
8933,30658.0,47127-2019
8934,20204.0,47129-2019
8935,23375.0,47131-2019
8936,21808.0,47133-2019
8937,27970.0,47135-2019
8938,24907.0,47137-2019
8939,25405.0,47139-2019
8940,24946.0,47141-2019
8941,22336.0,47143-2019
8942,30209.0,47145-2019
8943,29524.0,47147-2019
8944,30159.0,47149-2019
8945,20849.0,47151-2019
8946,23050.0,47153-2019
8947,25283.0,47155-2019
8948,30104.0,47157-2019
8949,28797.0,47159-2019
8950,24113.0,47161-2019
8951,28429.0,47163-2019
8952,33851.0,47165-2019
8953,28457.0,47167-2019
8954,24795.0,47169-2019
8955,23455.0,47171-2019
8956,24010.0,47173-2019
8957,20634.0,47175-2019
8958,22802.0,47177-2019
8959,29656.0,47179-2019
8960,20689.0,47181-2019
8961,22755.0,47183-2019
8962,22040.0,47185-2019
8963,52702.0,47187-2019
8964,34575.0,47189-2019
8965,17280.0,48001-2019
8966,30673.0,48003-2019
8967,23147.0,48005-2019
8968,30863.0,48007-2019
8969,34617.0,48009-2019
8970,31749.0,48011-2019
8971,23890.0,48013-2019
8972,30219.0,48015-2019
8973,21945.0,48017-2019
8974,29561.0,48019-2019
8975,27773.0,48021-2019
8976,22987.0,48023-2019
8977,18340.0,48025-2019
8978,26677.0,48027-2019
8979,27834.0,48029-2019
8980,37998.0,48031-2019
8981,34028.0,48033-2019
8982,26636.0,48035-2019
8983,27095.0,48037-2019
8984,34561.0,48039-2019
8985,27632.0,48041-2019
8986,28915.0,48043-2019
8987,23933.0,48045-2019
8988,14523.0,48047-2019
8989,27463.0,48049-2019
8990,30086.0,48051-2019
8991,30980.0,48053-2019
8992,25086.0,48055-2019
8993,27268.0,48057-2019
8994,26051.0,48059-2019
8995,17430.0,48061-2019
8996,22449.0,48063-2019
8997,34708.0,48065-2019
8998,23075.0,48067-2019
8999,21884.0,48069-2019
9000,35916.0,48071-2019
9001,22391.0,48073-2019
9002,21233.0,48075-2019
9003,29159.0,48077-2019
9004,21463.0,48079-2019
9005,25285.0,48081-2019
9006,27752.0,48083-2019
9007,44548.0,48085-2019
9008,25681.0,48087-2019
9009,29552.0,48089-2019
9010,38991.0,48091-2019
9011,26728.0,48093-2019
9012,21420.0,48095-2019
9013,30704.0,48097-2019
9014,22400.0,48099-2019
9015,19797.0,48101-2019
9016,27893.0,48103-2019
9017,26178.0,48105-2019
9018,19443.0,48107-2019
9019,15109.0,48109-2019
9020,27491.0,48111-2019
9021,32653.0,48113-2019
9022,20084.0,48115-2019
9023,21616.0,48117-2019
9024,27667.0,48119-2019
9025,41153.0,48121-2019
9026,28910.0,48123-2019
9027,25025.0,48125-2019
9028,16925.0,48127-2019
9029,25534.0,48129-2019
9030,17637.0,48131-2019
9031,24548.0,48133-2019
9032,28954.0,48135-2019
9033,24689.0,48137-2019
9034,32571.0,48139-2019
9035,21683.0,48141-2019
9036,27639.0,48143-2019
9037,18745.0,48145-2019
9038,27112.0,48147-2019
9039,30170.0,48149-2019
9040,28750.0,48151-2019
9041,23617.0,48153-2019
9042,27573.0,48155-2019
9043,39994.0,48157-2019
9044,28789.0,48159-2019
9045,24621.0,48161-2019
9046,19256.0,48163-2019
9047,23533.0,48165-2019
9048,36819.0,48167-2019
9049,19997.0,48169-2019
9050,34077.0,48171-2019
9051,31830.0,48173-2019
9052,29855.0,48175-2019
9053,27407.0,48177-2019
9054,24686.0,48179-2019
9055,28011.0,48181-2019
9056,26535.0,48183-2019
9057,25638.0,48185-2019
9058,31842.0,48187-2019
9059,20986.0,48189-2019
9060,21907.0,48191-2019
9061,26930.0,48193-2019
9062,20410.0,48195-2019
9063,24078.0,48197-2019
9064,30399.0,48199-2019
9065,32765.0,48201-2019
9066,27086.0,48203-2019
9067,20563.0,48205-2019
9068,20394.0,48207-2019
9069,32118.0,48209-2019
9070,31530.0,48211-2019
9071,26121.0,48213-2019
9072,17175.0,48215-2019
9073,26370.0,48217-2019
9074,23604.0,48219-2019
9075,35606.0,48221-2019
9076,26821.0,48223-2019
9077,19129.0,48225-2019
9078,24547.0,48227-2019
9079,14239.0,48229-2019
9080,25926.0,48231-2019
9081,24434.0,48233-2019
9082,28487.0,48235-2019
9083,24956.0,48237-2019
9084,27051.0,48239-2019
9085,25269.0,48241-2019
9086,26531.0,48243-2019
9087,27094.0,48245-2019
9088,16864.0,48247-2019
9089,21510.0,48249-2019
9090,28579.0,48251-2019
9091,18081.0,48253-2019
9092,27612.0,48255-2019
9093,28634.0,48257-2019
9094,45866.0,48259-2019
9095,15211.0,48261-2019
9096,30543.0,48263-2019
9097,32988.0,48265-2019
9098,30099.0,48267-2019
9099,26199.0,48269-2019
9100,23934.0,48271-2019
9101,22646.0,48273-2019
9102,23146.0,48275-2019
9103,25038.0,48277-2019
9104,22337.0,48279-2019
9105,29412.0,48281-2019
9106,21110.0,48283-2019
9107,32188.0,48285-2019
9108,27227.0,48287-2019
9109,30129.0,48289-2019
9110,23461.0,48291-2019
9111,22595.0,48293-2019
9112,28131.0,48295-2019
9113,25370.0,48297-2019
9114,37050.0,48299-2019
9115,33624.0,48301-2019
9116,27922.0,48303-2019
9117,24917.0,48305-2019
9118,24311.0,48307-2019
9119,25703.0,48309-2019
9120,31455.0,48311-2019
9121,20748.0,48313-2019
9122,27566.0,48315-2019
9123,30548.0,48317-2019
9124,30388.0,48319-2019
9125,25172.0,48321-2019
9126,16779.0,48323-2019
9127,27475.0,48325-2019
9128,25742.0,48327-2019
9129,39248.0,48329-2019
9130,25714.0,48331-2019
9131,27374.0,48333-2019
9132,21136.0,48335-2019
9133,28096.0,48337-2019
9134,41211.0,48339-2019
9135,23001.0,48341-2019
9136,22971.0,48343-2019
9137,29071.0,48345-2019
9138,23617.0,48347-2019
9139,23786.0,48349-2019
9140,21659.0,48351-2019
9141,25094.0,48353-2019
9142,27740.0,48355-2019
9143,23624.0,48357-2019
9144,26408.0,48359-2019
9145,30114.0,48361-2019
9146,25150.0,48363-2019
9147,26577.0,48365-2019
9148,35142.0,48367-2019
9149,23859.0,48369-2019
9150,21120.0,48371-2019
9151,25164.0,48373-2019
9152,22568.0,48375-2019
9153,15337.0,48377-2019
9154,27938.0,48379-2019
9155,34293.0,48381-2019
9156,25600.0,48383-2019
9157,18235.0,48385-2019
9158,22689.0,48387-2019
9159,20020.0,48389-2019
9160,24248.0,48391-2019
9161,30955.0,48393-2019
9162,26033.0,48395-2019
9163,42346.0,48397-2019
9164,24402.0,48399-2019
9165,26658.0,48401-2019
9166,24870.0,48403-2019
9167,23683.0,48405-2019
9168,23312.0,48407-2019
9169,26054.0,48409-2019
9170,24961.0,48411-2019
9171,26560.0,48413-2019
9172,24552.0,48415-2019
9173,24852.0,48417-2019
9174,21950.0,48419-2019
9175,30467.0,48421-2019
9176,28483.0,48423-2019
9177,29449.0,48425-2019
9178,14179.0,48427-2019
9179,25015.0,48429-2019
9180,28757.0,48431-2019
9181,25638.0,48433-2019
9182,26904.0,48435-2019
9183,19697.0,48437-2019
9184,33292.0,48439-2019
9185,27162.0,48441-2019
9186,25687.0,48443-2019
9187,20627.0,48445-2019
9188,30463.0,48447-2019
9189,21730.0,48449-2019
9190,29505.0,48451-2019
9191,43658.0,48453-2019
9192,25026.0,48455-2019
9193,20249.0,48457-2019
9194,25285.0,48459-2019
9195,25447.0,48461-2019
9196,20329.0,48463-2019
9197,21370.0,48465-2019
9198,27900.0,48467-2019
9199,29199.0,48469-2019
9200,18544.0,48471-2019
9201,25401.0,48473-2019
9202,25931.0,48475-2019
9203,32625.0,48477-2019
9204,18466.0,48479-2019
9205,25298.0,48481-2019
9206,27093.0,48483-2019
9207,24872.0,48485-2019
9208,23696.0,48487-2019
9209,14888.0,48489-2019
9210,37242.0,48491-2019
9211,32312.0,48493-2019
9212,24467.0,48495-2019
9213,29418.0,48497-2019
9214,29005.0,48499-2019
9215,24582.0,48501-2019
9216,27423.0,48503-2019
9217,20169.0,48505-2019
9218,13835.0,48507-2019
9219,23382.0,49001-2019
9220,24797.0,49003-2019
9221,23713.0,49005-2019
9222,23862.0,49007-2019
9223,29574.0,49009-2019
9224,31205.0,49011-2019
9225,24573.0,49013-2019
9226,23705.0,49015-2019
9227,25247.0,49017-2019
9228,27431.0,49019-2019
9229,22909.0,49021-2019
9230,22830.0,49023-2019
9231,26070.0,49025-2019
9232,25225.0,49027-2019
9233,31732.0,49029-2019
9234,19012.0,49031-2019
9235,23464.0,49033-2019
9236,33238.0,49035-2019
9237,18987.0,49037-2019
9238,20056.0,49039-2019
9239,23514.0,49041-2019
9240,56575.0,49043-2019
9241,25949.0,49045-2019
9242,25759.0,49047-2019
9243,26215.0,49049-2019
9244,35641.0,49051-2019
9245,29010.0,49053-2019
9246,22038.0,49055-2019
9247,27828.0,49057-2019
9248,34741.0,50001-2019
9249,33789.0,50003-2019
9250,29769.0,50005-2019
9251,39062.0,50007-2019
9252,25376.0,50009-2019
9253,31195.0,50011-2019
9254,39770.0,50013-2019
9255,36747.0,50015-2019
9256,31697.0,50017-2019
9257,27023.0,50019-2019
9258,31391.0,50021-2019
9259,35236.0,50023-2019
9260,32535.0,50025-2019
9261,36252.0,50027-2019
9262,26018.0,51001-2019
9263,44799.0,51003-2019
9264,27338.0,51005-2019
9265,31688.0,51007-2019
9266,26712.0,51009-2019
9267,28586.0,51011-2019
9268,71841.0,51013-2019
9269,30272.0,51015-2019
9270,27527.0,51017-2019
9271,33678.0,51019-2019
9272,22522.0,51021-2019
9273,35893.0,51023-2019
9274,21732.0,51025-2019
9275,19496.0,51027-2019
9276,20605.0,51029-2019
9277,27739.0,51031-2019
9278,31568.0,51033-2019
9279,25449.0,51035-2019
9280,35304.0,51036-2019
9281,22018.0,51037-2019
9282,37658.0,51041-2019
9283,41332.0,51043-2019
9284,30103.0,51045-2019
9285,32028.0,51047-2019
9286,25138.0,51049-2019
9287,24978.0,51051-2019
9288,28922.0,51053-2019
9289,26847.0,51057-2019
9290,56231.0,51059-2019
9291,45408.0,51061-2019
9292,26882.0,51063-2019
9293,39633.0,51065-2019
9294,30487.0,51067-2019
9295,35123.0,51069-2019
9296,27137.0,51071-2019
9297,33692.0,51073-2019
9298,51720.0,51075-2019
9299,21663.0,51077-2019
9300,32508.0,51079-2019
9301,19550.0,51081-2019
9302,23909.0,51083-2019
9303,41200.0,51085-2019
9304,39516.0,51087-2019
9305,22372.0,51089-2019
9306,31485.0,51091-2019
9307,37126.0,51093-2019
9308,44495.0,51095-2019
9309,31174.0,51097-2019
9310,38739.0,51099-2019
9311,30704.0,51101-2019
9312,40062.0,51103-2019
9313,19720.0,51105-2019
9314,55744.0,51107-2019
9315,34041.0,51109-2019
9316,19848.0,51111-2019
9317,30777.0,51113-2019
9318,35731.0,51115-2019
9319,25056.0,51117-2019
9320,31502.0,51119-2019
9321,30054.0,51121-2019
9322,35489.0,51125-2019
9323,38080.0,51127-2019
9324,28518.0,51131-2019
9325,36261.0,51133-2019
9326,24571.0,51135-2019
9327,32292.0,51137-2019
9328,25170.0,51139-2019
9329,24292.0,51141-2019
9330,26032.0,51143-2019
9331,37424.0,51145-2019
9332,21017.0,51147-2019
9333,29420.0,51149-2019
9334,40932.0,51153-2019
9335,28125.0,51155-2019
9336,41792.0,51157-2019
9337,22853.0,51159-2019
9338,36469.0,51161-2019
9339,31539.0,51163-2019
9340,31275.0,51165-2019
9341,21605.0,51167-2019
9342,22898.0,51169-2019
9343,28882.0,51171-2019
9344,21605.0,51173-2019
9345,26600.0,51175-2019
9346,37212.0,51177-2019
9347,42126.0,51179-2019
9348,30260.0,51181-2019
9349,21652.0,51183-2019
9350,23738.0,51185-2019
9351,32086.0,51187-2019
9352,27524.0,51191-2019
9353,32996.0,51193-2019
9354,21500.0,51195-2019
9355,27381.0,51197-2019
9356,41201.0,51199-2019
9357,62679.0,51510-2019
9358,23015.0,51520-2019
9359,21419.0,51530-2019
9360,38328.0,51540-2019
9361,35536.0,51550-2019
9362,28364.0,51570-2019
9363,25309.0,51580-2019
9364,22826.0,51590-2019
9365,18494.0,51595-2019
9366,50029.0,51600-2019
9367,72325.0,51610-2019
9368,24025.0,51620-2019
9369,35731.0,51630-2019
9370,23025.0,51640-2019
9371,30135.0,51650-2019
9372,23202.0,51660-2019
9373,21927.0,51670-2019
9374,19047.0,51678-2019
9375,23863.0,51680-2019
9376,33082.0,51683-2019
9377,34326.0,51685-2019
9378,22836.0,51690-2019
9379,28294.0,51700-2019
9380,29830.0,51710-2019
9381,21741.0,51720-2019
9382,23611.0,51730-2019
9383,40258.0,51735-2019
9384,26312.0,51740-2019
9385,21797.0,51750-2019
9386,33549.0,51760-2019
9387,27006.0,51770-2019
9388,31924.0,51775-2019
9389,30166.0,51790-2019
9390,34940.0,51800-2019
9391,37776.0,51810-2019
9392,27033.0,51820-2019
9393,29758.0,51830-2019
9394,30859.0,51840-2019
9395,20248.0,53001-2019
9396,29695.0,53003-2019
9397,32882.0,53005-2019
9398,30870.0,53007-2019
9399,30283.0,53009-2019
9400,35860.0,53011-2019
9401,36551.0,53013-2019
9402,28876.0,53015-2019
9403,30544.0,53017-2019
9404,25857.0,53019-2019
9405,24380.0,53021-2019
9406,26742.0,53023-2019
9407,24280.0,53025-2019
9408,27210.0,53027-2019
9409,37087.0,53029-2019
9410,36598.0,53031-2019
9411,52462.0,53033-2019
9412,37493.0,53035-2019
9413,29161.0,53037-2019
9414,29521.0,53039-2019
9415,27127.0,53041-2019
9416,28891.0,53043-2019
9417,28862.0,53045-2019
9418,24876.0,53047-2019
9419,26109.0,53049-2019
9420,28046.0,53051-2019
9421,34618.0,53053-2019
9422,45777.0,53055-2019
9423,33168.0,53057-2019
9424,32221.0,53059-2019
9425,39527.0,53061-2019
9426,31146.0,53063-2019
9427,26896.0,53065-2019
9428,35169.0,53067-2019
9429,31110.0,53069-2019
9430,29035.0,53071-2019
9431,32267.0,53073-2019
9432,23560.0,53075-2019
9433,23459.0,53077-2019
9434,22899.0,54001-2019
9435,29994.0,54003-2019
9436,21751.0,54005-2019
9437,22269.0,54007-2019
9438,26678.0,54009-2019
9439,25271.0,54011-2019
9440,20447.0,54013-2019
9441,17239.0,54015-2019
9442,24053.0,54017-2019
9443,21914.0,54019-2019
9444,18067.0,54021-2019
9445,23351.0,54023-2019
9446,24581.0,54025-2019
9447,24259.0,54027-2019
9448,26435.0,54029-2019
9449,27004.0,54031-2019
9450,28879.0,54033-2019
9451,25341.0,54035-2019
9452,36305.0,54037-2019
9453,29253.0,54039-2019
9454,23820.0,54041-2019
9455,21456.0,54043-2019
9456,21936.0,54045-2019
9457,15047.0,54047-2019
9458,26380.0,54049-2019
9459,26472.0,54051-2019
9460,24844.0,54053-2019
9461,22212.0,54055-2019
9462,25490.0,54057-2019
9463,20060.0,54059-2019
9464,32154.0,54061-2019
9465,23923.0,54063-2019
9466,28127.0,54065-2019
9467,22335.0,54067-2019
9468,32429.0,54069-2019
9469,25059.0,54071-2019
9470,29974.0,54073-2019
9471,25201.0,54075-2019
9472,24890.0,54077-2019
9473,31587.0,54079-2019
9474,25026.0,54081-2019
9475,24842.0,54083-2019
9476,25606.0,54085-2019
9477,21711.0,54087-2019
9478,21437.0,54089-2019
9479,25214.0,54091-2019
9480,25686.0,54093-2019
9481,24924.0,54095-2019
9482,24070.0,54097-2019
9483,21553.0,54099-2019
9484,22054.0,54101-2019
9485,22546.0,54103-2019
9486,23568.0,54105-2019
9487,27725.0,54107-2019
9488,22703.0,54109-2019
9489,27241.0,55001-2019
9490,23946.0,55003-2019
9491,29681.0,55005-2019
9492,31825.0,55007-2019
9493,32874.0,55009-2019
9494,30503.0,55011-2019
9495,30342.0,55013-2019
9496,35527.0,55015-2019
9497,29991.0,55017-2019
9498,25382.0,55019-2019
9499,34984.0,55021-2019
9500,27615.0,55023-2019
9501,40614.0,55025-2019
9502,29726.0,55027-2019
9503,38744.0,55029-2019
9504,30153.0,55031-2019
9505,28034.0,55033-2019
9506,30983.0,55035-2019
9507,32348.0,55037-2019
9508,31653.0,55039-2019
9509,25700.0,55041-2019
9510,25892.0,55043-2019
9511,33459.0,55045-2019
9512,29207.0,55047-2019
9513,34114.0,55049-2019
9514,28857.0,55051-2019
9515,26481.0,55053-2019
9516,31992.0,55055-2019
9517,27889.0,55057-2019
9518,32298.0,55059-2019
9519,30921.0,55061-2019
9520,32565.0,55063-2019
9521,28448.0,55065-2019
9522,27618.0,55067-2019
9523,30972.0,55069-2019
9524,30130.0,55071-2019
9525,33189.0,55073-2019
9526,28282.0,55075-2019
9527,27922.0,55077-2019
9528,20313.0,55078-2019
9529,29270.0,55079-2019
9530,29242.0,55081-2019
9531,30927.0,55083-2019
9532,34910.0,55085-2019
9533,33221.0,55087-2019
9534,49030.0,55089-2019
9535,30827.0,55091-2019
9536,33061.0,55093-2019
9537,30859.0,55095-2019
9538,31453.0,55097-2019
9539,28882.0,55099-2019
9540,31572.0,55101-2019
9541,27597.0,55103-2019
9542,28945.0,55105-2019
9543,25854.0,55107-2019
9544,39287.0,55109-2019
9545,30990.0,55111-2019
9546,31772.0,55113-2019
9547,29338.0,55115-2019
9548,31510.0,55117-2019
9549,27506.0,55119-2019
9550,28902.0,55121-2019
9551,26198.0,55123-2019
9552,33316.0,55125-2019
9553,32302.0,55127-2019
9554,29584.0,55129-2019
9555,39055.0,55131-2019
9556,46073.0,55133-2019
9557,32000.0,55135-2019
9558,28580.0,55137-2019
9559,32571.0,55139-2019
9560,31425.0,55141-2019
9561,29146.0,56001-2019
9562,24693.0,56003-2019
9563,34776.0,56005-2019
9564,29552.0,56007-2019
9565,33693.0,56009-2019
9566,29532.0,56011-2019
9567,28324.0,56013-2019
9568,28554.0,56015-2019
9569,30643.0,56017-2019
9570,36084.0,56019-2019
9571,35190.0,56021-2019
9572,29747.0,56023-2019
9573,33797.0,56025-2019
9574,22958.0,56027-2019
9575,35147.0,56029-2019
9576,35312.0,56031-2019
9577,35254.0,56033-2019
9578,35874.0,56035-2019
9579,32603.0,56037-2019
9580,54051.0,56039-2019
9581,28159.0,56041-2019
9582,28101.0,56043-2019
9583,28531.0,56045-2019
9584,7595.0,72001-2019
9585,9692.0,72003-2019
9586,11298.0,72005-2019
9587,11097.0,72007-2019
9588,11363.0,72009-2019
9589,10603.0,72011-2019
9590,10596.0,72013-2019
9591,8611.0,72015-2019
9592,9847.0,72017-2019
9593,8537.0,72019-2019
9594,14782.0,72021-2019
9595,9903.0,72023-2019
9596,15244.0,72025-2019
9597,10709.0,72027-2019
9598,12924.0,72029-2019
9599,16846.0,72031-2019
9600,12796.0,72033-2019
9601,12819.0,72035-2019
9602,11204.0,72037-2019
9603,9106.0,72039-2019
9604,10980.0,72041-2019
9605,11063.0,72043-2019
9606,7352.0,72045-2019
9607,8124.0,72047-2019
9608,15027.0,72049-2019
9609,16876.0,72051-2019
9610,12846.0,72053-2019
9611,9250.0,72054-2019
9612,7293.0,72055-2019
9613,10387.0,72057-2019
9614,9136.0,72059-2019
9615,24887.0,72061-2019
9616,18518.0,72063-2019
9617,11144.0,72065-2019
9618,12479.0,72067-2019
9619,13043.0,72069-2019
9620,9002.0,72071-2019
9621,7308.0,72073-2019
9622,10550.0,72075-2019
9623,10222.0,72077-2019
9624,7432.0,72079-2019
9625,9091.0,72081-2019
9626,7585.0,72083-2019
9627,11475.0,72085-2019
9628,9335.0,72087-2019
9629,11123.0,72089-2019
9630,11084.0,72091-2019
9631,6118.0,72093-2019
9632,9319.0,72095-2019
9633,10994.0,72097-2019
9634,10342.0,72099-2019
9635,9728.0,72101-2019
9636,9283.0,72103-2019
9637,9120.0,72105-2019
9638,8299.0,72107-2019
9639,9636.0,72109-2019
9640,9480.0,72111-2019
9641,11393.0,72113-2019
9642,10451.0,72115-2019
9643,12507.0,72117-2019
9644,11341.0,72119-2019
9645,9810.0,72121-2019
9646,9557.0,72123-2019
9647,10535.0,72125-2019
9648,19361.0,72127-2019
9649,11307.0,72129-2019
9650,9498.0,72131-2019
9651,11596.0,72133-2019
9652,14661.0,72135-2019
9653,13106.0,72137-2019
9654,16482.0,72139-2019
9655,8683.0,72141-2019
9656,11735.0,72143-2019
9657,11116.0,72145-2019
9658,10426.0,72147-2019
9659,10894.0,72149-2019
9660,9929.0,72151-2019
9661,8404.0,72153-2019
9662,34103.0,0-2019
9663,29804.0,1001-2020
9664,33751.0,1003-2020
9665,20074.0,1005-2020
