,PCIncome,fip-year
6669,36039.0,6083-2019
6670,56248.0,6085-2019
6671,41312.0,6087-2019
6672,29720.0,6089-2019
6673,33747.0,6091-2019
6674,28615.0,6093-2019
6675,35400.0,6095-2019
6676,42178.0,6097-2019
6677,26258.0,6099-2019
6678,27371.0,6101-2019
6679,24301.0,6103-2019
6680,26523.0,6105-2019
6681,21380.0,6107-2019
6682,34702.0,6109-2019
6683,38595.0,6111-2019
6684,34515.0,6113-2019
6685,25583.0,6115-2019
6686,30313.0,8001-2019
6687,22131.0,8003-2019
6688,40443.0,8005-2019
6689,31629.0,8007-2019
6690,24061.0,8009-2019
6691,13930.0,8011-2019
6692,46826.0,8013-2019
6693,50863.0,8014-2019
6694,29827.0,8015-2019
6695,29081.0,8017-2019
6696,39203.0,8019-2019
6697,20640.0,8021-2019
6698,21732.0,8023-2019
6699,15517.0,8025-2019
6700,29258.0,8027-2019
6701,26499.0,8029-2019
6702,43770.0,8031-2019
6703,26323.0,8033-2019
6704,53313.0,8035-2019
6705,44391.0,8037-2019
6706,44690.0,8039-2019
6707,33728.0,8041-2019
6708,22692.0,8043-2019
6709,33393.0,8045-2019
6710,49641.0,8047-2019
6711,37876.0,8049-2019
6712,32191.0,8051-2019
6713,33570.0,8053-2019
6714,25140.0,8055-2019
6715,28199.0,8057-2019
6716,44119.0,8059-2019
6717,25937.0,8061-2019
6718,27797.0,8063-2019
6719,29122.0,8065-2019
6720,39493.0,8067-2019
6721,37363.0,8069-2019
6722,25813.0,8071-2019
6723,16753.0,8073-2019
6724,26727.0,8075-2019
6725,29596.0,8077-2019
6726,33955.0,8079-2019
6727,29100.0,8081-2019
6728,26072.0,8083-2019
6729,28078.0,8085-2019
6730,25064.0,8087-2019
6731,21110.0,8089-2019
6732,41160.0,8091-2019
6733,36500.0,8093-2019
6734,26494.0,8095-2019
6735,54875.0,8097-2019
6736,23698.0,8099-2019
6737,25051.0,8101-2019
6738,26487.0,8103-2019
6739,24582.0,8105-2019
6740,43769.0,8107-2019
6741,22511.0,8109-2019
6742,34502.0,8111-2019
6743,47526.0,8113-2019
6744,27527.0,8115-2019
6745,41281.0,8117-2019
6746,35703.0,8119-2019
6747,27860.0,8121-2019
6748,31793.0,8123-2019
6749,27955.0,8125-2019
6750,57263.0,9001-2019
6751,40540.0,9003-2019
6752,44480.0,9005-2019
6753,46023.0,9007-2019
6754,38009.0,9009-2019
6755,39426.0,9011-2019
6756,41371.0,9013-2019
6757,32732.0,9015-2019
6758,28845.0,10001-2019
6759,37532.0,10003-2019
6760,35491.0,10005-2019
6761,56147.0,11001-2019
6762,28646.0,12001-2019
6763,24686.0,12003-2019
6764,29290.0,12005-2019
6765,20529.0,12007-2019
6766,32176.0,12009-2019
6767,32909.0,12011-2019
6768,19304.0,12013-2019
6769,32144.0,12015-2019
6770,26989.0,12017-2019
6771,30483.0,12019-2019
6772,45567.0,12021-2019
6773,24275.0,12023-2019
6774,18503.0,12027-2019
6775,21144.0,12029-2019
6776,31327.0,12031-2019
6777,28022.0,12033-2019
6778,29383.0,12035-2019
6779,26574.0,12037-2019
6780,20734.0,12039-2019
6781,21578.0,12041-2019
6782,21953.0,12043-2019
6783,23252.0,12045-2019
6784,16136.0,12047-2019
6785,17754.0,12049-2019
6786,19167.0,12051-2019
6787,25860.0,12053-2019
6788,25752.0,12055-2019
6789,32343.0,12057-2019
6790,19201.0,12059-2019
6791,36516.0,12061-2019
6792,20019.0,12063-2019
6793,24510.0,12065-2019
6794,20776.0,12067-2019
6795,28348.0,12069-2019
6796,33543.0,12071-2019
6797,30586.0,12073-2019
6798,21579.0,12075-2019
6799,17872.0,12077-2019
6800,19510.0,12079-2019
6801,33853.0,12081-2019
6802,25839.0,12083-2019
6803,42199.0,12085-2019
6804,28224.0,12086-2019
6805,46028.0,12087-2019
6806,36553.0,12089-2019
6807,33019.0,12091-2019
6808,21367.0,12093-2019
6809,30456.0,12095-2019
6810,22196.0,12097-2019
6811,39933.0,12099-2019
6812,29001.0,12101-2019
6813,35196.0,12103-2019
6814,24864.0,12105-2019
6815,20915.0,12107-2019
6816,43194.0,12109-2019
6817,27121.0,12111-2019
6818,31691.0,12113-2019
6819,41081.0,12115-2019
6820,35175.0,12117-2019
6821,35560.0,12119-2019
6822,22808.0,12121-2019
6823,17391.0,12123-2019
6824,17010.0,12125-2019
6825,28517.0,12127-2019
6826,25733.0,12129-2019
6827,34475.0,12131-2019
6828,18401.0,12133-2019
6829,21300.0,13001-2019
6830,20338.0,13003-2019
6831,20326.0,13005-2019
6832,22525.0,13007-2019
6833,21716.0,13009-2019
6834,21403.0,13011-2019
6835,25266.0,13013-2019
6836,26493.0,13015-2019
6837,17774.0,13017-2019
6838,19547.0,13019-2019
6839,25640.0,13021-2019
6840,20458.0,13023-2019
6841,20191.0,13025-2019
6842,25700.0,13027-2019
6843,31623.0,13029-2019
6844,22328.0,13031-2019
6845,22173.0,13033-2019
6846,27195.0,13035-2019
6847,14005.0,13037-2019
6848,29741.0,13039-2019
6849,20687.0,13043-2019
6850,24993.0,13045-2019
6851,27308.0,13047-2019
6852,18323.0,13049-2019
6853,32229.0,13051-2019
6854,23769.0,13053-2019
6855,18715.0,13055-2019
6856,36503.0,13057-2019
6857,23827.0,13059-2019
6858,17036.0,13061-2019
6859,20970.0,13063-2019
6860,15152.0,13065-2019
6861,40031.0,13067-2019
6862,19905.0,13069-2019
6863,20529.0,13071-2019
6864,34579.0,13073-2019
6865,20128.0,13075-2019
6866,33875.0,13077-2019
6867,23204.0,13079-2019
6868,22933.0,13081-2019
6869,24000.0,13083-2019
6870,34239.0,13085-2019
6871,21568.0,13087-2019
6872,36077.0,13089-2019
6873,20216.0,13091-2019
6874,22716.0,13093-2019
6875,22059.0,13095-2019
6876,27743.0,13097-2019
6877,19026.0,13099-2019
6878,23885.0,13101-2019
6879,31704.0,13103-2019
6880,22355.0,13105-2019
6881,19389.0,13107-2019
6882,20725.0,13109-2019
6883,27940.0,13111-2019
6884,44061.0,13113-2019
6885,25776.0,13115-2019
6886,43832.0,13117-2019
6887,23187.0,13119-2019
6888,47163.0,13121-2019
6889,27282.0,13123-2019
6890,23541.0,13125-2019
6891,33848.0,13127-2019
6892,24092.0,13129-2019
6893,22543.0,13131-2019
6894,37818.0,13133-2019
6895,30636.0,13135-2019
6896,23046.0,13137-2019
6897,29680.0,13139-2019
6898,16704.0,13141-2019
6899,25074.0,13143-2019
6900,36273.0,13145-2019
6901,23181.0,13147-2019
6902,22714.0,13149-2019
6903,29889.0,13151-2019
6904,29462.0,13153-2019
6905,19878.0,13155-2019
6906,28915.0,13157-2019
6907,22814.0,13159-2019
6908,17833.0,13161-2019
6909,19259.0,13163-2019
6910,15531.0,13165-2019
6911,21087.0,13167-2019
6912,25854.0,13169-2019
6913,22413.0,13171-2019
6914,19207.0,13173-2019
6915,21665.0,13175-2019
6916,29348.0,13177-2019
6917,22811.0,13179-2019
6918,26918.0,13181-2019
6919,22639.0,13183-2019
6920,23348.0,13185-2019
6921,27155.0,13187-2019
6922,21625.0,13189-2019
6923,26892.0,13191-2019
6924,17883.0,13193-2019
6925,24511.0,13195-2019
6926,22541.0,13197-2019
6927,21038.0,13199-2019
6928,23870.0,13201-2019
6929,18619.0,13205-2019
6930,33290.0,13207-2019
6931,22477.0,13209-2019
6932,33571.0,13211-2019
6933,21989.0,13213-2019
6934,26097.0,13215-2019
6935,25247.0,13217-2019
6936,44336.0,13219-2019
6937,23523.0,13221-2019
6938,27979.0,13223-2019
6939,24486.0,13225-2019
6940,31965.0,13227-2019
6941,22268.0,13229-2019
6942,27639.0,13231-2019
6943,23857.0,13233-2019
6944,20746.0,13235-2019
6945,31504.0,13237-2019
6946,18639.0,13239-2019
6947,28266.0,13241-2019
6948,16691.0,13243-2019
6949,22787.0,13245-2019
6950,28320.0,13247-2019
6951,20965.0,13249-2019
6952,22213.0,13251-2019
6953,29614.0,13253-2019
6954,24582.0,13255-2019
6955,23546.0,13257-2019
6956,16705.0,13259-2019
6957,20654.0,13261-2019
6958,21357.0,13263-2019
6959,21416.0,13265-2019
6960,18319.0,13267-2019
6961,21298.0,13269-2019
6962,17202.0,13271-2019
6963,20045.0,13273-2019
6964,27454.0,13275-2019
6965,22974.0,13277-2019
6966,24399.0,13279-2019
6967,25972.0,13281-2019
6968,21830.0,13283-2019
6969,23124.0,13285-2019
6970,19527.0,13287-2019
6971,20979.0,13289-2019
6972,28953.0,13291-2019
6973,21747.0,13293-2019
6974,24247.0,13295-2019
6975,27889.0,13297-2019
6976,20411.0,13299-2019
6977,23448.0,13301-2019
6978,20303.0,13303-2019
6979,21090.0,13305-2019
6980,24102.0,13307-2019
6981,14654.0,13309-2019
6982,27406.0,13311-2019
6983,23974.0,13313-2019
6984,16183.0,13315-2019
6985,24674.0,13317-2019
6986,22141.0,13319-2019
6987,24415.0,13321-2019
6988,30542.0,15001-2019
6989,36816.0,15003-2019
6990,49118.0,15005-2019
6991,33143.0,15007-2019
6992,35241.0,15009-2019
6993,34919.0,16001-2019
6994,28026.0,16003-2019
6995,25076.0,16005-2019
6996,26378.0,16007-2019
6997,23255.0,16009-2019
6998,23059.0,16011-2019
6999,33645.0,16013-2019
7000,31975.0,16015-2019
7001,27918.0,16017-2019
7002,28671.0,16019-2019
7003,25782.0,16021-2019
7004,30294.0,16023-2019
7005,30209.0,16025-2019
7006,22232.0,16027-2019
7007,26221.0,16029-2019
7008,21687.0,16031-2019
7009,18860.0,16033-2019
7010,23412.0,16035-2019
7011,23805.0,16037-2019
7012,23028.0,16039-2019
7013,24185.0,16041-2019
7014,23577.0,16043-2019
7015,22661.0,16045-2019
7016,23607.0,16047-2019
7017,22672.0,16049-2019
7018,24677.0,16051-2019
7019,21461.0,16053-2019
7020,29948.0,16055-2019
7021,27011.0,16057-2019
7022,25075.0,16059-2019
7023,24094.0,16061-2019
7024,21656.0,16063-2019
7025,16585.0,16065-2019
7026,24262.0,16067-2019
7027,29544.0,16069-2019
