,PCIncome,fip-year,fips,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,RUCC_2013,WA,BA,IA,AA,NA,TOM,NH,H
44,27026,1029-2021,1029,15103,0.973474454,7450,7653,42.2,910,1757,5139,4117,2975,8,14309,449,68,35,12,230,14692,411
45,27806,1031-2019,1031,52639,0.972754188,25956,26683,39.4,3187,6356,19766,13447,9137,4,39834,9291,731,895,212,1676,48391,4248
46,27912,1031-2020,1031,53565,0.983888889,26565,27000,39.4,3197,6538,20093,13802,9162,4,40520,9428,762,896,228,1731,49085,4480
47,29688,1031-2021,1031,54174,0.9791758,26802,27372,39.3,3266,6602,20406,13845,9272,4,41091,9349,793,937,242,1762,49383,4791
48,25536,1033-2019,1033,55241,0.91616081,26412,28829,42.4,3143,5881,19635,14836,11116,3,44415,8944,367,377,38,1100,53537,1704
49,25807,1033-2020,1033,57236,0.932147318,27613,29623,42.2,3268,6171,20258,15382,11441,3,45940,9313,382,388,38,1175,55395,1841
50,28090,1033-2021,1033,57474,0.930147429,27697,29777,42.3,3209,6184,20398,15303,11641,3,46027,9345,389,400,43,1270,55537,1937
51,19769,1035-2019,1035,12055,0.908644712,5739,6316,45.5,646,1289,3903,3269,2829,7,6242,5546,67,31,4,165,11766,289
52,20756,1035-2020,1035,11552,0.921810015,5541,6011,45.7,597,1247,3693,3166,2705,7,5946,5318,69,34,4,181,11261,291
53,22841,1035-2021,1035,11328,0.929812606,5458,5870,46.3,613,1141,3611,3086,2734,7,5840,5189,71,34,4,190,11016,312
54,23694,1037-2019,1037,10677,1.009220926,5363,5314,49.4,461,868,3225,3437,2571,8,7119,3301,66,18,18,155,10397,280
55,25083,1037-2020,1037,10383,1.019645983,5242,5141,49.7,449,852,3117,3341,2519,8,6947,3164,75,21,22,154,10112,271
56,26718,1037-2021,1037,10450,1.030703459,5304,5146,50.1,438,849,3141,3335,2582,8,7070,3091,78,20,22,169,10164,286
57,23687,1039-2019,1039,37082,0.936396867,17932,19150,43.5,2195,4074,12371,9990,7965,6,31308,4689,271,186,4,624,36392,690
58,25303,1039-2020,1039,37469,0.945835064,18213,19256,43.4,2113,4207,12543,10128,7994,6,31586,4780,277,192,5,629,36748,721
59,26138,1039-2021,1039,37524,0.943040597,18212,19312,43.2,2094,4203,12712,9888,8134,6,31576,4783,295,197,5,668,36754,770
60,24563,1041-2019,1041,13811,0.947405527,6719,7092,42.1,789,1601,4795,3768,2686,8,9944,3316,90,167,6,288,13485,326
61,26351,1041-2020,1041,13157,0.961097034,6448,6709,41.8,721,1562,4576,3556,2563,8,9446,3164,96,157,6,288,12837,320
62,28097,1041-2021,1041,13083,0.961763383,6414,6669,41.6,715,1565,4579,3476,2572,8,9388,3119,96,162,6,312,12761,322
