,fips,RUCC_2013
354,12071,2.0
355,12073,2.0
356,12075,6.0
357,12077,8.0
358,12079,6.0
359,12081,2.0
360,12083,2.0
361,12085,2.0
362,12086,1.0
363,12087,4.0
364,12089,1.0
365,12091,3.0
366,12093,4.0
367,12095,1.0
368,12097,1.0
369,12099,1.0
370,12101,1.0
371,12103,1.0
372,12105,2.0
373,12107,4.0
374,12109,1.0
375,12111,2.0
376,12113,2.0
377,12115,2.0
378,12117,1.0
379,12119,3.0
380,12121,6.0
381,12123,6.0
382,12125,6.0
383,12127,2.0
384,12129,2.0
385,12131,3.0
386,12133,6.0
387,13001,7.0
388,13003,9.0
389,13005,7.0
390,13007,3.0
391,13009,4.0
392,13011,8.0
393,13013,1.0
394,13015,1.0
395,13017,7.0
396,13019,6.0
397,13021,3.0
398,13023,6.0
399,13025,3.0
400,13027,3.0
401,13029,2.0
402,13031,4.0
403,13033,2.0
404,13035,1.0
405,13037,8.0
406,13039,4.0
407,13043,7.0
408,13045,1.0
409,13047,2.0
410,13049,6.0
411,13051,2.0
412,13053,2.0
413,13055,6.0
414,13057,1.0
415,13059,3.0
416,13061,9.0
417,13063,1.0
418,13065,6.0
419,13067,1.0
420,13069,7.0
421,13071,6.0
422,13073,2.0
423,13075,6.0
424,13077,1.0
425,13079,3.0
426,13081,6.0
427,13083,2.0
428,13085,1.0
429,13087,6.0
430,13089,1.0
431,13091,6.0
432,13093,6.0
433,13095,3.0
434,13097,1.0
435,13099,6.0
436,13101,3.0
437,13103,2.0
438,13105,6.0
439,13107,7.0
440,13109,6.0
441,13111,8.0
442,13113,1.0
443,13115,3.0
444,13117,1.0
445,13119,8.0
446,13121,1.0
447,13123,6.0
448,13125,9.0
449,13127,3.0
450,13129,4.0
451,13131,6.0
452,13133,6.0
453,13135,1.0
454,13137,6.0
455,13139,3.0
456,13141,7.0
457,13143,1.0
458,13145,2.0
459,13147,6.0
460,13149,1.0
461,13151,1.0
462,13153,3.0
463,13155,7.0
464,13157,4.0
465,13159,1.0
466,13161,7.0
467,13163,6.0
468,13165,6.0
469,13167,7.0
470,13169,3.0
471,13171,1.0
472,13173,3.0
473,13175,5.0
474,13177,3.0
475,13179,3.0
476,13181,2.0
477,13183,3.0
478,13185,3.0
479,13187,6.0
480,13189,2.0
481,13191,3.0
482,13193,6.0
483,13195,3.0
484,13197,2.0
485,13199,1.0
486,13201,8.0
487,13205,6.0
488,13207,3.0
489,13209,9.0
490,13211,1.0
491,13213,3.0
492,13215,2.0
493,13217,1.0
494,13219,3.0
495,13221,3.0
496,13223,1.0
497,13225,3.0
498,13227,1.0
499,13229,6.0
500,13231,1.0
501,13233,4.0
502,13235,3.0
503,13237,6.0
504,13239,9.0
505,13241,7.0
506,13243,6.0
507,13245,2.0
508,13247,1.0
509,13249,8.0
510,13251,6.0
511,13253,6.0
512,13255,1.0
513,13257,7.0
514,13259,8.0
515,13261,6.0
516,13263,8.0
517,13265,8.0
518,13267,6.0
519,13269,8.0
520,13271,7.0
521,13273,3.0
522,13275,4.0
523,13277,5.0
524,13279,7.0
525,13281,9.0
526,13283,7.0
527,13285,4.0
528,13287,6.0
529,13289,3.0
530,13291,9.0
531,13293,6.0
532,13295,2.0
533,13297,1.0
534,13299,5.0
535,13301,8.0
536,13303,7.0
537,13305,6.0
538,13307,8.0
539,13309,9.0
540,13311,6.0
541,13313,3.0
542,13315,8.0
543,13317,6.0
544,13319,8.0
545,13321,3.0
546,15001,5.0
547,15003,2.0
548,15005,3.0
549,15007,5.0
550,15009,3.0
551,16001,2.0
552,16003,9.0
553,16005,3.0
554,16007,9.0
555,16009,6.0
556,16011,4.0
557,16013,7.0
558,16015,2.0
559,16017,6.0
560,16019,3.0
561,16021,7.0
562,16023,3.0
563,16025,9.0
564,16027,2.0
565,16029,6.0
566,16031,7.0
567,16033,9.0
568,16035,6.0
569,16037,8.0
570,16039,6.0
571,16041,3.0
572,16043,6.0
573,16045,2.0
574,16047,7.0
575,16049,6.0
576,16051,3.0
577,16053,7.0
578,16055,3.0
579,16057,4.0
580,16059,7.0
581,16061,8.0
582,16063,9.0
583,16065,4.0
584,16067,7.0
585,16069,3.0
586,16071,8.0
587,16073,2.0
588,16075,6.0
589,16077,6.0
590,16079,6.0
591,16081,9.0
592,16083,5.0
593,16085,8.0
594,16087,6.0
595,17001,5.0
596,17003,3.0
597,17005,1.0
598,17007,2.0
599,17009,7.0
600,17011,7.0
601,17013,1.0
602,17015,7.0
603,17017,6.0
604,17019,3.0
605,17021,6.0
606,17023,6.0
607,17025,7.0
608,17027,1.0
609,17029,5.0
610,17031,1.0
611,17033,7.0
612,17035,9.0
613,17037,1.0
614,17039,3.0
615,17041,6.0
616,17043,1.0
617,17045,6.0
618,17047,9.0
619,17049,7.0
620,17051,6.0
621,17053,3.0
622,17055,4.0
623,17057,6.0
624,17059,8.0
625,17061,6.0
626,17063,1.0
627,17065,7.0
628,17067,7.0
629,17069,9.0
630,17071,9.0
631,17073,2.0
632,17075,6.0
633,17077,3.0
634,17079,7.0
635,17081,7.0
636,17083,1.0
637,17085,6.0
638,17087,8.0
639,17089,1.0
640,17091,3.0
641,17093,1.0
642,17095,4.0
643,17097,1.0
644,17099,4.0
645,17101,7.0
646,17103,6.0
647,17105,4.0
648,17107,6.0
649,17109,5.0
650,17111,1.0
651,17113,3.0
652,17115,3.0
653,17117,1.0
654,17119,1.0
655,17121,4.0
656,17123,2.0
657,17125,6.0
658,17127,7.0
659,17129,3.0
660,17131,2.0
661,17133,1.0
662,17135,6.0
663,17137,4.0
664,17139,6.0
665,17141,4.0
666,17143,2.0
667,17145,6.0
668,17147,3.0
669,17149,7.0
670,17151,8.0
671,17153,8.0
672,17155,8.0
673,17157,6.0
674,17159,7.0
675,17161,2.0
676,17163,1.0
677,17165,6.0
678,17167,3.0
679,17169,7.0
680,17171,9.0
681,17173,6.0
682,17175,2.0
683,17177,4.0
684,17179,2.0
685,17181,6.0
686,17183,3.0
687,17185,7.0
688,17187,6.0
689,17189,6.0
690,17191,7.0
691,17193,6.0
692,17195,4.0
693,17197,1.0
694,17199,3.0
695,17201,2.0
696,17203,2.0
697,18001,6.0
698,18003,2.0
699,18005,3.0
700,18007,3.0
701,18009,6.0
702,18011,1.0
703,18013,1.0
704,18015,3.0
705,18017,4.0
706,18019,1.0
707,18021,3.0
708,18023,6.0
709,18025,8.0
710,18027,7.0
711,18029,1.0
712,18031,6.0
713,18033,4.0
714,18035,3.0
715,18037,5.0
716,18039,3.0
717,18041,6.0
718,18043,1.0
719,18045,6.0
720,18047,6.0
721,18049,7.0
722,18051,6.0
723,18053,4.0
724,18055,6.0
725,18057,1.0
726,18059,1.0
727,18061,1.0
728,18063,1.0
729,18065,4.0
730,18067,3.0
731,18069,6.0
732,18071,4.0
733,18073,1.0
734,18075,6.0
735,18077,6.0
736,18079,6.0
737,18081,1.0
738,18083,5.0
739,18085,4.0
740,18087,6.0
741,18089,1.0
742,18091,3.0
743,18093,6.0
744,18095,1.0
745,18097,1.0
746,18099,6.0
747,18101,7.0
748,18103,6.0
749,18105,3.0
750,18107,6.0
751,18109,1.0
752,18111,1.0
753,18113,6.0
754,18115,1.0
755,18117,6.0
756,18119,3.0
757,18121,6.0
758,18123,6.0
759,18125,8.0
760,18127,1.0
761,18129,2.0
762,18131,6.0
763,18133,1.0
764,18135,6.0
765,18137,6.0
766,18139,6.0
767,18141,2.0
768,18143,1.0
769,18145,1.0
770,18147,8.0
771,18149,6.0
772,18151,7.0
773,18153,3.0
774,18155,8.0
775,18157,3.0
776,18159,6.0
777,18161,1.0
778,18163,2.0
779,18165,3.0
780,18167,3.0
781,18169,6.0
782,18171,8.0
783,18173,2.0
784,18175,1.0
785,18177,5.0
786,18179,2.0
787,18181,6.0
788,18183,2.0
789,19001,8.0
790,19003,9.0
791,19005,6.0
792,19007,7.0
793,19009,8.0
794,19011,2.0
795,19013,3.0
796,19015,6.0
797,19017,3.0
798,19019,6.0
799,19021,7.0
800,19023,8.0
801,19025,9.0
802,19027,7.0
803,19029,6.0
804,19031,6.0
805,19033,5.0
806,19035,6.0
807,19037,6.0
808,19039,6.0
809,19041,7.0
810,19043,8.0
811,19045,4.0
812,19047,7.0
813,19049,2.0
814,19051,9.0
815,19053,9.0
816,19055,6.0
817,19057,5.0
818,19059,7.0
819,19061,3.0
820,19063,7.0
821,19065,6.0
822,19067,7.0
823,19069,7.0
824,19071,8.0
825,19073,6.0
826,19075,3.0
827,19077,2.0
828,19079,6.0
829,19081,7.0
830,19083,6.0
831,19085,2.0
