,cost-house,fip-year-month,fip-year
0,635279,6037-2019-1,6037-2019
1,633105,6037-2019-2,6037-2019
2,631271,6037-2019-3,6037-2019
3,630818,6037-2019-4,6037-2019
4,631688,6037-2019-5,6037-2019
5,633482,6037-2019-6,6037-2019
6,631409,6037-2019-7,6037-2019
7,631367,6037-2019-8,6037-2019
8,632638,6037-2019-9,6037-2019
9,637348,6037-2019-10,6037-2019
10,640082,6037-2019-11,6037-2019
11,643287,6037-2019-12,6037-2019
12,646414,6037-2020-1,6037-2020
13,652995,6037-2020-2,6037-2020
14,659827,6037-2020-3,6037-2020
15,665371,6037-2020-4,6037-2020
16,663189,6037-2020-5,6037-2020
17,660450,6037-2020-6,6037-2020
18,663031,6037-2020-7,6037-2020
19,672122,6037-2020-8,6037-2020
20,683282,6037-2020-9,6037-2020
21,693285,6037-2020-10,6037-2020
22,701027,6037-2020-11,6037-2020
23,706470,6037-2020-12,6037-2020
24,710277,6037-2021-1,6037-2021
25,717292,6037-2021-2,6037-2021
26,724304,6037-2021-3,6037-2021
27,734737,6037-2021-4,6037-2021
28,748675,6037-2021-5,6037-2021
29,766484,6037-2021-6,6037-2021
30,786445,6037-2021-7,6037-2021
31,798469,6037-2021-8,6037-2021
32,807117,6037-2021-9,6037-2021
33,809652,6037-2021-10,6037-2021
34,814209,6037-2021-11,6037-2021
35,819573,6037-2021-12,6037-2021
36,252286,17031-2019-1,17031-2019
37,252901,17031-2019-2,17031-2019
38,253201,17031-2019-3,17031-2019
39,253595,17031-2019-4,17031-2019
40,253269,17031-2019-5,17031-2019
41,252812,17031-2019-6,17031-2019
42,252588,17031-2019-7,17031-2019
43,252224,17031-2019-8,17031-2019
44,252010,17031-2019-9,17031-2019
45,251497,17031-2019-10,17031-2019
46,251268,17031-2019-11,17031-2019
47,251157,17031-2019-12,17031-2019
48,251586,17031-2020-1,17031-2020
49,252148,17031-2020-2,17031-2020
50,252418,17031-2020-3,17031-2020
51,252189,17031-2020-4,17031-2020
52,251875,17031-2020-5,17031-2020
53,251903,17031-2020-6,17031-2020
54,253337,17031-2020-7,17031-2020
55,255197,17031-2020-8,17031-2020
56,258935,17031-2020-9,17031-2020
57,262272,17031-2020-10,17031-2020
58,265071,17031-2020-11,17031-2020
59,266731,17031-2020-12,17031-2020
60,267364,17031-2021-1,17031-2021
61,269636,17031-2021-2,17031-2021
62,271379,17031-2021-3,17031-2021
63,274385,17031-2021-4,17031-2021
64,276166,17031-2021-5,17031-2021
65,279190,17031-2021-6,17031-2021
66,282732,17031-2021-7,17031-2021
67,286479,17031-2021-8,17031-2021
68,289068,17031-2021-9,17031-2021
69,291559,17031-2021-10,17031-2021
70,294460,17031-2021-11,17031-2021
71,297191,17031-2021-12,17031-2021
72,199943,48201-2019-1,48201-2019
73,200780,48201-2019-2,48201-2019
74,201171,48201-2019-3,48201-2019
75,201156,48201-2019-4,48201-2019
76,201247,48201-2019-5,48201-2019
77,201750,48201-2019-6,48201-2019
78,202237,48201-2019-7,48201-2019
79,202754,48201-2019-8,48201-2019
80,202949,48201-2019-9,48201-2019
81,203791,48201-2019-10,48201-2019
82,204479,48201-2019-11,48201-2019
83,205122,48201-2019-12,48201-2019
84,204815,48201-2020-1,48201-2020
85,204986,48201-2020-2,48201-2020
86,205936,48201-2020-3,48201-2020
87,207353,48201-2020-4,48201-2020
88,208233,48201-2020-5,48201-2020
89,208595,48201-2020-6,48201-2020
90,209054,48201-2020-7,48201-2020
91,210023,48201-2020-8,48201-2020
92,212226,48201-2020-9,48201-2020
93,214571,48201-2020-10,48201-2020
94,217130,48201-2020-11,48201-2020
95,219272,48201-2020-12,48201-2020
96,221362,48201-2021-1,48201-2021
97,223926,48201-2021-2,48201-2021
98,225167,48201-2021-3,48201-2021
99,226995,48201-2021-4,48201-2021
100,229258,48201-2021-5,48201-2021
101,234176,48201-2021-6,48201-2021
102,239565,48201-2021-7,48201-2021
103,245372,48201-2021-8,48201-2021
104,249810,48201-2021-9,48201-2021
105,253619,48201-2021-10,48201-2021
106,256223,48201-2021-11,48201-2021
107,259306,48201-2021-12,48201-2021
108,271181,4013-2019-1,4013-2019
109,272433,4013-2019-2,4013-2019
110,273866,4013-2019-3,4013-2019
111,274712,4013-2019-4,4013-2019
112,275457,4013-2019-5,4013-2019
113,276179,4013-2019-6,4013-2019
114,277350,4013-2019-7,4013-2019
115,279277,4013-2019-8,4013-2019
116,280968,4013-2019-9,4013-2019
117,282651,4013-2019-10,4013-2019
118,284304,4013-2019-11,4013-2019
119,286401,4013-2019-12,4013-2019
120,288509,4013-2020-1,4013-2020
121,290603,4013-2020-2,4013-2020
122,293668,4013-2020-3,4013-2020
123,297951,4013-2020-4,4013-2020
124,300779,4013-2020-5,4013-2020
125,302492,4013-2020-6,4013-2020
126,304383,4013-2020-7,4013-2020
127,308815,4013-2020-8,4013-2020
128,314143,4013-2020-9,4013-2020
129,319502,4013-2020-10,4013-2020
130,324838,4013-2020-11,4013-2020
131,331099,4013-2020-12,4013-2020
132,338520,4013-2021-1,4013-2021
133,344920,4013-2021-2,4013-2021
134,353650,4013-2021-3,4013-2021
135,360262,4013-2021-4,4013-2021
136,372458,4013-2021-5,4013-2021
137,383871,4013-2021-6,4013-2021
138,397135,4013-2021-7,4013-2021
139,407112,4013-2021-8,4013-2021
140,415319,4013-2021-9,4013-2021
141,422809,4013-2021-10,4013-2021
142,428902,4013-2021-11,4013-2021
143,434638,4013-2021-12,4013-2021
144,578759,6073-2019-1,6073-2019
145,576445,6073-2019-2,6073-2019
146,576089,6073-2019-3,6073-2019
147,579081,6073-2019-4,6073-2019
148,580687,6073-2019-5,6073-2019
149,582534,6073-2019-6,6073-2019
150,584773,6073-2019-7,6073-2019
151,586733,6073-2019-8,6073-2019
152,587296,6073-2019-9,6073-2019
153,587847,6073-2019-10,6073-2019
154,589840,6073-2019-11,6073-2019
155,592322,6073-2019-12,6073-2019
156,595231,6073-2020-1,6073-2020
157,598425,6073-2020-2,6073-2020
158,603992,6073-2020-3,6073-2020
159,607873,6073-2020-4,6073-2020
160,610751,6073-2020-5,6073-2020
161,610988,6073-2020-6,6073-2020
162,614516,6073-2020-7,6073-2020
163,621101,6073-2020-8,6073-2020
164,631063,6073-2020-9,6073-2020
165,641944,6073-2020-10,6073-2020
166,653853,6073-2020-11,6073-2020
167,664341,6073-2020-12,6073-2020
168,673644,6073-2021-1,6073-2021
169,681917,6073-2021-2,6073-2021
170,692024,6073-2021-3,6073-2021
171,705885,6073-2021-4,6073-2021
172,726619,6073-2021-5,6073-2021
173,750501,6073-2021-6,6073-2021
174,774050,6073-2021-7,6073-2021
175,788507,6073-2021-8,6073-2021
176,798103,6073-2021-9,6073-2021
177,802781,6073-2021-10,6073-2021
178,810221,6073-2021-11,6073-2021
179,821411,6073-2021-12,6073-2021
180,731479,6059-2019-1,6059-2019
181,729307,6059-2019-2,6059-2019
182,728870,6059-2019-3,6059-2019
183,728338,6059-2019-4,6059-2019
184,729320,6059-2019-5,6059-2019
185,728424,6059-2019-6,6059-2019
186,729243,6059-2019-7,6059-2019
187,731054,6059-2019-8,6059-2019
188,736382,6059-2019-9,6059-2019
189,739714,6059-2019-10,6059-2019
190,739735,6059-2019-11,6059-2019
191,738132,6059-2019-12,6059-2019
192,740413,6059-2020-1,6059-2020
193,745315,6059-2020-2,6059-2020
194,752405,6059-2020-3,6059-2020
195,756447,6059-2020-4,6059-2020
196,755059,6059-2020-5,6059-2020
197,751734,6059-2020-6,6059-2020
198,751912,6059-2020-7,6059-2020
199,761659,6059-2020-8,6059-2020
200,771652,6059-2020-9,6059-2020
201,781953,6059-2020-10,6059-2020
202,788856,6059-2020-11,6059-2020
203,796777,6059-2020-12,6059-2020
204,804294,6059-2021-1,6059-2021
205,812571,6059-2021-2,6059-2021
206,822059,6059-2021-3,6059-2021
207,834096,6059-2021-4,6059-2021
208,853073,6059-2021-5,6059-2021
209,876598,6059-2021-6,6059-2021
210,899636,6059-2021-7,6059-2021
211,916572,6059-2021-8,6059-2021
212,927432,6059-2021-9,6059-2021
213,937178,6059-2021-10,6059-2021
214,949907,6059-2021-11,6059-2021
215,967565,6059-2021-12,6059-2021
216,315159,12086-2019-1,12086-2019
217,315472,12086-2019-2,12086-2019
218,316379,12086-2019-3,12086-2019
219,317208,12086-2019-4,12086-2019
220,317319,12086-2019-5,12086-2019
221,317882,12086-2019-6,12086-2019
222,318185,12086-2019-7,12086-2019
223,318244,12086-2019-8,12086-2019
224,317973,12086-2019-9,12086-2019
225,318341,12086-2019-10,12086-2019
226,318685,12086-2019-11,12086-2019
227,318868,12086-2019-12,12086-2019
228,318896,12086-2020-1,12086-2020
229,321586,12086-2020-2,12086-2020
230,323903,12086-2020-3,12086-2020
231,325686,12086-2020-4,12086-2020
232,326698,12086-2020-5,12086-2020
233,327434,12086-2020-6,12086-2020
234,328673,12086-2020-7,12086-2020
235,329879,12086-2020-8,12086-2020
236,331823,12086-2020-9,12086-2020
237,333602,12086-2020-10,12086-2020
238,334902,12086-2020-11,12086-2020
239,337558,12086-2020-12,12086-2020
240,341605,12086-2021-1,12086-2021
241,345509,12086-2021-2,12086-2021
242,350171,12086-2021-3,12086-2021
243,352866,12086-2021-4,12086-2021
244,357786,12086-2021-5,12086-2021
245,362576,12086-2021-6,12086-2021
246,368802,12086-2021-7,12086-2021
247,375238,12086-2021-8,12086-2021
248,383128,12086-2021-9,12086-2021
249,391514,12086-2021-10,12086-2021
250,399269,12086-2021-11,12086-2021
251,407091,12086-2021-12,12086-2021
252,215393,48113-2019-1,48113-2019
253,218026,48113-2019-2,48113-2019
254,220349,48113-2019-3,48113-2019
255,220531,48113-2019-4,48113-2019
256,220106,48113-2019-5,48113-2019
257,219572,48113-2019-6,48113-2019
258,219506,48113-2019-7,48113-2019
259,220687,48113-2019-8,48113-2019
260,222286,48113-2019-9,48113-2019
261,222054,48113-2019-10,48113-2019
262,221230,48113-2019-11,48113-2019
263,219952,48113-2019-12,48113-2019
264,222233,48113-2020-1,48113-2020
265,224281,48113-2020-2,48113-2020
266,226641,48113-2020-3,48113-2020
267,226734,48113-2020-4,48113-2020
268,226526,48113-2020-5,48113-2020
269,226332,48113-2020-6,48113-2020
270,226812,48113-2020-7,48113-2020
271,228826,48113-2020-8,48113-2020
272,231255,48113-2020-9,48113-2020
273,234138,48113-2020-10,48113-2020
274,235848,48113-2020-11,48113-2020
275,237802,48113-2020-12,48113-2020
276,240730,48113-2021-1,48113-2021
277,244352,48113-2021-2,48113-2021
278,247698,48113-2021-3,48113-2021
279,250552,48113-2021-4,48113-2021
280,253816,48113-2021-5,48113-2021
281,258244,48113-2021-6,48113-2021
282,262851,48113-2021-7,48113-2021
283,269777,48113-2021-8,48113-2021
284,276607,48113-2021-9,48113-2021
285,282163,48113-2021-10,48113-2021
286,285386,48113-2021-11,48113-2021
287,288263,48113-2021-12,48113-2021
288,784887,36047-2019-1,36047-2019
289,787327,36047-2019-2,36047-2019
290,789427,36047-2019-3,36047-2019
291,791121,36047-2019-4,36047-2019
292,791946,36047-2019-5,36047-2019
293,792152,36047-2019-6,36047-2019
294,792953,36047-2019-7,36047-2019
295,790581,36047-2019-8,36047-2019
296,788256,36047-2019-9,36047-2019
297,784835,36047-2019-10,36047-2019
298,782679,36047-2019-11,36047-2019
299,781092,36047-2019-12,36047-2019
300,780466,36047-2020-1,36047-2020
301,780729,36047-2020-2,36047-2020
302,783101,36047-2020-3,36047-2020
303,785338,36047-2020-4,36047-2020
304,786947,36047-2020-5,36047-2020
305,787349,36047-2020-6,36047-2020
306,789906,36047-2020-7,36047-2020
307,793854,36047-2020-8,36047-2020
308,797693,36047-2020-9,36047-2020
309,800176,36047-2020-10,36047-2020
310,804209,36047-2020-11,36047-2020
311,806435,36047-2020-12,36047-2020
312,807350,36047-2021-1,36047-2021
313,807619,36047-2021-2,36047-2021
314,808394,36047-2021-3,36047-2021
315,810604,36047-2021-4,36047-2021
316,810581,36047-2021-5,36047-2021
317,812734,36047-2021-6,36047-2021
318,816226,36047-2021-7,36047-2021
319,824198,36047-2021-8,36047-2021
320,831770,36047-2021-9,36047-2021
321,836670,36047-2021-10,36047-2021
322,838053,36047-2021-11,36047-2021
323,839035,36047-2021-12,36047-2021
324,384962,6065-2019-1,6065-2019
325,386259,6065-2019-2,6065-2019
326,388282,6065-2019-3,6065-2019
327,389248,6065-2019-4,6065-2019
328,389418,6065-2019-5,6065-2019
329,389461,6065-2019-6,6065-2019
330,390220,6065-2019-7,6065-2019
331,390978,6065-2019-8,6065-2019
332,391006,6065-2019-9,6065-2019
333,392430,6065-2019-10,6065-2019
334,392928,6065-2019-11,6065-2019
335,395792,6065-2019-12,6065-2019
336,395856,6065-2020-1,6065-2020
337,396942,6065-2020-2,6065-2020
338,397422,6065-2020-3,6065-2020
339,399435,6065-2020-4,6065-2020
340,401823,6065-2020-5,6065-2020
341,403334,6065-2020-6,6065-2020
342,405993,6065-2020-7,6065-2020
343,410303,6065-2020-8,6065-2020
344,416136,6065-2020-9,6065-2020
345,421538,6065-2020-10,6065-2020
346,427698,6065-2020-11,6065-2020
347,433921,6065-2020-12,6065-2020
348,439815,6065-2021-1,6065-2021
349,446444,6065-2021-2,6065-2021
350,454014,6065-2021-3,6065-2021
351,464349,6065-2021-4,6065-2021
352,476145,6065-2021-5,6065-2021
353,490772,6065-2021-6,6065-2021
354,507708,6065-2021-7,6065-2021
355,523561,6065-2021-8,6065-2021
356,535624,6065-2021-9,6065-2021
357,543516,6065-2021-10,6065-2021
358,547888,6065-2021-11,6065-2021
359,552256,6065-2021-12,6065-2021
360,643187,36081-2019-1,36081-2019
361,646514,36081-2019-2,36081-2019
362,649002,36081-2019-3,36081-2019
363,650003,36081-2019-4,36081-2019
364,650373,36081-2019-5,36081-2019
365,649497,36081-2019-6,36081-2019
366,648976,36081-2019-7,36081-2019
367,648275,36081-2019-8,36081-2019
368,647027,36081-2019-9,36081-2019
369,646397,36081-2019-10,36081-2019
370,645866,36081-2019-11,36081-2019
371,646677,36081-2019-12,36081-2019
372,648579,36081-2020-1,36081-2020
373,651737,36081-2020-2,36081-2020
374,653268,36081-2020-3,36081-2020
375,654223,36081-2020-4,36081-2020
376,652724,36081-2020-5,36081-2020
377,652542,36081-2020-6,36081-2020
378,654377,36081-2020-7,36081-2020
379,656584,36081-2020-8,36081-2020
380,659765,36081-2020-9,36081-2020
381,660215,36081-2020-10,36081-2020
382,662862,36081-2020-11,36081-2020
383,666538,36081-2020-12,36081-2020
384,671437,36081-2021-1,36081-2021
385,673895,36081-2021-2,36081-2021
386,674833,36081-2021-3,36081-2021
387,675417,36081-2021-4,36081-2021
388,679512,36081-2021-5,36081-2021
389,683563,36081-2021-6,36081-2021
390,687941,36081-2021-7,36081-2021
391,690664,36081-2021-8,36081-2021
392,696029,36081-2021-9,36081-2021
393,701376,36081-2021-10,36081-2021
394,705809,36081-2021-11,36081-2021
395,708118,36081-2021-12,36081-2021
396,625325,53033-2019-1,53033-2019
397,622560,53033-2019-2,53033-2019
398,620430,53033-2019-3,53033-2019
399,616677,53033-2019-4,53033-2019
400,613622,53033-2019-5,53033-2019
401,609588,53033-2019-6,53033-2019
402,608386,53033-2019-7,53033-2019
403,608831,53033-2019-8,53033-2019
404,609464,53033-2019-9,53033-2019
405,609790,53033-2019-10,53033-2019
406,613920,53033-2019-11,53033-2019
407,621269,53033-2019-12,53033-2019
408,630711,53033-2020-1,53033-2020
409,638197,53033-2020-2,53033-2020
410,645265,53033-2020-3,53033-2020
411,648989,53033-2020-4,53033-2020
412,647448,53033-2020-5,53033-2020
413,646550,53033-2020-6,53033-2020
414,649466,53033-2020-7,53033-2020
415,659904,53033-2020-8,53033-2020
416,670773,53033-2020-9,53033-2020
417,682260,53033-2020-10,53033-2020
418,691158,53033-2020-11,53033-2020
419,695788,53033-2020-12,53033-2020
420,700710,53033-2021-1,53033-2021
421,706279,53033-2021-2,53033-2021
422,713054,53033-2021-3,53033-2021
423,724564,53033-2021-4,53033-2021
424,736071,53033-2021-5,53033-2021
425,756932,53033-2021-6,53033-2021
426,772180,53033-2021-7,53033-2021
427,785579,53033-2021-8,53033-2021
428,793783,53033-2021-9,53033-2021
429,800407,53033-2021-10,53033-2021
430,814205,53033-2021-11,53033-2021
431,826563,53033-2021-12,53033-2021
432,284885,32003-2019-1,32003-2019
433,286696,32003-2019-2,32003-2019
434,287074,32003-2019-3,32003-2019
435,288249,32003-2019-4,32003-2019
436,288715,32003-2019-5,32003-2019
437,288667,32003-2019-6,32003-2019
438,287222,32003-2019-7,32003-2019
439,285781,32003-2019-8,32003-2019
440,284567,32003-2019-9,32003-2019
441,284755,32003-2019-10,32003-2019
442,286151,32003-2019-11,32003-2019
443,287592,32003-2019-12,32003-2019
444,289096,32003-2020-1,32003-2020
445,290228,32003-2020-2,32003-2020
446,292554,32003-2020-3,32003-2020
447,295109,32003-2020-4,32003-2020
448,295406,32003-2020-5,32003-2020
449,293665,32003-2020-6,32003-2020
450,292761,32003-2020-7,32003-2020
451,294943,32003-2020-8,32003-2020
452,299242,32003-2020-9,32003-2020
453,302750,32003-2020-10,32003-2020
454,305977,32003-2020-11,32003-2020
455,309325,32003-2020-12,32003-2020
456,312797,32003-2021-1,32003-2021
457,316104,32003-2021-2,32003-2021
458,319834,32003-2021-3,32003-2021
459,324284,32003-2021-4,32003-2021
460,332661,32003-2021-5,32003-2021
461,343598,32003-2021-6,32003-2021
462,355148,32003-2021-7,32003-2021
463,364124,32003-2021-8,32003-2021
464,371631,32003-2021-9,32003-2021
465,378552,32003-2021-10,32003-2021
466,385830,32003-2021-11,32003-2021
467,392272,32003-2021-12,32003-2021
468,343944,6071-2019-1,6071-2019
469,344705,6071-2019-2,6071-2019
470,345817,6071-2019-3,6071-2019
471,346625,6071-2019-4,6071-2019
472,348013,6071-2019-5,6071-2019
473,348703,6071-2019-6,6071-2019
474,348532,6071-2019-7,6071-2019
475,349030,6071-2019-8,6071-2019
476,349717,6071-2019-9,6071-2019
477,351545,6071-2019-10,6071-2019
478,352939,6071-2019-11,6071-2019
479,354340,6071-2019-12,6071-2019
480,355536,6071-2020-1,6071-2020
481,357563,6071-2020-2,6071-2020
482,360216,6071-2020-3,6071-2020
483,362848,6071-2020-4,6071-2020
484,362585,6071-2020-5,6071-2020
485,362690,6071-2020-6,6071-2020
486,364776,6071-2020-7,6071-2020
487,369995,6071-2020-8,6071-2020
488,375537,6071-2020-9,6071-2020
489,381034,6071-2020-10,6071-2020
490,386308,6071-2020-11,6071-2020
491,392502,6071-2020-12,6071-2020
492,398699,6071-2021-1,6071-2021
493,404605,6071-2021-2,6071-2021
494,410892,6071-2021-3,6071-2021
495,418477,6071-2021-4,6071-2021
496,429185,6071-2021-5,6071-2021
497,439231,6071-2021-6,6071-2021
498,450929,6071-2021-7,6071-2021
499,461355,6071-2021-8,6071-2021
500,472422,6071-2021-9,6071-2021
501,477985,6071-2021-10,6071-2021
502,482322,6071-2021-11,6071-2021
503,487649,6071-2021-12,6071-2021
504,219724,48439-2019-1,48439-2019
505,220782,48439-2019-2,48439-2019
506,221230,48439-2019-3,48439-2019
507,221516,48439-2019-4,48439-2019
508,222020,48439-2019-5,48439-2019
509,222182,48439-2019-6,48439-2019
510,222353,48439-2019-7,48439-2019
511,222967,48439-2019-8,48439-2019
512,224113,48439-2019-9,48439-2019
513,225292,48439-2019-10,48439-2019
514,226125,48439-2019-11,48439-2019
515,226791,48439-2019-12,48439-2019
516,227425,48439-2020-1,48439-2020
517,228347,48439-2020-2,48439-2020
518,229302,48439-2020-3,48439-2020
519,230017,48439-2020-4,48439-2020
520,230157,48439-2020-5,48439-2020
521,230841,48439-2020-6,48439-2020
522,231839,48439-2020-7,48439-2020
523,234343,48439-2020-8,48439-2020
524,236654,48439-2020-9,48439-2020
525,239386,48439-2020-10,48439-2020
526,241599,48439-2020-11,48439-2020
527,243901,48439-2020-12,48439-2020
528,245816,48439-2021-1,48439-2021
529,248112,48439-2021-2,48439-2021
530,251704,48439-2021-3,48439-2021
531,257615,48439-2021-4,48439-2021
532,264671,48439-2021-5,48439-2021
533,271636,48439-2021-6,48439-2021
534,278307,48439-2021-7,48439-2021
535,284414,48439-2021-8,48439-2021
536,290161,48439-2021-9,48439-2021
537,295148,48439-2021-10,48439-2021
538,299365,48439-2021-11,48439-2021
539,304226,48439-2021-12,48439-2021
540,203831,48029-2019-1,48029-2019
541,205546,48029-2019-2,48029-2019
542,206231,48029-2019-3,48029-2019
543,207023,48029-2019-4,48029-2019
544,207486,48029-2019-5,48029-2019
545,208127,48029-2019-6,48029-2019
546,208745,48029-2019-7,48029-2019
547,209406,48029-2019-8,48029-2019
548,210481,48029-2019-9,48029-2019
549,211230,48029-2019-10,48029-2019
550,211954,48029-2019-11,48029-2019
551,211895,48029-2019-12,48029-2019
552,212366,48029-2020-1,48029-2020
553,212500,48029-2020-2,48029-2020
554,213417,48029-2020-3,48029-2020
555,213386,48029-2020-4,48029-2020
556,213489,48029-2020-5,48029-2020
557,213388,48029-2020-6,48029-2020
558,214331,48029-2020-7,48029-2020
559,215744,48029-2020-8,48029-2020
560,217981,48029-2020-9,48029-2020
561,220514,48029-2020-10,48029-2020
562,222787,48029-2020-11,48029-2020
563,224699,48029-2020-12,48029-2020
564,226571,48029-2021-1,48029-2021
565,229082,48029-2021-2,48029-2021
566,231662,48029-2021-3,48029-2021
567,235218,48029-2021-4,48029-2021
568,239616,48029-2021-5,48029-2021
569,245590,48029-2021-6,48029-2021
570,251057,48029-2021-7,48029-2021
571,256792,48029-2021-8,48029-2021
572,260644,48029-2021-9,48029-2021
573,264806,48029-2021-10,48029-2021
574,268541,48029-2021-11,48029-2021
575,273304,48029-2021-12,48029-2021
576,1244643,6085-2019-1,6085-2019
577,1224652,6085-2019-2,6085-2019
578,1210176,6085-2019-3,6085-2019
579,1204258,6085-2019-4,6085-2019
580,1197506,6085-2019-5,6085-2019
581,1186746,6085-2019-6,6085-2019
582,1175700,6085-2019-7,6085-2019
583,1167161,6085-2019-8,6085-2019
584,1171151,6085-2019-9,6085-2019
585,1170810,6085-2019-10,6085-2019
586,1174426,6085-2019-11,6085-2019
587,1176432,6085-2019-12,6085-2019
588,1191352,6085-2020-1,6085-2020
589,1206328,6085-2020-2,6085-2020
590,1226165,6085-2020-3,6085-2020
591,1231319,6085-2020-4,6085-2020
592,1214363,6085-2020-5,6085-2020
593,1198399,6085-2020-6,6085-2020
594,1193879,6085-2020-7,6085-2020
595,1218568,6085-2020-8,6085-2020
596,1238112,6085-2020-9,6085-2020
597,1255382,6085-2020-10,6085-2020
598,1268245,6085-2020-11,6085-2020
599,1279353,6085-2020-12,6085-2020
600,1287929,6085-2021-1,6085-2021
601,1289866,6085-2021-2,6085-2021
602,1293119,6085-2021-3,6085-2021
603,1308616,6085-2021-4,6085-2021
604,1346412,6085-2021-5,6085-2021
605,1392875,6085-2021-6,6085-2021
606,1429466,6085-2021-7,6085-2021
607,1449936,6085-2021-8,6085-2021
608,1455905,6085-2021-9,6085-2021
609,1464486,6085-2021-10,6085-2021
610,1478702,6085-2021-11,6085-2021
611,1498969,6085-2021-12,6085-2021
612,269361,12011-2019-1,12011-2019
613,269754,12011-2019-2,12011-2019
614,270273,12011-2019-3,12011-2019
615,270624,12011-2019-4,12011-2019
616,270731,12011-2019-5,12011-2019
617,271092,12011-2019-6,12011-2019
618,270843,12011-2019-7,12011-2019
619,270765,12011-2019-8,12011-2019
620,271208,12011-2019-9,12011-2019
621,272524,12011-2019-10,12011-2019
622,273643,12011-2019-11,12011-2019
623,273969,12011-2019-12,12011-2019
624,275019,12011-2020-1,12011-2020
625,276351,12011-2020-2,12011-2020
626,277982,12011-2020-3,12011-2020
627,280117,12011-2020-4,12011-2020
628,282221,12011-2020-5,12011-2020
629,283608,12011-2020-6,12011-2020
630,282689,12011-2020-7,12011-2020
631,283075,12011-2020-8,12011-2020
632,284673,12011-2020-9,12011-2020
633,288449,12011-2020-10,12011-2020
634,292172,12011-2020-11,12011-2020
635,295759,12011-2020-12,12011-2020
636,298490,12011-2021-1,12011-2021
637,300746,12011-2021-2,12011-2021
638,303386,12011-2021-3,12011-2021
639,306443,12011-2021-4,12011-2021
640,311658,12011-2021-5,12011-2021
641,317841,12011-2021-6,12011-2021
642,325774,12011-2021-7,12011-2021
643,333133,12011-2021-8,12011-2021
644,340783,12011-2021-9,12011-2021
645,347298,12011-2021-10,12011-2021
646,353426,12011-2021-11,12011-2021
647,359050,12011-2021-12,12011-2021
648,106722,26163-2019-1,26163-2019
649,107228,26163-2019-2,26163-2019
650,107539,26163-2019-3,26163-2019
651,108402,26163-2019-4,26163-2019
652,109423,26163-2019-5,26163-2019
653,110364,26163-2019-6,26163-2019
654,110868,26163-2019-7,26163-2019
655,111040,26163-2019-8,26163-2019
656,111274,26163-2019-9,26163-2019
657,111257,26163-2019-10,26163-2019
658,111612,26163-2019-11,26163-2019
659,111777,26163-2019-12,26163-2019
660,112417,26163-2020-1,26163-2020
661,112845,26163-2020-2,26163-2020
662,113885,26163-2020-3,26163-2020
663,114959,26163-2020-4,26163-2020
664,115457,26163-2020-5,26163-2020
665,115434,26163-2020-6,26163-2020
666,116124,26163-2020-7,26163-2020
667,117758,26163-2020-8,26163-2020
668,119623,26163-2020-9,26163-2020
669,121298,26163-2020-10,26163-2020
670,123639,26163-2020-11,26163-2020
671,126507,26163-2020-12,26163-2020
672,128724,26163-2021-1,26163-2021
673,130720,26163-2021-2,26163-2021
674,131921,26163-2021-3,26163-2021
675,133282,26163-2021-4,26163-2021
676,135038,26163-2021-5,26163-2021
677,137544,26163-2021-6,26163-2021
678,139900,26163-2021-7,26163-2021
679,142422,26163-2021-8,26163-2021
680,144100,26163-2021-9,26163-2021
681,146321,26163-2021-10,26163-2021
682,146797,26163-2021-11,26163-2021
683,147836,26163-2021-12,26163-2021
684,874723,6001-2019-1,6001-2019
685,870286,6001-2019-2,6001-2019
686,870131,6001-2019-3,6001-2019
687,869712,6001-2019-4,6001-2019
688,867755,6001-2019-5,6001-2019
689,866178,6001-2019-6,6001-2019
690,866313,6001-2019-7,6001-2019
691,865582,6001-2019-8,6001-2019
692,865427,6001-2019-9,6001-2019
693,863472,6001-2019-10,6001-2019
694,861638,6001-2019-11,6001-2019
695,864150,6001-2019-12,6001-2019
696,872713,6001-2020-1,6001-2020
697,878744,6001-2020-2,6001-2020
698,886265,6001-2020-3,6001-2020
699,884335,6001-2020-4,6001-2020
700,876965,6001-2020-5,6001-2020
701,868439,6001-2020-6,6001-2020
702,873938,6001-2020-7,6001-2020
703,890247,6001-2020-8,6001-2020
704,907854,6001-2020-9,6001-2020
705,921695,6001-2020-10,6001-2020
706,936311,6001-2020-11,6001-2020
707,943771,6001-2020-12,6001-2020
708,949188,6001-2021-1,6001-2021
709,959168,6001-2021-2,6001-2021
710,980031,6001-2021-3,6001-2021
711,1004786,6001-2021-4,6001-2021
712,1032590,6001-2021-5,6001-2021
713,1062561,6001-2021-6,6001-2021
714,1095516,6001-2021-7,6001-2021
715,1115509,6001-2021-8,6001-2021
716,1124560,6001-2021-9,6001-2021
717,1123451,6001-2021-10,6001-2021
718,1131068,6001-2021-11,6001-2021
719,1141590,6001-2021-12,6001-2021
720,1321944,36061-2019-1,36061-2019
721,1312011,36061-2019-2,36061-2019
722,1309439,36061-2019-3,36061-2019
723,1299072,36061-2019-4,36061-2019
724,1294323,36061-2019-5,36061-2019
725,1285394,36061-2019-6,36061-2019
726,1281439,36061-2019-7,36061-2019
727,1269840,36061-2019-8,36061-2019
728,1256520,36061-2019-9,36061-2019
729,1245777,36061-2019-10,36061-2019
730,1245962,36061-2019-11,36061-2019
731,1252079,36061-2019-12,36061-2019
