,cases,fip-year-month,fip-year,fips
0,43,1001-2020-3,1001-2020,01001
1,731,1001-2020-4,1001-2020,01001
2,3660,1001-2020-5,1001-2020,01001
3,11110,1001-2020-6,1001-2020,01001
4,24241,1001-2020-7,1001-2020,01001
5,38807,1001-2020-8,1001-2020,01001
6,48577,1001-2020-9,1001-2020,01001
7,60844,1001-2020-10,1001-2020,01001
8,73997,1001-2020-11,1001-2020,01001
9,108652,1001-2020-12,1001-2020,01001
10,95,1003-2020-3,1003-2020,01003
11,2877,1003-2020-4,1003-2020,01003
12,7493,1003-2020-5,1003-2020,01003
13,12318,1003-2020-6,1003-2020,01003
14,54475,1003-2020-7,1003-2020,01003
15,120283,1003-2020-8,1003-2020,01003
16,150651,1003-2020-9,1003-2020,01003
17,197611,1003-2020-10,1003-2020,01003
18,233249,1003-2020-11,1003-2020,01003
19,348455,1003-2020-12,1003-2020,01003
20,506,1005-2020-4,1005-2020,01005
21,2651,1005-2020-5,1005-2020,01005
22,7330,1005-2020-6,1005-2020,01005
23,14161,1005-2020-7,1005-2020,01005
24,20859,1005-2020-8,1005-2020,01005
25,24539,1005-2020-9,1005-2020,01005
26,30228,1005-2020-10,1005-2020,01005
27,33813,1005-2020-11,1005-2020,01005
28,40753,1005-2020-12,1005-2020,01005
29,5,1007-2020-3,1007-2020,01007
30,657,1007-2020-4,1007-2020,01007
31,1629,1007-2020-5,1007-2020,01007
32,3433,1007-2020-6,1007-2020,01007
33,7961,1007-2020-7,1007-2020,01007
34,14745,1007-2020-8,1007-2020,01007
35,18402,1007-2020-9,1007-2020,01007
36,23833,1007-2020-10,1007-2020,01007
37,30545,1007-2020-11,1007-2020,01007
38,47009,1007-2020-12,1007-2020,01007
39,29,1009-2020-3,1009-2020,01009
40,590,1009-2020-4,1009-2020,01009
41,1463,1009-2020-5,1009-2020,01009
42,3652,1009-2020-6,1009-2020,01009
43,13625,1009-2020-7,1009-2020,01009
44,31781,1009-2020-8,1009-2020,01009
45,44569,1009-2020-9,1009-2020,01009
46,56017,1009-2020-10,1009-2020,01009
47,76472,1009-2020-11,1009-2020,01009
48,121270,1009-2020-12,1009-2020,01009
49,16,1011-2020-3,1011-2020,01011
50,220,1011-2020-4,1011-2020,01011
51,2192,1011-2020-5,1011-2020,01011
52,8735,1011-2020-6,1011-2020,01011
53,12233,1011-2020-7,1011-2020,01011
54,15597,1011-2020-8,1011-2020,01011
55,17483,1011-2020-9,1011-2020,01011
56,19575,1011-2020-10,1011-2020,01011
57,20298,1011-2020-11,1011-2020,01011
58,23348,1011-2020-12,1011-2020,01011
59,7,1013-2020-3,1013-2020,01013
60,440,1013-2020-4,1013-2020,01013
61,7962,1013-2020-5,1013-2020,01013
62,15721,1013-2020-6,1013-2020,01013
63,20957,1013-2020-7,1013-2020,01013
64,24956,1013-2020-8,1013-2020,01013
65,27004,1013-2020-9,1013-2020,01013
66,30243,1013-2020-10,1013-2020,01013
67,32801,1013-2020-11,1013-2020,01013
68,41741,1013-2020-12,1013-2020,01013
69,40,1015-2020-3,1015-2020,01015
70,1874,1015-2020-4,1015-2020,01015
71,4036,1015-2020-5,1015-2020,01015
72,6206,1015-2020-6,1015-2020,01015
73,22671,1015-2020-7,1015-2020,01015
74,63808,1015-2020-8,1015-2020,01015
75,94482,1015-2020-9,1015-2020,01015
76,127090,1015-2020-10,1015-2020,01015
77,168264,1015-2020-11,1015-2020,01015
78,252416,1015-2020-12,1015-2020,01015
79,166,1017-2020-3,1017-2020,01017
80,6111,1017-2020-4,1017-2020,01017
81,10059,1017-2020-5,1017-2020,01017
82,14139,1017-2020-6,1017-2020,01017
83,22690,1017-2020-7,1017-2020,01017
84,29072,1017-2020-8,1017-2020,01017
85,33221,1017-2020-9,1017-2020,01017
86,39681,1017-2020-10,1017-2020,01017
87,47667,1017-2020-11,1017-2020,01017
88,64015,1017-2020-12,1017-2020,01017
89,10,1019-2020-3,1019-2020,01019
90,294,1019-2020-4,1019-2020,01019
91,817,1019-2020-5,1019-2020,01019
92,1583,1019-2020-6,1019-2020,01019
93,4817,1019-2020-7,1019-2020,01019
94,10331,1019-2020-8,1019-2020,01019
95,15668,1019-2020-9,1019-2020,01019
96,21661,1019-2020-10,1019-2020,01019
97,27431,1019-2020-11,1019-2020,01019
98,38180,1019-2020-12,1019-2020,01019
99,48,1021-2020-3,1021-2020,01021
100,1045,1021-2020-4,1021-2020,01021
101,2360,1021-2020-5,1021-2020,01021
102,4480,1021-2020-6,1021-2020,01021
103,13256,1021-2020-7,1021-2020,01021
104,28741,1021-2020-8,1021-2020,01021
105,42593,1021-2020-9,1021-2020,01021
106,55047,1021-2020-10,1021-2020,01021
107,62718,1021-2020-11,1021-2020,01021
108,80899,1021-2020-12,1021-2020,01021
109,9,1023-2020-3,1023-2020,01023
110,482,1023-2020-4,1023-2020,01023
111,2977,1023-2020-5,1023-2020,01023
112,5203,1023-2020-6,1023-2020,01023
113,7103,1023-2020-7,1023-2020,01023
114,9375,1023-2020-8,1023-2020,01023
115,10220,1023-2020-9,1023-2020,01023
116,11787,1023-2020-10,1023-2020,01023
117,12318,1023-2020-11,1023-2020,01023
118,14311,1023-2020-12,1023-2020,01023
119,560,1025-2020-4,1025-2020,01025
120,2467,1025-2020-5,1025-2020,01025
121,5886,1025-2020-6,1025-2020,01025
122,11217,1025-2020-7,1025-2020,01025
123,25115,1025-2020-8,1025-2020,01025
124,31456,1025-2020-9,1025-2020,01025
125,38938,1025-2020-10,1025-2020,01025
126,44978,1025-2020-11,1025-2020,01025
127,62564,1025-2020-12,1025-2020,01025
128,11,1027-2020-3,1027-2020,01027
129,431,1027-2020-4,1027-2020,01027
130,805,1027-2020-5,1027-2020,01027
131,962,1027-2020-6,1027-2020,01027
132,3472,1027-2020-7,1027-2020,01027
133,9228,1027-2020-8,1027-2020,01027
134,14907,1027-2020-9,1027-2020,01027
135,21202,1027-2020-10,1027-2020,01027
136,25529,1027-2020-11,1027-2020,01027
137,31941,1027-2020-12,1027-2020,01027
138,24,1029-2020-3,1029-2020,01029
139,330,1029-2020-4,1029-2020,01029
140,403,1029-2020-5,1029-2020,01029
141,624,1029-2020-6,1029-2020,01029
142,2038,1029-2020-7,1029-2020,01029
143,4804,1029-2020-8,1029-2020,01029
144,9065,1029-2020-9,1029-2020,01029
145,15557,1029-2020-10,1029-2020,01029
146,20435,1029-2020-11,1029-2020,01029
147,28176,1029-2020-12,1029-2020,01029
148,1437,1031-2020-4,1031-2020,01031
149,5316,1031-2020-5,1031-2020,01031
150,8734,1031-2020-6,1031-2020,01031
151,15793,1031-2020-7,1031-2020,01031
152,27546,1031-2020-8,1031-2020,01031
153,37069,1031-2020-9,1031-2020,01031
154,50266,1031-2020-10,1031-2020,01031
155,65012,1031-2020-11,1031-2020,01031
156,94017,1031-2020-12,1031-2020,01031
157,14,1033-2020-3,1033-2020,01033
158,419,1033-2020-4,1033-2020,01033
159,2975,1033-2020-5,1033-2020,01033
160,8138,1033-2020-6,1033-2020,01033
161,20558,1033-2020-7,1033-2020,01033
162,39901,1033-2020-8,1033-2020,01033
163,47174,1033-2020-9,1033-2020,01033
164,58588,1033-2020-10,1033-2020,01033
165,81960,1033-2020-11,1033-2020,01033
166,122851,1033-2020-12,1033-2020,01033
167,180,1035-2020-4,1035-2020,01035
168,624,1035-2020-5,1035-2020,01035
169,3112,1035-2020-6,1035-2020,01035
170,8433,1035-2020-7,1035-2020,01035
171,13475,1035-2020-8,1035-2020,01035
172,15445,1035-2020-9,1035-2020,01035
173,17131,1035-2020-10,1035-2020,01035
174,19194,1035-2020-11,1035-2020,01035
175,24333,1035-2020-12,1035-2020,01035
176,17,1037-2020-3,1037-2020,01037
177,551,1037-2020-4,1037-2020,01037
178,1025,1037-2020-5,1037-2020,01037
179,1392,1037-2020-6,1037-2020,01037
180,2234,1037-2020-7,1037-2020,01037
181,3727,1037-2020-8,1037-2020,01037
182,4658,1037-2020-9,1037-2020,01037
183,6020,1037-2020-10,1037-2020,01037
184,8311,1037-2020-11,1037-2020,01037
185,13637,1037-2020-12,1037-2020,01037
186,10,1039-2020-3,1039-2020,01039
187,553,1039-2020-4,1039-2020,01039
188,1809,1039-2020-5,1039-2020,01039
189,5343,1039-2020-6,1039-2020,01039
190,16417,1039-2020-7,1039-2020,01039
191,29258,1039-2020-8,1039-2020,01039
192,38123,1039-2020-9,1039-2020,01039
193,50269,1039-2020-10,1039-2020,01039
194,61248,1039-2020-11,1039-2020,01039
195,80406,1039-2020-12,1039-2020,01039
196,6,1041-2020-3,1041-2020,01041
197,175,1041-2020-4,1041-2020,01041
198,1494,1041-2020-5,1041-2020,01041
199,3216,1041-2020-6,1041-2020,01041
200,5415,1041-2020-7,1041-2020,01041
201,11877,1041-2020-8,1041-2020,01041
202,15288,1041-2020-9,1041-2020,01041
203,17983,1041-2020-10,1041-2020,01041
204,20208,1041-2020-11,1041-2020,01041
205,25335,1041-2020-12,1041-2020,01041
206,57,1043-2020-3,1043-2020,01043
207,1091,1043-2020-4,1043-2020,01043
208,2304,1043-2020-5,1043-2020,01043
209,8148,1043-2020-6,1043-2020,01043
210,22885,1043-2020-7,1043-2020,01043
211,43350,1043-2020-8,1043-2020,01043
212,53810,1043-2020-9,1043-2020,01043
213,69289,1043-2020-10,1043-2020,01043
214,110602,1043-2020-11,1043-2020,01043
215,183276,1043-2020-12,1043-2020,01043
216,408,1045-2020-4,1045-2020,01045
217,1948,1045-2020-5,1045-2020,01045
218,5358,1045-2020-6,1045-2020,01045
219,15002,1045-2020-7,1045-2020,01045
220,28664,1045-2020-8,1045-2020,01045
221,38061,1045-2020-9,1045-2020,01045
222,50368,1045-2020-10,1045-2020,01045
223,64732,1045-2020-11,1045-2020,01045
224,88511,1045-2020-12,1045-2020,01045
225,14,1047-2020-3,1047-2020,01047
226,596,1047-2020-4,1047-2020,01047
227,4604,1047-2020-5,1047-2020,01047
228,15471,1047-2020-6,1047-2020,01047
229,33659,1047-2020-7,1047-2020,01047
230,45855,1047-2020-8,1047-2020,01047
231,51747,1047-2020-9,1047-2020,01047
232,57178,1047-2020-10,1047-2020,01047
233,62695,1047-2020-11,1047-2020,01047
234,78701,1047-2020-12,1047-2020,01047
235,21,1049-2020-3,1049-2020,01049
236,1123,1049-2020-4,1049-2020,01049
237,5469,1049-2020-5,1049-2020,01049
238,11051,1049-2020-6,1049-2020,01049
239,35547,1049-2020-7,1049-2020,01049
240,60547,1049-2020-8,1049-2020,01049
241,69213,1049-2020-9,1049-2020,01049
242,94569,1049-2020-10,1049-2020,01049
243,127997,1049-2020-11,1049-2020,01049
244,186979,1049-2020-12,1049-2020,01049
245,129,1051-2020-3,1051-2020,01051
246,1485,1051-2020-4,1051-2020,01051
247,6190,1051-2020-5,1051-2020,01051
248,17284,1051-2020-6,1051-2020,01051
249,37327,1051-2020-7,1051-2020,01051
250,59217,1051-2020-8,1051-2020,01051
251,74223,1051-2020-9,1051-2020,01051
252,94319,1051-2020-10,1051-2020,01051
253,110803,1051-2020-11,1051-2020,01051
254,162083,1051-2020-12,1051-2020,01051
255,5,1053-2020-3,1053-2020,01053
256,381,1053-2020-4,1053-2020,01053
257,1232,1053-2020-5,1053-2020,01053
258,3917,1053-2020-6,1053-2020,01053
259,18880,1053-2020-7,1053-2020,01053
260,38541,1053-2020-8,1053-2020,01053
261,45942,1053-2020-9,1053-2020,01053
262,52638,1053-2020-10,1053-2020,01053
263,56568,1053-2020-11,1053-2020,01053
264,72035,1053-2020-12,1053-2020,01053
265,38,1055-2020-3,1055-2020,01055
266,2462,1055-2020-4,1055-2020,01055
267,6220,1055-2020-5,1055-2020,01055
268,11198,1055-2020-6,1055-2020,01055
269,37925,1055-2020-7,1055-2020,01055
270,73922,1055-2020-8,1055-2020,01055
271,97097,1055-2020-9,1055-2020,01055
272,123586,1055-2020-10,1055-2020,01055
273,162360,1055-2020-11,1055-2020,01055
274,260127,1055-2020-12,1055-2020,01055
275,2,1057-2020-3,1057-2020,01057
276,97,1057-2020-4,1057-2020,01057
277,290,1057-2020-5,1057-2020,01057
278,1317,1057-2020-6,1057-2020,01057
279,3412,1057-2020-7,1057-2020,01057
280,7834,1057-2020-8,1057-2020,01057
281,11992,1057-2020-9,1057-2020,01057
282,16564,1057-2020-10,1057-2020,01057
283,22625,1057-2020-11,1057-2020,01057
284,37698,1057-2020-12,1057-2020,01057
285,22,1059-2020-3,1059-2020,01059
286,571,1059-2020-4,1059-2020,01059
287,10059,1059-2020-5,1059-2020,01059
288,21504,1059-2020-6,1059-2020,01059
289,30893,1059-2020-7,1059-2020,01059
290,42560,1059-2020-8,1059-2020,01059
291,50909,1059-2020-9,1059-2020,01059
292,60634,1059-2020-10,1059-2020,01059
293,70483,1059-2020-11,1059-2020,01059
294,90590,1059-2020-12,1059-2020,01059
295,91,1061-2020-4,1061-2020,01061
296,704,1061-2020-5,1061-2020,01061
297,1486,1061-2020-6,1061-2020,01061
298,4057,1061-2020-7,1061-2020,01061
299,10049,1061-2020-8,1061-2020,01061
300,16096,1061-2020-9,1061-2020,01061
301,25514,1061-2020-10,1061-2020,01061
302,33086,1061-2020-11,1061-2020,01061
303,44898,1061-2020-12,1061-2020,01061
304,13,1063-2020-3,1063-2020,01063
305,747,1063-2020-4,1063-2020,01063
306,2428,1063-2020-5,1063-2020,01063
307,3896,1063-2020-6,1063-2020,01063
308,6485,1063-2020-7,1063-2020,01063
309,8197,1063-2020-8,1063-2020,01063
310,8893,1063-2020-9,1063-2020,01063
311,10209,1063-2020-10,1063-2020,01063
312,11476,1063-2020-11,1063-2020,01063
313,17183,1063-2020-12,1063-2020,01063
314,2,1065-2020-3,1065-2020,01065
315,645,1065-2020-4,1065-2020,01065
316,2958,1065-2020-5,1065-2020,01065
317,7142,1065-2020-6,1065-2020,01065
318,11727,1065-2020-7,1065-2020,01065
319,15932,1065-2020-8,1065-2020,01065
320,18086,1065-2020-9,1065-2020,01065
321,22471,1065-2020-10,1065-2020,01065
322,26356,1065-2020-11,1065-2020,01065
323,37264,1065-2020-12,1065-2020,01065
324,403,1067-2020-4,1067-2020,01067
325,1352,1067-2020-5,1067-2020,01067
326,3170,1067-2020-6,1067-2020,01067
327,5554,1067-2020-7,1067-2020,01067
328,9319,1067-2020-8,1067-2020,01067
329,13480,1067-2020-9,1067-2020,01067
330,19532,1067-2020-10,1067-2020,01067
331,24320,1067-2020-11,1067-2020,01067
332,32229,1067-2020-12,1067-2020,01067
333,40,1069-2020-3,1069-2020,01069
334,1557,1069-2020-4,1069-2020,01069
335,4262,1069-2020-5,1069-2020,01069
336,9701,1069-2020-6,1069-2020,01069
337,24670,1069-2020-7,1069-2020,01069
338,50709,1069-2020-8,1069-2020,01069
339,76445,1069-2020-9,1069-2020,01069
340,113640,1069-2020-10,1069-2020,01069
341,143714,1069-2020-11,1069-2020,01069
342,194780,1069-2020-12,1069-2020,01069
343,42,1071-2020-3,1071-2020,01071
344,914,1071-2020-4,1071-2020,01071
345,1958,1071-2020-5,1071-2020,01071
346,4062,1071-2020-6,1071-2020,01071
347,15397,1071-2020-7,1071-2020,01071
348,34757,1071-2020-8,1071-2020,01071
349,43753,1071-2020-9,1071-2020,01071
350,60282,1071-2020-10,1071-2020,01071
351,82175,1071-2020-11,1071-2020,01071
352,136659,1071-2020-12,1071-2020,01071
353,1957,1073-2020-3,1073-2020,01073
354,18785,1073-2020-4,1073-2020,01073
355,41235,1073-2020-5,1073-2020,01073
356,81233,1073-2020-6,1073-2020,01073
357,244289,1073-2020-7,1073-2020,01073
358,439303,1073-2020-8,1073-2020,01073
359,552773,1073-2020-9,1073-2020,01073
360,685788,1073-2020-10,1073-2020,01073
361,848469,1073-2020-11,1073-2020,01073
362,1327277,1073-2020-12,1073-2020,01073
363,12,1075-2020-3,1075-2020,01075
364,212,1075-2020-4,1075-2020,01075
365,494,1075-2020-5,1075-2020,01075
366,1374,1075-2020-6,1075-2020,01075
367,3703,1075-2020-7,1075-2020,01075
368,7768,1075-2020-8,1075-2020,01075
369,9936,1075-2020-9,1075-2020,01075
370,13877,1075-2020-10,1075-2020,01075
371,17846,1075-2020-11,1075-2020,01075
372,27450,1075-2020-12,1075-2020,01075
373,87,1077-2020-3,1077-2020,01077
374,678,1077-2020-4,1077-2020,01077
375,3355,1077-2020-5,1077-2020,01077
376,7806,1077-2020-6,1077-2020,01077
377,21610,1077-2020-7,1077-2020,01077
378,39014,1077-2020-8,1077-2020,01077
379,47911,1077-2020-9,1077-2020,01077
380,63689,1077-2020-10,1077-2020,01077
381,101709,1077-2020-11,1077-2020,01077
382,165081,1077-2020-12,1077-2020,01077
383,19,1079-2020-3,1079-2020,01079
384,262,1079-2020-4,1079-2020,01079
385,959,1079-2020-5,1079-2020,01079
386,2103,1079-2020-6,1079-2020,01079
387,5502,1079-2020-7,1079-2020,01079
388,11987,1079-2020-8,1079-2020,01079
389,16952,1079-2020-9,1079-2020,01079
390,23828,1079-2020-10,1079-2020,01079
391,33240,1079-2020-11,1079-2020,01079
392,51747,1079-2020-12,1079-2020,01079
393,508,1081-2020-3,1081-2020,01081
394,7711,1081-2020-4,1081-2020,01081
395,14179,1081-2020-5,1081-2020,01081
396,23470,1081-2020-6,1081-2020,01081
397,58786,1081-2020-7,1081-2020,01081
398,99391,1081-2020-8,1081-2020,01081
399,164890,1081-2020-9,1081-2020,01081
400,197831,1081-2020-10,1081-2020,01081
401,217054,1081-2020-11,1081-2020,01081
402,279149,1081-2020-12,1081-2020,01081
403,124,1083-2020-3,1083-2020,01083
404,1107,1083-2020-4,1083-2020,01083
405,2041,1083-2020-5,1083-2020,01083
406,6797,1083-2020-6,1083-2020,01083
407,23883,1083-2020-7,1083-2020,01083
408,45130,1083-2020-8,1083-2020,01083
409,57359,1083-2020-9,1083-2020,01083
410,81092,1083-2020-10,1083-2020,01083
411,110818,1083-2020-11,1083-2020,01083
412,173775,1083-2020-12,1083-2020,01083
413,6,1085-2020-3,1085-2020,01085
414,713,1085-2020-4,1085-2020,01085
415,4314,1085-2020-5,1085-2020,01085
416,11038,1085-2020-6,1085-2020,01085
417,15770,1085-2020-7,1085-2020,01085
418,18364,1085-2020-8,1085-2020,01085
419,19210,1085-2020-9,1085-2020,01085
420,21421,1085-2020-10,1085-2020,01085
421,22933,1085-2020-11,1085-2020,01085
422,27191,1085-2020-12,1085-2020,01085
423,3,1087-2020-3,1087-2020,01087
424,577,1087-2020-4,1087-2020,01087
425,1686,1087-2020-5,1087-2020,01087
426,3830,1087-2020-6,1087-2020,01087
427,7614,1087-2020-7,1087-2020,01087
428,11505,1087-2020-8,1087-2020,01087
429,13996,1087-2020-9,1087-2020,01087
430,16118,1087-2020-10,1087-2020,01087
431,19675,1087-2020-11,1087-2020,01087
432,27038,1087-2020-12,1087-2020,01087
433,558,1089-2020-3,1089-2020,01089
434,5500,1089-2020-4,1089-2020,01089
435,8477,1089-2020-5,1089-2020,01089
436,18307,1089-2020-6,1089-2020,01089
437,91584,1089-2020-7,1089-2020,01089
438,178694,1089-2020-8,1089-2020,01089
439,219191,1089-2020-9,1089-2020,01089
440,273979,1089-2020-10,1089-2020,01089
441,342941,1089-2020-11,1089-2020,01089
442,557667,1089-2020-12,1089-2020,01089
443,19,1091-2020-3,1091-2020,01091
444,765,1091-2020-4,1091-2020,01091
445,3273,1091-2020-5,1091-2020,01091
446,6590,1091-2020-6,1091-2020,01091
447,12256,1091-2020-7,1091-2020,01091
448,18301,1091-2020-8,1091-2020,01091
449,20733,1091-2020-9,1091-2020,01091
450,28253,1091-2020-10,1091-2020,01091
451,34112,1091-2020-11,1091-2020,01091
452,47239,1091-2020-12,1091-2020,01091
453,58,1093-2020-3,1093-2020,01093
454,1496,1093-2020-4,1093-2020,01093
455,3171,1093-2020-5,1093-2020,01093
456,4673,1093-2020-6,1093-2020,01093
457,11393,1093-2020-7,1093-2020,01093
458,20645,1093-2020-8,1093-2020,01093
459,26943,1093-2020-9,1093-2020,01093
460,32343,1093-2020-10,1093-2020,01093
461,38326,1093-2020-11,1093-2020,01093
462,54591,1093-2020-12,1093-2020,01093
463,30,1095-2020-3,1095-2020,01095
464,4326,1095-2020-4,1095-2020,01095
465,17772,1095-2020-5,1095-2020,01095
466,29465,1095-2020-6,1095-2020,01095
467,68839,1095-2020-7,1095-2020,01095
468,103720,1095-2020-8,1095-2020,01095
469,113543,1095-2020-9,1095-2020,01095
470,131234,1095-2020-10,1095-2020,01095
471,161393,1095-2020-11,1095-2020,01095
472,247308,1095-2020-12,1095-2020,01095
473,242,1097-2020-3,1097-2020,01097
474,16400,1097-2020-4,1097-2020,01097
475,52075,1097-2020-5,1097-2020,01097
476,84551,1097-2020-6,1097-2020,01097
477,175849,1097-2020-7,1097-2020,01097
478,336393,1097-2020-8,1097-2020,01097
479,387768,1097-2020-9,1097-2020,01097
480,460990,1097-2020-10,1097-2020,01097
481,557696,1097-2020-11,1097-2020,01097
482,706791,1097-2020-12,1097-2020,01097
483,4,1099-2020-3,1099-2020,01099
484,231,1099-2020-4,1099-2020,01099
485,674,1099-2020-5,1099-2020,01099
486,3667,1099-2020-6,1099-2020,01099
487,9654,1099-2020-7,1099-2020,01099
488,15360,1099-2020-8,1099-2020,01099
489,17094,1099-2020-9,1099-2020,01099
490,19346,1099-2020-10,1099-2020,01099
491,21947,1099-2020-11,1099-2020,01099
492,30452,1099-2020-12,1099-2020,01099
493,182,1101-2020-3,1101-2020,01101
494,5348,1101-2020-4,1101-2020,01101
495,27778,1101-2020-5,1101-2020,01101
496,84309,1101-2020-6,1101-2020,01101
497,153267,1101-2020-7,1101-2020,01101
498,223180,1101-2020-8,1101-2020,01101
499,255014,1101-2020-9,1101-2020,01101
500,298342,1101-2020-10,1101-2020,01101
501,347838,1101-2020-11,1101-2020,01101
502,441498,1101-2020-12,1101-2020,01101
503,100,1103-2020-3,1103-2020,01103
504,1312,1103-2020-4,1103-2020,01103
505,4104,1103-2020-5,1103-2020,01103
506,18539,1103-2020-6,1103-2020,01103
507,47988,1103-2020-7,1103-2020,01103
508,79275,1103-2020-8,1103-2020,01103
509,93815,1103-2020-9,1103-2020,01103
510,119417,1103-2020-10,1103-2020,01103
511,166092,1103-2020-11,1103-2020,01103
512,274307,1103-2020-12,1103-2020,01103
513,169,1105-2020-4,1105-2020,01105
514,727,1105-2020-5,1105-2020,01105
515,2272,1105-2020-6,1105-2020,01105
516,9020,1105-2020-7,1105-2020,01105
517,15085,1105-2020-8,1105-2020,01105
518,16011,1105-2020-9,1105-2020,01105
519,17765,1105-2020-10,1105-2020,01105
520,19324,1105-2020-11,1105-2020,01105
521,23747,1105-2020-12,1105-2020,01105
522,13,1107-2020-3,1107-2020,01107
523,880,1107-2020-4,1107-2020,01107
524,2419,1107-2020-5,1107-2020,01107
525,4509,1107-2020-6,1107-2020,01107
526,8952,1107-2020-7,1107-2020,01107
527,14237,1107-2020-8,1107-2020,01107
528,18515,1107-2020-9,1107-2020,01107
529,24004,1107-2020-10,1107-2020,01107
530,32438,1107-2020-11,1107-2020,01107
531,46033,1107-2020-12,1107-2020,01107
532,23,1109-2020-3,1109-2020,01109
533,1002,1109-2020-4,1109-2020,01109
534,3642,1109-2020-5,1109-2020,01109
535,9469,1109-2020-6,1109-2020,01109
536,16206,1109-2020-7,1109-2020,01109
537,25016,1109-2020-8,1109-2020,01109
538,33553,1109-2020-9,1109-2020,01109
539,40122,1109-2020-10,1109-2020,01109
540,44801,1109-2020-11,1109-2020,01109
541,55266,1109-2020-12,1109-2020,01109
542,9,1111-2020-3,1111-2020,01111
543,1180,1111-2020-4,1111-2020,01111
544,3416,1111-2020-5,1111-2020,01111
545,4286,1111-2020-6,1111-2020,01111
546,9161,1111-2020-7,1111-2020,01111
547,13623,1111-2020-8,1111-2020,01111
548,17654,1111-2020-9,1111-2020,01111
549,23919,1111-2020-10,1111-2020,01111
550,28424,1111-2020-11,1111-2020,01111
551,35599,1111-2020-12,1111-2020,01111
552,7,1113-2020-3,1113-2020,01113
553,969,1113-2020-4,1113-2020,01113
554,3219,1113-2020-5,1113-2020,01113
555,9132,1113-2020-6,1113-2020,01113
556,25632,1113-2020-7,1113-2020,01113
557,44967,1113-2020-8,1113-2020,01113
558,50995,1113-2020-9,1113-2020,01113
559,58573,1113-2020-10,1113-2020,01113
560,62914,1113-2020-11,1113-2020,01113
561,78128,1113-2020-12,1113-2020,01113
562,88,1115-2020-3,1115-2020,01115
563,1418,1115-2020-4,1115-2020,01115
564,2852,1115-2020-5,1115-2020,01115
565,5721,1115-2020-6,1115-2020,01115
566,22660,1115-2020-7,1115-2020,01115
567,48051,1115-2020-8,1115-2020,01115
568,64173,1115-2020-9,1115-2020,01115
569,84834,1115-2020-10,1115-2020,01115
570,112365,1115-2020-11,1115-2020,01115
571,169953,1115-2020-12,1115-2020,01115
572,604,1117-2020-3,1117-2020,01117
573,6838,1117-2020-4,1117-2020,01117
574,12421,1117-2020-5,1117-2020,01117
575,21592,1117-2020-6,1117-2020,01117
576,63414,1117-2020-7,1117-2020,01117
577,116062,1117-2020-8,1117-2020,01117
578,162490,1117-2020-9,1117-2020,01117
579,214880,1117-2020-10,1117-2020,01117
580,271980,1117-2020-11,1117-2020,01117
581,409896,1117-2020-12,1117-2020,01117
582,2,1119-2020-3,1119-2020,01119
583,919,1119-2020-4,1119-2020,01119
584,4311,1119-2020-5,1119-2020,01119
585,7745,1119-2020-6,1119-2020,01119
586,9695,1119-2020-7,1119-2020,01119
587,11857,1119-2020-8,1119-2020,01119
588,12578,1119-2020-9,1119-2020,01119
589,14270,1119-2020-10,1119-2020,01119
590,16001,1119-2020-11,1119-2020,01119
591,21945,1119-2020-12,1119-2020,01119
592,40,1121-2020-3,1121-2020,01121
593,1152,1121-2020-4,1121-2020,01121
594,2506,1121-2020-5,1121-2020,01121
595,5174,1121-2020-6,1121-2020,01121
596,17577,1121-2020-7,1121-2020,01121
597,43667,1121-2020-8,1121-2020,01121
598,59745,1121-2020-9,1121-2020,01121
599,77233,1121-2020-10,1121-2020,01121
600,94988,1121-2020-11,1121-2020,01121
601,138061,1121-2020-12,1121-2020,01121
602,54,1123-2020-3,1123-2020,01123
603,4382,1123-2020-4,1123-2020,01123
604,11034,1123-2020-5,1123-2020,01123
605,14684,1123-2020-6,1123-2020,01123
606,21548,1123-2020-7,1123-2020,01123
607,29869,1123-2020-8,1123-2020,01123
608,33565,1123-2020-9,1123-2020,01123
609,39230,1123-2020-10,1123-2020,01123
610,47907,1123-2020-11,1123-2020,01123
611,65500,1123-2020-12,1123-2020,01123
612,215,1125-2020-3,1125-2020,01125
613,3802,1125-2020-4,1125-2020,01125
614,12475,1125-2020-5,1125-2020,01125
615,40343,1125-2020-6,1125-2020,01125
616,91893,1125-2020-7,1125-2020,01125
617,146796,1125-2020-8,1125-2020,01125
618,213337,1125-2020-9,1125-2020,01125
619,304435,1125-2020-10,1125-2020,01125
620,356744,1125-2020-11,1125-2020,01125
621,494864,1125-2020-12,1125-2020,01125
622,184,1127-2020-3,1127-2020,01127
623,2299,1127-2020-4,1127-2020,01127
624,5140,1127-2020-5,1127-2020,01127
625,17995,1127-2020-6,1127-2020,01127
626,36667,1127-2020-7,1127-2020,01127
627,52122,1127-2020-8,1127-2020,01127
628,64920,1127-2020-9,1127-2020,01127
629,81590,1127-2020-10,1127-2020,01127
630,99691,1127-2020-11,1127-2020,01127
631,140112,1127-2020-12,1127-2020,01127
632,22,1129-2020-3,1129-2020,01129
633,443,1129-2020-4,1129-2020,01129
634,1736,1129-2020-5,1129-2020,01129
635,2672,1129-2020-6,1129-2020,01129
636,5962,1129-2020-7,1129-2020,01129
637,13810,1129-2020-8,1129-2020,01129
638,16241,1129-2020-9,1129-2020,01129
639,19973,1129-2020-10,1129-2020,01129
