,fip-year,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT
82,1033-2019,55241,0.9161608102951888,26412,28829,42.4,3143,5881,19635,14836,11116
83,1033-2020,57236,0.932147317962394,27613,29623,42.2,3268,6171,20258,15382,11441
84,1033-2021,57474,0.9301474292238976,27697,29777,42.3,3209,6184,20398,15303,11641
87,1035-2019,12055,0.9086447118429386,5739,6316,45.5,646,1289,3903,3269,2829
88,1035-2020,11552,0.9218100149725504,5541,6011,45.7,597,1247,3693,3166,2705
89,1035-2021,11328,0.9298126064735944,5458,5870,46.3,613,1141,3611,3086,2734
92,1037-2019,10677,1.0092209258562288,5363,5314,49.4,461,868,3225,3437,2571
93,1037-2020,10383,1.019645983271737,5242,5141,49.7,449,852,3117,3341,2519
94,1037-2021,10450,1.0307034589972794,5304,5146,50.1,438,849,3141,3335,2582
97,1039-2019,37082,0.9363968668407312,17932,19150,43.5,2195,4074,12371,9990,7965
98,1039-2020,37469,0.9458350643955132,18213,19256,43.4,2113,4207,12543,10128,7994
99,1039-2021,37524,0.9430405965202984,18212,19312,43.2,2094,4203,12712,9888,8134
102,1041-2019,13811,0.947405527354766,6719,7092,42.1,789,1601,4795,3768,2686
103,1041-2020,13157,0.9610970338351468,6448,6709,41.8,721,1562,4576,3556,2563
104,1041-2021,13083,0.9617633828160144,6414,6669,41.6,715,1565,4579,3476,2572
107,1043-2019,83644,0.9772592960310144,41341,42303,41.0,5103,9347,30426,21972,15738
108,1043-2020,88044,0.989964740981828,43800,44244,40.9,5210,10064,31981,23265,16391
109,1043-2021,89496,0.9876957245974458,44471,45025,41.0,5125,10250,32624,23581,16749
112,1045-2019,49294,0.9683743960388131,24251,25043,38.1,3291,5582,19025,12240,8564
113,1045-2020,49214,0.9729003808378432,24269,24945,38.1,3241,5690,18930,12185,8560
114,1045-2021,49342,0.9668354127635828,24255,25087,38.2,3251,5759,18923,12054,8750
117,1047-2019,37182,0.8588211768234765,17179,20003,40.6,2202,4467,13163,9855,7004
118,1047-2020,38190,0.8713249705997648,17782,20408,40.9,2226,4603,13401,10109,7280
119,1047-2021,37619,0.8667626042080191,17467,20152,41.1,2165,4427,13272,9768,7399
122,1049-2019,71506,0.9867192709490998,35514,35992,40.0,4277,8780,26147,18704,12546
123,1049-2020,71630,0.9995533595734584,35807,35823,40.1,4243,8886,26085,18840,12501
124,1049-2021,71813,0.9940300994057868,35799,36014,40.2,4135,8814,26196,18856,12694
127,1051-2019,81575,0.9340192987031462,39396,42179,39.3,4719,9135,31861,21810,12940
128,1051-2020,88116,0.943535224315144,42778,45338,39.4,4925,9951,34308,23686,14051
129,1051-2021,89304,0.948040049734965,43461,45843,39.5,4920,9964,34889,23786,14554
132,1053-2019,36569,1.0084028998242531,18361,18208,40.0,2214,4187,13617,9415,6685
133,1053-2020,36665,1.0218925774787693,18531,18134,40.2,2211,4174,13622,9470,6704
134,1053-2021,36699,1.0209813315711218,18540,18159,40.2,2176,4206,13671,9393,6753
137,1055-2019,102460,0.9374846358943328,49577,52883,42.0,5966,10792,36906,27694,19864
138,1055-2020,103393,0.9507745136884208,50392,53001,41.8,5961,11180,37138,28045,19770
139,1055-2021,103162,0.949874307747557,50255,52907,41.8,5951,11145,37130,27653,19957
142,1057-2019,16279,0.9523866634684576,7941,8338,43.8,900,1746,5495,4403,3531
143,1057-2020,16307,0.9673060682832668,8018,8289,43.6,894,1763,5531,4411,3500
144,1057-2021,16148,0.9649549768800196,7930,8218,43.6,874,1743,5507,4302,3520
147,1059-2019,31587,1.0051418777375738,15834,15753,38.8,2194,3891,11592,8065,5400
148,1059-2020,32063,1.015400088000503,16154,15909,38.8,2225,3978,11756,8234,5405
149,1059-2021,32013,1.0059527539319506,16054,15959,39.0,2193,3976,11681,8257,5458
152,1061-2019,26309,0.9501148914090876,12818,13491,43.5,1437,2927,8894,7246,5446
153,1061-2020,26675,0.962840323767476,13085,13590,43.5,1468,2952,9027,7351,5514
154,1061-2021,26701,0.964898079328869,13112,13589,43.5,1436,2927,9053,7260,5637
157,1063-2019,8104,0.8794063079777366,3792,4312,44.1,456,894,2683,2079,1896
158,1063-2020,7704,0.8826979472140762,3612,4092,44.1,434,867,2519,1953,1829
159,1063-2021,7629,0.8698529411764706,3549,4080,44.6,438,826,2473,1899,1887
162,1065-2019,14669,0.900868213036154,6952,7717,40.9,979,1661,5136,3791,2907
163,1065-2020,14792,0.9034873246686398,7021,7771,40.8,956,1755,5170,3787,2927
164,1065-2021,14754,0.9059553029324376,7013,7741,40.7,956,1766,5172,3693,2970
167,1067-2019,17125,0.934591052869408,8273,8852,45.2,879,1731,5698,4619,3977
168,1067-2020,17167,0.938022126890946,8309,8858,44.9,857,1800,5734,4610,3952
169,1067-2021,17459,0.9308781243087813,8417,9042,44.8,884,1797,5856,4648,4036
172,1069-2019,106240,0.9162713515268484,50799,55441,40.0,6702,12074,39354,27435,19343
173,1069-2020,107190,0.928120446818844,51597,55593,40.2,6624,12327,39416,27861,19508
174,1069-2021,107458,0.9256325711418536,51654,55804,40.3,6553,12196,39627,27644,19938
177,1071-2019,51672,0.964565432286518,25370,26302,43.9,2790,5258,17844,14476,10643
178,1071-2020,52519,0.975438200556684,25933,26586,44.0,2838,5424,18007,14774,10831
179,1071-2021,52773,0.9749635118446166,26052,26721,44.0,2797,5426,18166,14631,11061
182,1073-2019,658539,0.8952398768238985,311069,347470,37.9,42314,75309,261683,164039,107040
183,1073-2020,673341,0.904578857152555,319803,353538,38.0,42237,78563,267533,166775,109496
184,1073-2021,667820,0.9037003885393712,317019,350801,38.1,41129,77393,265973,162955,111386
